,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/05/02,TXO,201905W1,10100.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10100.0,賣權,-,-,-,-,0,0,335,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10200.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10200.0,賣權,0.1,0.1,0.1,0.1,14,0,2200,-,0.1,1.9,0.1,,一般
2019/05/02,TXO,201905W1,10300.0,買權,-,-,-,-,0,0,13,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10300.0,賣權,0.1,0.1,0.1,0.1,54,0,2500,-,0.1,2.4,0.1,,一般
2019/05/02,TXO,201905W1,10400.0,買權,-,-,-,-,0,0,23,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10400.0,賣權,0.2,0.2,0.1,0.1,197,0,5416,-,0.1,3.2,0.1,,一般
2019/05/02,TXO,201905W1,10500.0,買權,-,-,-,-,0,0,21,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10500.0,賣權,0.2,0.2,0.1,0.1,354,0,6369,-,0.1,4.5,0.1,,一般
2019/05/02,TXO,201905W1,10600.0,買權,-,-,-,-,0,0,1,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10600.0,賣權,0.4,0.4,0.1,0.1,1195,0,11024,-,0.1,7,0.1,,一般
2019/05/02,TXO,201905W1,10650.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2019/05/02,TXO,201905W1,10650.0,賣權,0.4,0.4,0.1,0.1,433,0,2174,-,0.1,5.3,0.1,,一般
2019/05/02,TXO,201905W1,10700.0,買權,260,329,260,306,23,0,208,298,299,336,202,,一般
2019/05/02,TXO,201905W1,10700.0,賣權,0.5,0.5,0.1,0.1,1328,0,9187,-,0.1,11.5,0.1,,一般
2019/05/02,TXO,201905W1,10750.0,買權,251,283,248,248,576,0,613,248,249,301,157,,一般
2019/05/02,TXO,201905W1,10750.0,賣權,0.7,0.7,0.1,0.1,1795,0,13131,-,0.1,15,0.1,,一般
2019/05/02,TXO,201905W1,10800.0,買權,160,240,150,199,1218,0,732,199,200,264,113,,一般
2019/05/02,TXO,201905W1,10800.0,賣權,1,1,0.1,0.1,3820,0,15440,-,0.1,21.5,0.1,,一般
2019/05/02,TXO,201905W1,10850.0,買權,115,192,103,150,5434,0,1472,149,150,228,70,,一般
2019/05/02,TXO,201905W1,10850.0,賣權,1.3,1.7,0.1,0.1,9442,0,17585,-,0.1,32.5,0.1,,一般
2019/05/02,TXO,201905W1,10900.0,買權,60,142,54,99,24252,0,3360,98,99,184,38,,一般
2019/05/02,TXO,201905W1,10900.0,賣權,5.6,5.6,0.1,0.1,24388,0,23516,-,0.1,49,0.1,,一般
2019/05/02,TXO,201905W1,10950.0,買權,28,94,17,49,86393,0,5380,49,49.5,145,16,,一般
2019/05/02,TXO,201905W1,10950.0,賣權,16.5,18.5,0.1,0.1,63138,0,29683,-,0.1,73,0.1,,一般
2019/05/02,TXO,201905W1,11000.0,買權,5.3,46.5,0.1,0.1,116286,0,24682,-,0.1,109,0.1,,一般
2019/05/02,TXO,201905W1,11000.0,賣權,43,55,0.2,1.1,132544,0,18773,1.1,1.2,108,0.2,,一般
