,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10460,2017/10/16,TXO,201710,8600.0,買權,1970,2290,1970,2290,2,2150,3,1810,2490,2290,1910,,一般
10462,2017/10/16,TXO,201710,8600.0,賣權,0.2,0.2,0.1,0.2,127,0.1,5085,0.1,0.2,600,0.1,,一般
10464,2017/10/16,TXO,201710,8700.0,買權,-,-,-,-,0,2050,3,-,-,-,-,,一般
10466,2017/10/16,TXO,201710,8700.0,賣權,0.2,0.2,0.2,0.2,10,0.1,3548,0.1,0.2,15,0.1,,一般
10468,2017/10/16,TXO,201710,8800.0,買權,-,-,-,-,0,1950,3,-,-,-,-,,一般
10470,2017/10/16,TXO,201710,8800.0,賣權,0.2,0.2,0.1,0.1,26,0.1,4911,0.1,0.2,18.5,0.1,,一般
10472,2017/10/16,TXO,201710,8900.0,買權,-,-,-,-,0,1850,3,-,-,-,-,,一般
10474,2017/10/16,TXO,201710,8900.0,賣權,-,-,-,-,0,0.1,4930,-,-,-,-,,一般
10476,2017/10/16,TXO,201710,9000.0,買權,-,-,-,-,0,1750,3,-,-,-,-,,一般
10478,2017/10/16,TXO,201710,9000.0,賣權,0.1,0.2,0.1,0.2,39,0.2,4631,0.1,0.2,24.5,0.1,,一般
10480,2017/10/16,TXO,201710,9100.0,買權,-,-,-,-,0,1650,3,-,-,-,-,,一般
10482,2017/10/16,TXO,201710,9100.0,賣權,0.2,0.2,0.2,0.2,7,0.2,3692,0.1,0.2,30,0.1,,一般
10484,2017/10/16,TXO,201710,9200.0,買權,-,-,-,-,0,1550,4,-,-,-,-,,一般
10486,2017/10/16,TXO,201710,9200.0,賣權,0.2,0.2,0.2,0.2,186,0.2,6089,0.1,0.2,36,0.1,,一般
10488,2017/10/16,TXO,201710,9300.0,買權,-,-,-,-,0,1450,3,-,-,-,-,,一般
10490,2017/10/16,TXO,201710,9300.0,賣權,0.3,0.3,0.2,0.2,32,0.2,6236,0.1,0.2,123,0.1,,一般
10492,2017/10/16,TXO,201710,9400.0,買權,-,-,-,-,0,1350,111,-,-,-,-,,一般
10494,2017/10/16,TXO,201710,9400.0,賣權,0.2,0.2,0.1,0.2,449,0.2,9632,0.1,0.2,50,0.1,,一般
10496,2017/10/16,TXO,201710,9500.0,買權,-,-,-,-,0,1250,10,-,-,-,-,,一般
10498,2017/10/16,TXO,201710,9500.0,賣權,0.3,0.5,0.1,0.2,817,0.2,13400,0.1,0.2,61,0.1,,一般
10500,2017/10/16,TXO,201710,9600.0,買權,-,-,-,-,0,1150,25,-,-,-,-,,一般
10502,2017/10/16,TXO,201710,9600.0,賣權,0.2,0.2,0.2,0.2,843,0.2,15671,0.1,0.2,75,0.2,,一般
10504,2017/10/16,TXO,201710,9700.0,買權,-,-,-,-,0,1050,79,-,-,-,-,,一般
10506,2017/10/16,TXO,201710,9700.0,賣權,0.3,0.3,0.2,0.2,2252,0.2,13222,0.1,0.2,91,0.2,,一般
10508,2017/10/16,TXO,201710,9800.0,買權,-,-,-,-,0,955,74,-,-,-,-,,一般
10510,2017/10/16,TXO,201710,9800.0,賣權,0.3,0.3,0.2,0.3,866,0.2,16312,0.1,0.3,109,0.2,,一般
10512,2017/10/16,TXO,201710,9900.0,買權,-,-,-,-,0,855,133,-,-,-,-,,一般
10514,2017/10/16,TXO,201710,9900.0,賣權,0.3,1,0.2,0.2,1222,0.2,21871,0.1,0.3,132,0.2,,一般
10516,2017/10/16,TXO,201710,10000.0,買權,735,760,715,760,57,755,581,640,900,760,112,,一般
10518,2017/10/16,TXO,201710,10000.0,賣權,0.4,0.5,0.2,0.3,1352,0.3,37102,0.2,0.3,162,0.2,,一般
10520,2017/10/16,TXO,201710,10100.0,買權,635,660,625,660,57,655,897,575,670,660,210,,一般
10522,2017/10/16,TXO,201710,10100.0,賣權,0.4,0.5,0.2,0.4,676,0.4,30070,0.2,0.4,197,0.2,,一般
10524,2017/10/16,TXO,201710,10200.0,買權,535,565,515,560,120,555,2737,545,565,565,95,,一般
10526,2017/10/16,TXO,201710,10200.0,賣權,0.7,0.7,0.3,0.5,3307,0.5,31109,0.4,0.5,1220,0.3,,一般
10528,2017/10/16,TXO,201710,10250.0,買權,-,-,-,-,0,505,8,-,-,-,-,,一般
10530,2017/10/16,TXO,201710,10250.0,賣權,0.7,0.8,0.4,0.5,1102,0.5,6582,0.4,0.5,4.3,0.4,,一般
10532,2017/10/16,TXO,201710,10300.0,買權,437,463,416,460,606,457,8351,457,470,463,77,,一般
10534,2017/10/16,TXO,201710,10300.0,賣權,1.2,1.2,0.5,0.6,5002,0.6,31225,0.5,0.7,284,0.5,,一般
