,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/09/02,TXO,201909W1,9600.0,買權,-,-,-,-,0,1030,0,-,-,-,-,,一般
2019/09/02,TXO,201909W1,9600.0,賣權,0.2,0.2,0.2,0.2,917,0.2,1716,0.1,0.4,1.5,0.2,,一般
2019/09/02,TXO,201909W1,9700.0,買權,-,-,-,-,0,930,0,-,-,-,-,,一般
2019/09/02,TXO,201909W1,9700.0,賣權,0.5,0.5,0.2,0.3,644,0.3,1314,0.1,0.4,1.6,0.2,,一般
2019/09/02,TXO,201909W1,9800.0,買權,-,-,-,-,0,830,0,-,-,-,-,,一般
2019/09/02,TXO,201909W1,9800.0,賣權,0.4,0.4,0.2,0.4,726,0.4,3030,0.3,0.4,2.4,0.2,,一般
2019/09/02,TXO,201909W1,9900.0,買權,-,-,-,-,0,730,2,-,-,-,-,,一般
2019/09/02,TXO,201909W1,9900.0,賣權,0.8,0.8,0.2,0.5,1600,0.5,4841,0.3,0.5,4.4,0.2,,一般
2019/09/02,TXO,201909W1,10000.0,買權,-,-,-,-,0,630,0,-,-,-,-,,一般
2019/09/02,TXO,201909W1,10000.0,賣權,0.9,1,0.3,0.6,3627,0.6,6677,0.4,0.7,7.3,0.3,,一般
2019/09/02,TXO,201909W1,10100.0,買權,-,-,-,-,0,530,2,-,-,-,-,,一般
2019/09/02,TXO,201909W1,10100.0,賣權,1.2,1.2,0.5,0.7,3396,0.7,8567,0.6,0.9,12.5,0.5,,一般
2019/09/02,TXO,201909W1,10150.0,買權,463,463,463,463,1,480,4,370,585,463,272,,一般
2019/09/02,TXO,201909W1,10150.0,賣權,1.7,2.7,0.6,1,2447,1,5794,0.7,1.1,17,0.6,,一般
2019/09/02,TXO,201909W1,10200.0,買權,385,413,383,413,10,430,92,320,535,414,207,,一般
2019/09/02,TXO,201909W1,10200.0,賣權,2.2,2.2,0.8,0.9,2153,1.2,8015,0.9,1.2,23,0.8,,一般
2019/09/02,TXO,201909W1,10250.0,買權,330,380,330,380,7,380,278,270,483,380,164,,一般
2019/09/02,TXO,201909W1,10250.0,賣權,3,3,1,1.4,3874,1.4,7115,1.1,1.4,39,1,,一般
2019/09/02,TXO,201909W1,10300.0,買權,289,325,289,325,91,330,472,280,434,334,123,,一般
2019/09/02,TXO,201909W1,10300.0,賣權,4,4,1.2,1.7,7912,1.7,12152,1.6,1.7,43,1.2,,一般
2019/09/02,TXO,201909W1,10350.0,買權,235,283,231,283,369,280,1150,231,385,288,81,,一般
2019/09/02,TXO,201909W1,10350.0,賣權,4.6,4.7,1.6,2.2,10473,2.2,14742,2,2.2,60,1.6,,一般
2019/09/02,TXO,201909W1,10400.0,買權,200,235,182,227,1051,230,2561,223,227,241,60,,一般
2019/09/02,TXO,201909W1,10400.0,賣權,7,7.5,2.2,2.9,10851,2.9,14467,2.7,2.9,89,2.2,,一般
2019/09/02,TXO,201909W1,10450.0,買權,144,186,137,178,2396,180,4516,175,179,194,37.5,,一般
2019/09/02,TXO,201909W1,10450.0,賣權,10,10.5,3.1,4.2,14776,4.2,18330,4.2,4.4,108,3.1,,一般
2019/09/02,TXO,201909W1,10500.0,買權,98,138,92,130,5707,130,7482,130,131,149,21.5,,一般
2019/09/02,TXO,201909W1,10500.0,賣權,18,18,5,6.9,26020,6.9,17640,6.9,7,150,5,,一般
2019/09/02,TXO,201909W1,10550.0,買權,59,93,55,86,18913,86,13251,85,86,107,11,,一般
2019/09/02,TXO,201909W1,10550.0,賣權,26.5,30.5,9.3,11.5,30289,11.5,16175,11.5,12,177,9.3,,一般
2019/09/02,TXO,201909W1,10600.0,買權,29,51,27.5,46.5,37256,46.5,17182,44.5,46.5,69,5,,一般
2019/09/02,TXO,201909W1,10600.0,賣權,51,52,18,22,39290,22,18470,22,23,222,18,,一般
