,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/09/03,TXO,201809W1,10200.0,買權,-,-,-,-,0,760,10,-,-,-,-,,一般
2018/09/03,TXO,201809W1,10200.0,賣權,0.4,0.4,0.4,0.4,223,0.4,5043,0.3,0.4,1.3,0.4,,一般
2018/09/03,TXO,201809W1,10300.0,買權,-,-,-,-,0,660,12,-,-,-,-,,一般
2018/09/03,TXO,201809W1,10300.0,賣權,0.5,0.5,0.4,0.4,165,0.4,2332,0.3,0.4,1.6,0.4,,一般
2018/09/03,TXO,201809W1,10400.0,買權,-,-,-,-,0,560,0,-,-,-,-,,一般
2018/09/03,TXO,201809W1,10400.0,賣權,0.6,0.6,0.5,0.5,657,0.5,4818,0.5,0.6,1.9,0.5,,一般
2018/09/03,TXO,201809W1,10500.0,買權,-,-,-,-,0,460,0,-,-,-,-,,一般
2018/09/03,TXO,201809W1,10500.0,賣權,0.8,1,0.7,0.8,1017,0.8,6838,0.7,0.8,2.7,0.7,,一般
2018/09/03,TXO,201809W1,10600.0,買權,-,-,-,-,0,360,1,-,-,-,-,,一般
2018/09/03,TXO,201809W1,10600.0,賣權,1.2,1.7,1,1.3,3210,1.3,6804,1.1,1.3,4.4,1,,一般
2018/09/03,TXO,201809W1,10700.0,買權,331,335,260,260,35,260,55,257,262,353,260,,一般
2018/09/03,TXO,201809W1,10700.0,賣權,2.2,3.3,1.6,2.2,5521,2.2,6566,2.2,2.3,9.4,1.6,,一般
2018/09/03,TXO,201809W1,10750.0,買權,312,312,201,201,68,211,83,209,212,379,201,,一般
2018/09/03,TXO,201809W1,10750.0,賣權,3.1,5.1,2.1,3.5,4593,3.5,5596,3.4,3.5,10.5,2.1,,一般
2018/09/03,TXO,201809W1,10800.0,買權,261,261,154,164,285,164,247,162,165,355,154,,一般
2018/09/03,TXO,201809W1,10800.0,賣權,5,8.3,2.8,5.9,11972,5.9,10085,5.9,6.1,15.5,2.8,,一般
2018/09/03,TXO,201809W1,10850.0,買權,223,224,110,119,1170,119,599,118,120,304,110,,一般
2018/09/03,TXO,201809W1,10850.0,賣權,6.9,15,4.2,11.5,12685,11.5,11321,11,11.5,25,4.2,,一般
2018/09/03,TXO,201809W1,10900.0,買權,151,179,70,79,6540,79,2899,78,79,259,70,,一般
2018/09/03,TXO,201809W1,10900.0,賣權,11,27,6.8,21,25743,21,16741,20.5,21,48,6.8,,一般
2018/09/03,TXO,201809W1,10950.0,買權,116,134,41,46.5,25907,46.5,7891,46,46.5,219,41,,一般
2018/09/03,TXO,201809W1,10950.0,賣權,19.5,47,12,38.5,40571,38.5,11936,38,39,51,11,,一般
2018/09/03,TXO,201809W1,11000.0,買權,75,94,20,23.5,42891,23.5,18352,23,23.5,176,20,,一般
2018/09/03,TXO,201809W1,11000.0,賣權,32,77,21,65,46158,65,10936,65,66,90,17,,一般
2018/09/03,TXO,201809W1,11050.0,買權,44,59,8.7,9.9,49548,9.9,23130,10,10.5,135,8.7,,一般
2018/09/03,TXO,201809W1,11050.0,賣權,55,114,36,103,25676,103,5305,102,103,114,26.5,,一般
2018/09/03,TXO,201809W1,11100.0,買權,24.5,32,3.5,4.2,51646,4.2,30831,4.1,4.2,99,3.5,,一般
2018/09/03,TXO,201809W1,11100.0,賣權,80,159,59,146,13304,146,6125,145,148,159,40.5,,一般
2018/09/03,TXO,201809W1,11150.0,買權,12,15,1.4,1.6,28957,1.6,15541,1.6,1.7,68,1.4,,一般
2018/09/03,TXO,201809W1,11150.0,賣權,117,208,92,193,4291,193,2622,193,196,208,59,,一般
2018/09/03,TXO,201809W1,11200.0,買權,5.5,6.2,0.7,0.9,15397,0.9,13626,0.8,0.9,44,0.7,,一般
2018/09/03,TXO,201809W1,11200.0,賣權,160,257,135,242,1787,242,1001,242,245,257,86,,一般
2018/09/03,TXO,201809W1,11250.0,買權,1.5,2.3,0.4,0.5,5346,0.5,9163,0.4,0.5,26,0.4,,一般
2018/09/03,TXO,201809W1,11250.0,賣權,192,307,181,290,160,290,245,291,295,307,118,,一般
2018/09/03,TXO,201809W1,11300.0,買權,0.5,0.9,0.2,0.2,1495,0.2,5776,0.2,0.3,16,0.2,,一般
2018/09/03,TXO,201809W1,11300.0,賣權,268,313,268,313,2,340,113,340,345,316,156,,一般
2018/09/03,TXO,201809W1,11350.0,買權,0.6,0.6,0.2,0.2,3055,0.2,3284,0.1,0.2,7.2,0.2,,一般
2018/09/03,TXO,201809W1,11350.0,賣權,322,322,322,322,1,390,41,390,395,331,200,,一般
2018/09/03,TXO,201809W1,11400.0,買權,0.3,0.5,0.2,0.2,2173,0.2,6710,0.1,0.2,3.7,0.2,,一般
2018/09/03,TXO,201809W1,11400.0,賣權,-,-,-,-,0,440,4,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11500.0,買權,0.2,0.2,0.1,0.1,63,0.1,2880,0.1,0.2,1,0.1,,一般
2018/09/03,TXO,201809W1,11500.0,賣權,-,-,-,-,0,540,0,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11600.0,買權,-,-,-,-,0,0.1,500,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11600.0,賣權,-,-,-,-,0,640,0,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11700.0,買權,0.2,0.2,0.2,0.2,1,0.1,446,0.1,0.2,0.3,0.2,,一般
2018/09/03,TXO,201809W1,11700.0,賣權,-,-,-,-,0,740,0,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11800.0,買權,-,-,-,-,0,0.1,399,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11800.0,賣權,-,-,-,-,0,840,2,-,-,-,-,,一般
2018/09/03,TXO,201809W1,11900.0,買權,0.2,0.2,0.2,0.2,1,0.1,132,0.1,0.2,0.2,0.1,,一般
2018/09/03,TXO,201809W1,11900.0,賣權,880,890,880,890,4,940,0,935,950,890,880,,一般
2018/09/03,TXO,201809  ,8200.0,買權,-,-,-,-,0,2730,2,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8200.0,賣權,0.4,0.4,0.3,0.4,400,0.4,12585,0.2,0.4,1130,0.3,,一般
2018/09/03,TXO,201809  ,8300.0,買權,-,-,-,-,0,2630,0,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8300.0,賣權,-,-,-,-,0,0.4,2511,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8400.0,買權,-,-,-,-,0,2530,0,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8400.0,賣權,-,-,-,-,0,0.4,3860,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8500.0,買權,-,-,-,-,0,2430,0,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8500.0,賣權,0.6,0.6,0.5,0.5,3,0.5,1347,0.5,0.7,23.5,0.3,,一般
2018/09/03,TXO,201809  ,8600.0,買權,-,-,-,-,0,2330,5,-,-,-,-,,一般
2018/09/03,TXO,201809  ,8600.0,賣權,0.6,0.6,0.6,0.6,2,0.6,2826,0.6,0.8,1140,0.4,,一般
2018/09/03,TXO,201809  ,8700.0,買權,-,-,-,-,0,2230,16,-,-,-,-,,一般
