,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2020/01/02,TXO,202001W1,11100.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11100.0,賣權,-,-,-,-,0,0,465,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11200.0,買權,-,-,-,-,0,0,1,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11200.0,賣權,-,-,-,-,0,0,321,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11300.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11300.0,賣權,-,-,-,-,0,0,906,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11400.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11400.0,賣權,-,-,-,-,0,0,639,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11500.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11500.0,賣權,0.2,0.2,0.2,0.2,1,0,4996,-,0.1,2.4,0.2,,一般
2020/01/02,TXO,202001W1,11600.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11600.0,賣權,1.9,1.9,0.1,0.1,176,0,2948,-,0.1,3.8,0.1,,一般
2020/01/02,TXO,202001W1,11650.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11650.0,賣權,0.1,0.1,0.1,0.1,2,0,2819,-,0.1,4.9,0.1,,一般
2020/01/02,TXO,202001W1,11700.0,買權,-,-,-,-,0,0,20,-,-,-,-,,一般
2020/01/02,TXO,202001W1,11700.0,賣權,0.1,0.4,0.1,0.2,425,0,5025,-,0.2,6.5,0.1,,一般
2020/01/02,TXO,202001W1,11750.0,買權,295,295,295,295,20,0,66,350,355,358,253,,一般
2020/01/02,TXO,202001W1,11750.0,賣權,0.5,0.5,0.1,0.1,288,0,5333,-,0.2,9.6,0.1,,一般
2020/01/02,TXO,202001W1,11800.0,買權,249,304,234,302,755,0,498,300,302,329,172,,一般
2020/01/02,TXO,202001W1,11800.0,賣權,0.3,0.3,0.1,0.1,698,0,9692,-,0.1,15,0.1,,一般
2020/01/02,TXO,202001W1,11850.0,買權,199,261,183,251,601,0,557,163,252,279,127,,一般
2020/01/02,TXO,202001W1,11850.0,賣權,0.2,0.4,0.1,0.1,1146,0,10993,-,0.1,25,0.1,,一般
2020/01/02,TXO,202001W1,11900.0,買權,140,217,132,202,4597,0,893,201,202,230,79,,一般
2020/01/02,TXO,202001W1,11900.0,賣權,0.4,0.5,0.1,0.1,3661,0,15708,-,0.2,35.5,0.1,,一般
