,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/10/01,TXO,201910W1,10000.0,買權,-,-,-,-,0,955,0,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10000.0,賣權,0.2,0.2,0.1,0.1,131,0.1,90,-,0.4,0.2,0.1,,一般
2019/10/01,TXO,201910W1,10100.0,買權,-,-,-,-,0,855,0,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10100.0,賣權,0.7,0.7,0.1,0.1,402,0.1,1613,-,0.4,1.6,0.1,,一般
2019/10/01,TXO,201910W1,10200.0,買權,-,-,-,-,0,755,0,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10200.0,賣權,0.3,0.3,0.1,0.2,438,0.2,3366,-,0.6,2.3,0.1,,一般
2019/10/01,TXO,201910W1,10300.0,買權,-,-,-,-,0,655,1,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10300.0,賣權,0.4,0.4,0.1,0.2,129,0.2,4675,0.1,0.2,3.4,0.1,,一般
2019/10/01,TXO,201910W1,10400.0,買權,-,-,-,-,0,555,0,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10400.0,賣權,1,1,0.1,0.2,756,0.2,9258,0.1,0.3,5.7,0.1,,一般
2019/10/01,TXO,201910W1,10500.0,買權,-,-,-,-,0,458,6,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10500.0,賣權,1.1,1.1,0.2,0.2,999,0.2,6275,0.3,0.4,9.2,0.2,,一般
2019/10/01,TXO,201910W1,10550.0,買權,-,-,-,-,0,408,0,-,-,-,-,,一般
2019/10/01,TXO,201910W1,10550.0,賣權,0.3,0.8,0.2,0.2,1028,0.2,3175,0.2,0.4,6.5,0.2,,一般
2019/10/01,TXO,201910W1,10600.0,買權,296,347,294,347,228,358,54,111,755,347,232,,一般
2019/10/01,TXO,201910W1,10600.0,賣權,1,1,0.3,0.5,3454,0.5,16363,0.3,0.5,17,0.3,,一般
2019/10/01,TXO,201910W1,10650.0,買權,250,305,244,305,450,308,235,306,350,305,158,,一般
2019/10/01,TXO,201910W1,10650.0,賣權,2.7,2.7,0.3,0.5,3437,0.5,9838,0.4,0.6,22.5,0.3,,一般
2019/10/01,TXO,201910W1,10700.0,買權,150,264,150,260,1348,258,519,256,363,264,108,,一般
2019/10/01,TXO,201910W1,10700.0,賣權,3.1,3.1,0.5,0.7,8319,0.7,11221,0.7,0.8,30.5,0.5,,一般
