,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/05/02,TXO,201805W1,9700.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,9700.0,賣權,-,-,-,-,0,0,765,-,-,-,-,,一般
2018/05/02,TXO,201805W1,9800.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,9800.0,賣權,-,-,-,-,0,0,4920,-,-,-,-,,一般
2018/05/02,TXO,201805W1,9900.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,9900.0,賣權,0.1,0.1,0.1,0.1,10,0,4019,-,0.1,4.1,0.1,,一般
2018/05/02,TXO,201805W1,10000.0,買權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,10000.0,賣權,0.2,0.2,0.1,0.2,229,0,7827,-,0.1,6.7,0.1,,一般
2018/05/02,TXO,201805W1,10100.0,買權,-,-,-,-,0,0,5,-,-,-,-,,一般
2018/05/02,TXO,201805W1,10100.0,賣權,0.2,0.2,0.1,0.1,242,0,4844,-,0.1,11.5,0.1,,一般
2018/05/02,TXO,201805W1,10200.0,買權,-,-,-,-,0,0,3,-,-,-,-,,一般
2018/05/02,TXO,201805W1,10200.0,賣權,0.3,0.3,0.1,0.1,499,0,9222,-,0.1,19,0.1,,一般
2018/05/02,TXO,201805W1,10250.0,買權,-,-,-,-,0,0,14,-,-,-,-,,一般
2018/05/02,TXO,201805W1,10250.0,賣權,0.1,0.2,0.1,0.1,278,0,5333,-,0.1,23.5,0.1,,一般
2018/05/02,TXO,201805W1,10300.0,買權,343,343,343,343,3,0,94,239,476,343,191,,一般
2018/05/02,TXO,201805W1,10300.0,賣權,0.2,0.3,0.1,0.1,1294,0,9211,-,0.1,33,0.1,,一般
2018/05/02,TXO,201805W1,10350.0,買權,304,304,260,261,33,0,503,260,261,304,151,,一般
2018/05/02,TXO,201805W1,10350.0,賣權,0.5,0.5,0.1,0.1,723,0,8648,-,0.1,44,0.1,,一般
2018/05/02,TXO,201805W1,10400.0,買權,245,271,209,210,338,0,983,210,211,271,114,,一般
2018/05/02,TXO,201805W1,10400.0,賣權,0.9,0.9,0.1,0.1,2160,0,11665,-,0.1,59,0.1,,一般
2018/05/02,TXO,201805W1,10450.0,買權,179,226,161,161,1734,0,2122,161,162,226,82,,一般
2018/05/02,TXO,201805W1,10450.0,賣權,1.2,1.2,0.1,0.1,4803,0,12128,-,0.1,76,0.1,,一般
2018/05/02,TXO,201805W1,10500.0,買權,128,175,110,111,5593,0,2537,110,111,175,55,,一般
2018/05/02,TXO,201805W1,10500.0,賣權,2.5,2.5,0.1,0.1,9871,0,17588,-,0.1,99,0.1,,一般
2018/05/02,TXO,201805W1,10550.0,買權,89,126,60,61,14417,0,6138,60,61,126,35,,一般
2018/05/02,TXO,201805W1,10550.0,賣權,4.8,4.9,0.1,0.1,20555,0,18390,-,0.1,126,0.1,,一般
2018/05/02,TXO,201805W1,10600.0,買權,40,78,10.5,10.5,65466,0,9279,10.5,11,87,10.5,,一般
2018/05/02,TXO,201805W1,10600.0,賣權,15.5,15.5,0.1,0.1,66121,0,29434,-,0.1,161,0.1,,一般
2018/05/02,TXO,201805W1,10650.0,買權,18,36,0.1,0.1,104812,0,32906,-,0.1,59,0.1,,一般
2018/05/02,TXO,201805W1,10650.0,賣權,41.5,41.5,3.5,39,136018,0,7328,39,39.5,203,3.5,,一般
2018/05/02,TXO,201805W1,10700.0,買權,3.9,11,0.1,0.1,57853,0,28478,-,0.1,37,0.1,,一般
2018/05/02,TXO,201805W1,10700.0,賣權,70,89,32,88,45664,0,5475,88,89,240,32,,一般
2018/05/02,TXO,201805W1,10750.0,買權,1,1.9,0.1,0.1,12011,0,15284,-,0.1,21.5,0.1,,一般
2018/05/02,TXO,201805W1,10750.0,賣權,116,139,75,138,8113,0,868,138,139,292,75,,一般
2018/05/02,TXO,201805W1,10800.0,買權,0.6,0.6,0.1,0.1,3836,0,14163,-,0.1,11.5,0.1,,一般
2018/05/02,TXO,201805W1,10800.0,賣權,159,191,126,189,2477,0,209,188,191,324,126,,一般
2018/05/02,TXO,201805W1,10850.0,買權,0.4,0.4,0.1,0.2,403,0,7754,-,0.1,5.6,0.1,,一般
2018/05/02,TXO,201805W1,10850.0,賣權,199,241,178,238,536,0,72,237,240,361,178,,一般
2018/05/02,TXO,201805W1,10900.0,買權,0.3,0.3,0.1,0.1,446,0,6654,-,0.1,3.3,0.1,,一般
2018/05/02,TXO,201805W1,10900.0,賣權,241,276,229,276,160,0,48,112,290,386,229,,一般
2018/05/02,TXO,201805W1,10950.0,買權,0.2,0.2,0.1,0.1,240,0,200,-,0.1,0.2,0.1,,一般
2018/05/02,TXO,201805W1,10950.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11000.0,買權,0.1,0.1,0.1,0.1,40,0,4819,-,0.1,1.5,0.1,,一般
2018/05/02,TXO,201805W1,11000.0,賣權,-,-,-,-,0,0,5,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11100.0,買權,0.1,0.1,0.1,0.1,61,0,1577,-,0.1,1,0.1,,一般
2018/05/02,TXO,201805W1,11100.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11200.0,買權,0.1,0.1,0.1,0.1,40,0,720,-,0.1,0.7,0.1,,一般
2018/05/02,TXO,201805W1,11200.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11300.0,買權,0.1,0.1,0.1,0.1,20,0,41,-,0.1,0.5,0.1,,一般
2018/05/02,TXO,201805W1,11300.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11400.0,買權,0.1,0.1,0.1,0.1,20,0,82,-,0.1,0.5,0.1,,一般
2018/05/02,TXO,201805W1,11400.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W1,11500.0,買權,0.1,0.2,0.1,0.2,672,0,672,-,0.1,0.2,0.1,,一般
2018/05/02,TXO,201805W1,11500.0,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般
2018/05/02,TXO,201805W2,9900.0,買權,740,740,740,740,2,715,2,700,735,740,740,,一般
2018/05/02,TXO,201805W2,9900.0,賣權,1.7,1.8,1.5,1.5,2289,1.5,1738,1.4,1.5,1.8,1.5,,一般
2018/05/02,TXO,201805W2,10000.0,買權,670,670,670,670,2,615,2,600,635,670,670,,一般
2018/05/02,TXO,201805W2,10000.0,賣權,2.5,2.5,1.8,2.1,2070,2.1,1315,2.1,2.2,2.5,1.8,,一般
2018/05/02,TXO,201805W2,10100.0,買權,555,555,555,555,1,515,1,505,535,555,555,,一般
2018/05/02,TXO,201805W2,10100.0,賣權,3.6,3.6,2.4,3.4,2036,3.4,1355,3.2,3.4,3.6,2.4,,一般
2018/05/02,TXO,201805W2,10200.0,買權,457,457,435,435,2,419,2,405,436,457,435,,一般
2018/05/02,TXO,201805W2,10200.0,賣權,5.6,5.7,3.8,5.4,2652,5.4,1858,5.3,5.4,5.7,3.8,,一般
2018/05/02,TXO,201805W2,10300.0,買權,364,364,364,364,1,323,1,311,339,364,364,,一般
2018/05/02,TXO,201805W2,10300.0,賣權,10,10.5,6.7,9.5,3584,9.5,2092,9,9.7,10.5,6.7,,一般
2018/05/02,TXO,201805W2,10350.0,買權,313,313,283,286,16,277,14,274,284,313,283,,一般
2018/05/02,TXO,201805W2,10350.0,賣權,14,14.5,8.9,13.5,2493,13.5,1415,13,13.5,14.5,8.9,,一般
2018/05/02,TXO,201805W2,10400.0,買權,263,279,229,232,46,232,29,231,238,279,229,,一般
2018/05/02,TXO,201805W2,10400.0,賣權,18,20.5,12.5,18.5,4336,18.5,2380,18,18.5,20.5,12.5,,一般
2018/05/02,TXO,201805W2,10450.0,買權,214,230,185,194,78,188,32,187,195,230,185,,一般
2018/05/02,TXO,201805W2,10450.0,賣權,25,29,17.5,24.5,4183,24.5,2082,24,25.5,29,17.5,,一般
2018/05/02,TXO,201805W2,10500.0,買權,198,198,144,150,596,150,442,146,152,198,144,,一般
2018/05/02,TXO,201805W2,10500.0,賣權,31,40,24,35.5,4990,35.5,2661,35.5,36,40,24,,一般
2018/05/02,TXO,201805W2,10550.0,買權,147,161,109,113,2366,113,1445,112,115,161,109,,一般
2018/05/02,TXO,201805W2,10550.0,賣權,50,55,31,49.5,4867,49.5,2331,49,49.5,55,31,,一般
2018/05/02,TXO,201805W2,10600.0,買權,114,127,78,80,4635,80,2970,80,82,127,78,,一般
2018/05/02,TXO,201805W2,10600.0,賣權,68,74,46.5,67,6119,67,2565,65,67,74,46.5,,一般
2018/05/02,TXO,201805W2,10650.0,買權,80,94,53,57,6893,57,3552,55,58,94,53,,一般
2018/05/02,TXO,201805W2,10650.0,賣權,91,129,65,89,5219,89,2319,89,91,129,65,,一般
