,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10423,2017/7/17,TXO,201707,8100.0,買權,-,-,-,-,0,2340,2,-,-,-,-,,一般
10425,2017/7/17,TXO,201707,8100.0,賣權,0.2,0.2,0.2,0.2,10,0.1,2475,-,0.1,14.5,0.1,,一般
10427,2017/7/17,TXO,201707,8200.0,買權,-,-,-,-,0,2240,1,-,-,-,-,,一般
10429,2017/7/17,TXO,201707,8200.0,賣權,-,-,-,-,0,0.1,1173,-,-,-,-,,一般
10431,2017/7/17,TXO,201707,8300.0,買權,-,-,-,-,0,2140,1,-,-,-,-,,一般
10433,2017/7/17,TXO,201707,8300.0,賣權,-,-,-,-,0,0.1,827,-,-,-,-,,一般
10435,2017/7/17,TXO,201707,8400.0,買權,-,-,-,-,0,2040,1,-,-,-,-,,一般
10437,2017/7/17,TXO,201707,8400.0,賣權,-,-,-,-,0,0.1,1114,-,-,-,-,,一般
10439,2017/7/17,TXO,201707,8500.0,買權,-,-,-,-,0,1940,1,-,-,-,-,,一般
10441,2017/7/17,TXO,201707,8500.0,賣權,-,-,-,-,0,0.1,1703,-,-,-,-,,一般
10443,2017/7/17,TXO,201707,8600.0,買權,-,-,-,-,0,1840,2,-,-,-,-,,一般
10445,2017/7/17,TXO,201707,8600.0,賣權,-,-,-,-,0,0.1,1378,-,-,-,-,,一般
10447,2017/7/17,TXO,201707,8700.0,買權,-,-,-,-,0,1740,2,-,-,-,-,,一般
10449,2017/7/17,TXO,201707,8700.0,賣權,-,-,-,-,0,0.1,1512,-,-,-,-,,一般
10451,2017/7/17,TXO,201707,8800.0,買權,-,-,-,-,0,1640,10,-,-,-,-,,一般
10453,2017/7/17,TXO,201707,8800.0,賣權,-,-,-,-,0,0.1,3262,-,-,-,-,,一般
10455,2017/7/17,TXO,201707,8900.0,買權,-,-,-,-,0,1540,4,-,-,-,-,,一般
10457,2017/7/17,TXO,201707,8900.0,賣權,0.1,0.1,0.1,0.1,25,0.1,2867,-,0.2,87,0.1,,一般
10459,2017/7/17,TXO,201707,9000.0,買權,-,-,-,-,0,1440,69,-,-,-,-,,一般
10461,2017/7/17,TXO,201707,9000.0,賣權,0.2,0.2,0.1,0.1,220,0.1,14479,-,0.2,100,0.1,,一般
10463,2017/7/17,TXO,201707,9100.0,買權,-,-,-,-,0,1340,3,-,-,-,-,,一般
