,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
9408,2016/12/1,TXO,201612W1,8500.0,買權,0.0,0.0,0.0,0.0,0,765.0,3,535.0,1180.0,705.0,690.0,
9409,2016/12/1,TXO,201612W1,8500.0,賣權,0.4,0.5,0.4,0.5,228,0.5,934,0.4,0.5,0.7,0.4,
9410,2016/12/1,TXO,201612W1,8600.0,買權,0.0,0.0,0.0,0.0,0,665.0,2,432.0,1080.0,620.0,615.0,
9411,2016/12/1,TXO,201612W1,8600.0,賣權,0.7,0.8,0.5,0.7,864,0.7,2080,0.6,0.7,1.1,0.5,
9412,2016/12/1,TXO,201612W1,8700.0,買權,0.0,0.0,0.0,0.0,0,565.0,0,332.0,980.0,0.0,0.0,
9413,2016/12/1,TXO,201612W1,8700.0,賣權,1.0,1.0,0.7,0.9,2457,0.9,5247,0.9,1.0,1.6,0.7,
9414,2016/12/1,TXO,201612W1,8800.0,買權,446.0,478.0,446.0,478.0,2,465.0,2,234.0,492.0,478.0,436.0,
9415,2016/12/1,TXO,201612W1,8800.0,賣權,2.3,2.3,1.2,1.6,6359,1.6,9268,1.5,1.6,3.0,1.2,
9416,2016/12/1,TXO,201612W1,8900.0,買權,340.0,378.0,340.0,378.0,4,365.0,6,236.0,780.0,378.0,301.0,
9417,2016/12/1,TXO,201612W1,8900.0,賣權,3.0,3.5,1.9,2.3,6820,2.3,8562,2.3,2.4,5.9,1.9,
9418,2016/12/1,TXO,201612W1,8950.0,買權,295.0,295.0,295.0,295.0,2,316.0,24,191.0,740.0,295.0,255.0,
9419,2016/12/1,TXO,201612W1,8950.0,賣權,5.1,5.3,2.4,2.7,17023,2.7,12765,2.6,2.7,9.3,2.4,
9420,2016/12/1,TXO,201612W1,9000.0,買權,243.0,273.0,237.0,270.0,45,270.0,78,269.0,680.0,273.0,204.0,
