,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/07/02,TXO,201807W1,9900.0,買權,-,-,-,-,0,835,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,9900.0,賣權,0.3,0.4,0.1,0.2,104,0.2,3479,0.2,0.3,1.9,0.1,,一般
2018/07/02,TXO,201807W1,10000.0,買權,-,-,-,-,0,735,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,10000.0,賣權,0.3,0.3,0.2,0.3,344,0.3,5287,0.1,0.4,2.5,0.2,,一般
2018/07/02,TXO,201807W1,10100.0,買權,-,-,-,-,0,635,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,10100.0,賣權,0.5,0.6,0.3,0.5,284,0.5,4720,0.3,0.5,3.6,0.3,,一般
2018/07/02,TXO,201807W1,10200.0,買權,-,-,-,-,0,535,2,-,-,-,-,,一般
2018/07/02,TXO,201807W1,10200.0,賣權,0.6,0.8,0.4,0.7,1239,0.7,9465,0.6,0.8,6.8,0.4,,一般
2018/07/02,TXO,201807W1,10300.0,買權,-,-,-,-,0,437,3,-,-,-,-,,一般
2018/07/02,TXO,201807W1,10300.0,賣權,1.1,1.3,0.2,1.3,2065,1.3,8872,1.1,1.4,11.5,0.2,,一般
2018/07/02,TXO,201807W1,10350.0,買權,-,-,-,-,0,387,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,10350.0,賣權,1.5,1.8,0.7,1.8,2108,1.8,4160,1.6,1.7,9.3,0.7,,一般
2018/07/02,TXO,201807W1,10400.0,買權,436,439,397,397,12,340,81,333,341,439,236,,一般
2018/07/02,TXO,201807W1,10400.0,賣權,2.2,2.5,0.9,2.5,4273,2.5,8764,2.4,2.6,22,0.9,,一般
2018/07/02,TXO,201807W1,10450.0,買權,379,379,294,294,7,292,704,287,293,379,187,,一般
2018/07/02,TXO,201807W1,10450.0,賣權,3,3.5,1.1,3.5,5926,3.5,7118,3.4,3.9,30,1.1,,一般
2018/07/02,TXO,201807W1,10500.0,買權,308,340,243,244,558,242,659,236,244,340,149,,一般
2018/07/02,TXO,201807W1,10500.0,賣權,3.3,5.5,1.4,5.5,6396,5.5,10490,5.2,5.6,41.5,1.4,,一般
2018/07/02,TXO,201807W1,10550.0,買權,254,290,192,192,326,192,904,189,196,290,114,,一般
2018/07/02,TXO,201807W1,10550.0,賣權,6,8.5,1.9,8.5,9659,8.5,9722,8.4,8.5,57,1.9,,一般
2018/07/02,TXO,201807W1,10600.0,買權,204,245,148,150,1529,150,2122,148,150,245,82,,一般
2018/07/02,TXO,201807W1,10600.0,賣權,7.9,13.5,2.8,13.5,15468,13.5,10969,13,13.5,76,2.8,,一般
2018/07/02,TXO,201807W1,10650.0,買權,166,199,105,108,4848,108,4634,106,108,199,58,,一般
2018/07/02,TXO,201807W1,10650.0,賣權,14.5,21.5,4.6,21,41083,21,15467,20.5,21,101,4.6,,一般
2018/07/02,TXO,201807W1,10700.0,買權,124,151,69,69,12544,69,7583,69,70,151,37,,一般
2018/07/02,TXO,201807W1,10700.0,賣權,21,35,8.4,34,33008,34,13226,34,34.5,130,8.4,,一般
2018/07/02,TXO,201807W1,10750.0,買權,85,108,41,41.5,26858,41.5,13006,41.5,42,108,22.5,,一般
2018/07/02,TXO,201807W1,10750.0,賣權,31,57,15.5,56,39509,56,10845,56,57,165,15.5,,一般
2018/07/02,TXO,201807W1,10800.0,買權,54,72,20,20.5,40126,20.5,14574,20,20.5,72,13.5,,一般
2018/07/02,TXO,201807W1,10800.0,賣權,51,86,27.5,85,40278,85,9640,85,86,206,27.5,,一般
2018/07/02,TXO,201807W1,10850.0,買權,31,41.5,8.5,8.8,39905,8.8,15112,8.5,8.8,44,7.4,,一般
2018/07/02,TXO,201807W1,10850.0,賣權,78,125,47.5,124,21181,124,3990,122,124,247,47.5,,一般
2018/07/02,TXO,201807W1,10900.0,買權,14.5,21.5,3.1,3.2,29185,3.2,14486,3.2,3.3,24,3.1,,一般
2018/07/02,TXO,201807W1,10900.0,賣權,115,169,77,166,8750,166,1272,166,168,289,77,,一般
2018/07/02,TXO,201807W1,10950.0,買權,7.4,9.5,1.2,1.3,16461,1.3,9613,1.1,1.3,13.5,1.2,,一般
2018/07/02,TXO,201807W1,10950.0,賣權,160,217,116,215,3310,215,1810,214,217,290,116,,一般
2018/07/02,TXO,201807W1,11000.0,買權,2.6,3.8,0.4,0.5,7209,0.5,9658,0.5,0.6,8,0.4,,一般
2018/07/02,TXO,201807W1,11000.0,賣權,200,256,163,250,366,262,93,262,270,367,163,,一般
2018/07/02,TXO,201807W1,11050.0,買權,1.6,1.6,0.2,0.3,2411,0.3,4695,0.2,0.3,5,0.2,,一般
2018/07/02,TXO,201807W1,11050.0,賣權,220,310,220,310,55,310,42,310,319,346,220,,一般
2018/07/02,TXO,201807W1,11100.0,買權,0.4,0.6,0.2,0.2,365,0.2,5193,0.1,0.3,2.4,0.2,,一般
2018/07/02,TXO,201807W1,11100.0,賣權,266,266,266,266,1,360,1,360,369,266,266,,一般
2018/07/02,TXO,201807W1,11150.0,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11150.0,賣權,-,-,-,-,0,410,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11200.0,買權,0.1,0.1,0.1,0.1,3,0.1,2085,0.1,0.2,1.2,0.1,,一般
2018/07/02,TXO,201807W1,11200.0,賣權,-,-,-,-,0,460,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11300.0,買權,0.3,0.3,0.1,0.1,54,0.1,792,0.1,0.2,0.6,0.1,,一般
2018/07/02,TXO,201807W1,11300.0,賣權,-,-,-,-,0,560,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11400.0,買權,0.2,0.2,0.2,0.2,1,0.1,2,0.1,0.2,0.4,0.1,,一般
2018/07/02,TXO,201807W1,11400.0,賣權,-,-,-,-,0,660,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11500.0,買權,-,-,-,-,0,0.1,15,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11500.0,賣權,-,-,-,-,0,760,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11600.0,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
2018/07/02,TXO,201807W1,11600.0,賣權,-,-,-,-,0,860,0,-,-,-,-,,一般
2018/07/02,TXO,201807  ,8900.0,買權,-,-,-,-,0,1710,5,-,-,-,-,,一般
2018/07/02,TXO,201807  ,8900.0,賣權,2.1,2.5,2,2.5,512,2.5,3795,2.1,2.5,37,1.8,,一般
2018/07/02,TXO,201807  ,9000.0,買權,-,-,-,-,0,1610,1,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9000.0,賣權,2.2,2.6,2,2.6,119,2.6,3196,2.4,2.8,1070,1.9,,一般
2018/07/02,TXO,201807  ,9100.0,買權,-,-,-,-,0,1510,5,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9100.0,賣權,2.6,3.2,2.5,3.2,122,3.2,966,1,3.3,46,2.5,,一般
2018/07/02,TXO,201807  ,9200.0,買權,-,-,-,-,0,1410,1,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9200.0,賣權,3,3.8,2.7,3.8,317,3.8,1219,2.6,3.9,59,2.7,,一般
2018/07/02,TXO,201807  ,9300.0,買權,-,-,-,-,0,1310,2,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9300.0,賣權,3.8,4.7,3.4,4.6,366,4.6,1971,3,5,67,3.4,,一般
2018/07/02,TXO,201807  ,9400.0,買權,-,-,-,-,0,1220,11,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9400.0,賣權,4.9,5.6,3.6,5.6,1075,5.6,3267,3.9,5.9,81,3.6,,一般
2018/07/02,TXO,201807  ,9500.0,買權,-,-,-,-,0,1120,26,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9500.0,賣權,5.2,6.5,4.3,6.5,748,6.5,5282,6.1,6.7,94,4.3,,一般
2018/07/02,TXO,201807  ,9600.0,買權,-,-,-,-,0,1020,38,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9600.0,賣權,6.3,7.2,4.9,7.2,265,7.2,5698,7.2,7.5,109,4.9,,一般
2018/07/02,TXO,201807  ,9700.0,買權,-,-,-,-,0,920,5,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9700.0,賣權,7.5,8.9,5.8,8.9,1170,8.9,6740,8.3,9,128,5.8,,一般
2018/07/02,TXO,201807  ,9800.0,買權,895,900,895,900,4,820,402,765,825,935,565,,一般
2018/07/02,TXO,201807  ,9800.0,賣權,8.8,11,6.8,11,850,11,5294,10,11,147,6.8,,一般
2018/07/02,TXO,201807  ,9900.0,買權,-,-,-,-,0,725,9,-,-,-,-,,一般
2018/07/02,TXO,201807  ,9900.0,賣權,10.5,14,8.3,13.5,1369,13.5,6348,13.5,14,900,8.3,,一般
2018/07/02,TXO,201807  ,10000.0,買權,710,710,630,630,4,630,69,575,685,755,389,,一般
2018/07/02,TXO,201807  ,10000.0,賣權,12,18.5,10,18.5,2027,18.5,10717,17.5,19,199,10,,一般
2018/07/02,TXO,201807  ,10100.0,買權,-,-,-,-,0,535,38,-,-,-,-,,一般
2018/07/02,TXO,201807  ,10100.0,賣權,18.5,25,13.5,25,1830,25,5539,24.5,25,400,13.5,,一般
2018/07/02,TXO,201807  ,10200.0,買權,498,530,448,448,26,448,194,443,452,720,245,,一般
2018/07/02,TXO,201807  ,10200.0,賣權,25,34.5,18.5,34.5,3611,34.5,11777,34,34.5,293,18.5,,一般
2018/07/02,TXO,201807  ,10300.0,買權,398,443,362,364,194,357,562,356,376,665,205,,一般
2018/07/02,TXO,201807  ,10300.0,賣權,35,47.5,26,47.5,3973,47.5,14550,47.5,48,304,26,,一般
2018/07/02,TXO,201807  ,10400.0,買權,325,353,274,274,407,274,956,272,303,595,113,,一般
2018/07/02,TXO,201807  ,10400.0,賣權,50,66,37,65,6921,65,12399,64,66,384,32,,一般
2018/07/02,TXO,201807  ,10500.0,買權,241,271,200,201,874,201,2375,199,202,545,114,,一般
2018/07/02,TXO,201807  ,10500.0,賣權,67,91,53,91,7783,91,14618,90,91,422,42,,一般
2018/07/02,TXO,201807  ,10600.0,買權,171,195,136,136,2225,136,7281,134,137,450,86,,一般
2018/07/02,TXO,201807  ,10600.0,賣權,97,127,78,125,5761,125,11532,125,127,510,56,,一般
2018/07/02,TXO,201807  ,10700.0,買權,115,132,84,86,7300,86,8849,86,87,370,56,,一般
2018/07/02,TXO,201807  ,10700.0,賣權,140,176,112,176,4093,176,5474,173,176,535,74,,一般
2018/07/02,TXO,201807  ,10800.0,買權,69,82,49,50,11454,50,13026,49.5,51,294,33,,一般
2018/07/02,TXO,201807  ,10800.0,賣權,198,241,163,240,1523,240,3480,240,241,550,102,,一般
