,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10599,2017/8/16,TXO,201708,8400.0,買權,1700,1700,1700,1700,1,0,3,1690,2010,2070,1700,,一般
10601,2017/8/16,TXO,201708,8400.0,賣權,-,-,-,-,0,0,3508,-,-,-,-,,一般
10603,2017/8/16,TXO,201708,8500.0,買權,-,-,-,-,0,0,1,-,-,-,-,,一般
10605,2017/8/16,TXO,201708,8500.0,賣權,-,-,-,-,0,0,1237,-,-,-,-,,一般
10607,2017/8/16,TXO,201708,8600.0,買權,-,-,-,-,0,0,2,-,-,-,-,,一般
10609,2017/8/16,TXO,201708,8600.0,賣權,-,-,-,-,0,0,2192,-,-,-,-,,一般
10611,2017/8/16,TXO,201708,8700.0,買權,-,-,-,-,0,0,2,-,-,-,-,,一般
10613,2017/8/16,TXO,201708,8700.0,賣權,-,-,-,-,0,0,2774,-,-,-,-,,一般
10615,2017/8/16,TXO,201708,8800.0,買權,-,-,-,-,0,0,2,-,-,-,-,,一般
10617,2017/8/16,TXO,201708,8800.0,賣權,-,-,-,-,0,0,3834,-,-,-,-,,一般
10619,2017/8/16,TXO,201708,8900.0,買權,-,-,-,-,0,0,4,-,-,-,-,,一般
10621,2017/8/16,TXO,201708,8900.0,賣權,-,-,-,-,0,0,10115,-,-,-,-,,一般
10623,2017/8/16,TXO,201708,9000.0,買權,1310,1320,1310,1320,11,0,23,1090,1320,1410,710,,一般
10625,2017/8/16,TXO,201708,9000.0,賣權,0.1,0.1,0.1,0.1,11,0,15463,-,0.1,57,0.1,,一般
10627,2017/8/16,TXO,201708,9100.0,買權,-,-,-,-,0,0,28,-,-,-,-,,一般
10629,2017/8/16,TXO,201708,9100.0,賣權,-,-,-,-,0,0,13212,-,-,-,-,,一般
10631,2017/8/16,TXO,201708,9200.0,買權,-,-,-,-,0,0,7,-,-,-,-,,一般
10633,2017/8/16,TXO,201708,9200.0,賣權,0.1,0.1,0.1,0.1,20,0,16304,-,0.1,90,0.1,,一般
10635,2017/8/16,TXO,201708,9300.0,買權,-,-,-,-,0,0,10,-,-,-,-,,一般
10637,2017/8/16,TXO,201708,9300.0,賣權,0.1,0.1,0.1,0.1,41,0,10394,-,0.1,116,0.1,,一般
10639,2017/8/16,TXO,201708,9400.0,買權,-,-,-,-,0,0,173,-,-,-,-,,一般
10641,2017/8/16,TXO,201708,9400.0,賣權,0.1,0.1,0.1,0.1,1,0,11537,-,0.1,145,0.1,,一般
10643,2017/8/16,TXO,201708,9500.0,買權,-,-,-,-,0,0,105,-,-,-,-,,一般
10645,2017/8/16,TXO,201708,9500.0,賣權,0.2,0.2,0.1,0.1,5,0,13629,-,0.1,187,0.1,,一般
10647,2017/8/16,TXO,201708,9600.0,買權,-,-,-,-,0,0,153,-,-,-,-,,一般
10649,2017/8/16,TXO,201708,9600.0,賣權,0.1,0.1,0.1,0.1,20,0,23128,-,0.1,221,0.1,,一般
10651,2017/8/16,TXO,201708,9700.0,買權,570,570,570,570,23,0,174,391,695,830,165,,一般
10653,2017/8/16,TXO,201708,9700.0,賣權,0.1,0.1,0.1,0.1,20,0,26113,-,0.1,885,0.1,,一般
10655,2017/8/16,TXO,201708,9800.0,買權,485,500,446,446,14,0,466,291,600,750,35,,一般
10657,2017/8/16,TXO,201708,9800.0,賣權,0.2,0.2,0.1,0.1,351,0,31254,-,0.1,329,0.1,,一般
10659,2017/8/16,TXO,201708,9900.0,買權,383,405,350,355,28,0,440,354,358,645,25,,一般
10661,2017/8/16,TXO,201708,9900.0,賣權,0.2,0.3,0.1,0.1,1967,0,33337,-,0.1,1000,0.1,,一般
10663,2017/8/16,TXO,201708,9950.0,買權,-,-,-,-,0,0,4,-,-,-,-,,一般
10665,2017/8/16,TXO,201708,9950.0,賣權,0.2,0.2,0.1,0.1,860,0,1304,-,0.2,1.2,0.1,,一般
10667,2017/8/16,TXO,201708,10000.0,買權,280,315,244,252,76,0,1127,252,254,560,11,,一般
10669,2017/8/16,TXO,201708,10000.0,賣權,0.4,0.4,0.1,0.2,2530,0,54618,-,0.2,500,0.1,,一般
10671,2017/8/16,TXO,201708,10050.0,買權,241,265,188,204,38,0,39,201,247,278,184,,一般
10673,2017/8/16,TXO,201708,10050.0,賣權,0.6,0.6,0.1,0.1,2353,0,9838,0.1,0.2,22.5,0.1,,一般
10675,2017/8/16,TXO,201708,10100.0,買權,190,216,136,154,1981,0,1380,154,158,467,4.5,,一般
10677,2017/8/16,TXO,201708,10100.0,賣權,0.6,0.8,0.1,0.1,6762,0,42082,0.1,0.2,376,0.1,,一般
10679,2017/8/16,TXO,201708,10150.0,買權,131,168,87,104,3406,0,729,104,105,212,87,,一般
10681,2017/8/16,TXO,201708,10150.0,賣權,2,2,0.1,0.1,17548,0,20032,-,0.2,46.5,0.1,,一般
10683,2017/8/16,TXO,201708,10200.0,買權,79,118,38,53,36237,0,6620,53,54,369,24,,一般
10685,2017/8/16,TXO,201708,10200.0,賣權,5.6,5.7,0.1,0.1,63595,0,52895,-,0.2,800,0.1,,一般
10687,2017/8/16,TXO,201708,10250.0,買權,40.5,70,0.9,4,157026,0,17598,3.9,4,200,0.9,,一般
10689,2017/8/16,TXO,201708,10250.0,賣權,17,20,0.1,0.2,176049,0,48157,-,0.2,89,0.1,,一般
10691,2017/8/16,TXO,201708,10300.0,買權,13.5,25.5,0.1,0.1,164298,0,50951,-,0.1,275,0.1,,一般
10693,2017/8/16,TXO,201708,10300.0,賣權,40,65,3.9,46,214649,0,41988,45.5,46,800,3.9,,一般
10695,2017/8/16,TXO,201708,10350.0,買權,3.3,5.3,0.1,0.1,76759,0,49484,-,0.2,164,0.1,,一般
10697,2017/8/16,TXO,201708,10350.0,賣權,78,115,34,95,56902,0,13531,95,96,150,18,,一般
10699,2017/8/16,TXO,201708,10400.0,買權,1,1.2,0.1,0.1,24496,0,55468,-,0.1,185,0.1,,一般
10701,2017/8/16,TXO,201708,10400.0,賣權,128,162,83,146,14265,0,10022,145,146,730,16,,一般
10703,2017/8/16,TXO,201708,10450.0,買權,0.3,0.5,0.1,0.1,8369,0,41231,-,0.1,93,0.1,,一般
10705,2017/8/16,TXO,201708,10450.0,賣權,168,213,132,197,2751,0,2980,195,197,234,44.5,,一般
10707,2017/8/16,TXO,201708,10500.0,買權,0.3,0.3,0.1,0.1,4530,0,68574,-,0.1,106,0.1,,一般
10709,2017/8/16,TXO,201708,10500.0,賣權,221,279,184,245,1174,0,8980,245,246,1140,38,,一般
10711,2017/8/16,TXO,201708,10550.0,買權,0.2,0.2,0.1,0.1,508,0,28706,-,0.1,46,0.1,,一般
10713,2017/8/16,TXO,201708,10550.0,賣權,277,304,236,296,154,0,1081,220,297,350,95,,一般
10715,2017/8/16,TXO,201708,10600.0,買權,0.2,0.3,0.1,0.2,1913,0,63072,-,0.2,67,0.1,,一般
10717,2017/8/16,TXO,201708,10600.0,賣權,321,355,287,346,173,0,3039,345,347,625,78,,一般
10719,2017/8/16,TXO,201708,10650.0,買權,0.2,0.2,0.1,0.2,467,0,18184,-,0.2,12,0.1,,一般
10721,2017/8/16,TXO,201708,10650.0,賣權,350,350,350,350,1,0,61,266,555,391,170,,一般
10723,2017/8/16,TXO,201708,10700.0,買權,0.2,0.2,0.1,0.1,581,0,39215,0.1,0.2,47,0.1,,一般
10725,2017/8/16,TXO,201708,10700.0,賣權,419,467,387,467,92,0,838,370,467,590,149,,一般
10727,2017/8/16,TXO,201708,10750.0,買權,0.1,0.1,0.1,0.1,207,0,15167,-,0.2,2.7,0.1,,一般
10729,2017/8/16,TXO,201708,10750.0,賣權,438,438,437,437,2,0,6,342,655,465,293,,一般
10731,2017/8/16,TXO,201708,10800.0,買權,0.1,0.1,0.1,0.1,87,0,20096,-,0.1,33,0.1,,一般
10733,2017/8/16,TXO,201708,10800.0,賣權,515,555,493,550,10,0,280,408,705,730,237,,一般
10735,2017/8/16,TXO,201708,10850.0,買權,-,-,-,-,0,0,2348,-,-,-,-,,一般
10737,2017/8/16,TXO,201708,10850.0,賣權,-,-,-,-,0,0,12,-,-,-,-,,一般
10739,2017/8/16,TXO,201708,10900.0,買權,0.1,0.1,0.1,0.1,53,0,7906,-,0.1,22,0.1,,一般
10741,2017/8/16,TXO,201708,10900.0,賣權,-,-,-,-,0,0,146,-,-,-,-,,一般
10743,2017/8/16,TXO,201708,11000.0,買權,0.1,0.1,0.1,0.1,1,0,4919,-,0.1,16,0.1,,一般
