,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
8157,2016/10/3,TXO,201610W1,8500.0,買權,401.0,755.0,401.0,720.0,7,715.0,16,670.0,1010.0,760.0,401.0,
8158,2016/10/3,TXO,201610W1,8500.0,賣權,0.1,0.3,0.1,0.3,7,0.3,1103,0.1,0.3,0.7,0.1,
8159,2016/10/3,TXO,201610W1,8600.0,買權,0.0,0.0,0.0,0.0,0,615.0,0,252.0,990.0,0.0,0.0,
8160,2016/10/3,TXO,201610W1,8600.0,賣權,0.0,0.0,0.0,0.0,0,0.3,1349,0.1,0.3,1.0,0.4,
8161,2016/10/3,TXO,201610W1,8700.0,買權,0.0,0.0,0.0,0.0,0,515.0,1,158.0,880.0,565.0,565.0,
8162,2016/10/3,TXO,201610W1,8700.0,賣權,0.5,0.6,0.3,0.3,89,0.3,7262,0.2,0.4,1.4,0.3,
8163,2016/10/3,TXO,201610W1,8800.0,買權,424.0,800.0,415.0,422.0,7,417.0,12,390.0,860.0,800.0,365.0,
8164,2016/10/3,TXO,201610W1,8800.0,賣權,1.1,1.1,0.5,0.5,2631,0.5,10255,0.5,0.6,3.0,0.5,
8165,2016/10/3,TXO,201610W1,8900.0,買權,331.0,332.0,294.0,325.0,39,318.0,40,102.0,760.0,410.0,255.0,
8166,2016/10/3,TXO,201610W1,8900.0,賣權,2.0,2.0,0.7,0.9,4970,0.9,22233,0.8,1.0,7.4,0.7,
8167,2016/10/3,TXO,201610W1,8950.0,買權,260.0,269.0,260.0,269.0,9,269.0,6,264.0,274.0,320.0,260.0,
8168,2016/10/3,TXO,201610W1,8950.0,賣權,1.5,2.8,0.9,1.4,10180,1.4,25468,1.3,1.4,11.5,0.9,
8169,2016/10/3,TXO,201610W1,9000.0,買權,212.0,248.0,207.0,211.0,82,222.0,68,218.0,225.0,291.0,167.0,
8170,2016/10/3,TXO,201610W1,9000.0,賣權,3.0,6.0,1.8,2.2,29776,2.2,28769,2.1,2.2,18.5,1.8,
8171,2016/10/3,TXO,201610W1,9050.0,買權,164.0,202.0,154.0,176.0,617,176.0,425,171.0,177.0,247.0,126.0,
8172,2016/10/3,TXO,201610W1,9050.0,賣權,4.0,11.0,3.2,5.7,33216,5.7,21028,5.5,5.7,29.0,3.2,
8173,2016/10/3,TXO,201610W1,9100.0,買權,128.0,157.0,110.0,131.0,3113,131.0,1472,129.0,132.0,219.0,89.0,
8174,2016/10/3,TXO,201610W1,9100.0,賣權,10.5,21.5,6.7,12.0,31005,12.0,22902,11.5,12.0,43.0,6.7,
8175,2016/10/3,TXO,201610W1,9150.0,買權,95.0,114.0,75.0,90.0,13343,90.0,7932,90.0,91.0,175.0,58.0,
8176,2016/10/3,TXO,201610W1,9150.0,賣權,19.0,37.0,14.0,23.0,34401,23.0,26237,22.5,23.0,63.0,12.0,
8177,2016/10/3,TXO,201610W1,9200.0,買權,69.0,75.0,46.0,57.0,32937,57.0,17479,57.0,58.0,133.0,35.0,
8178,2016/10/3,TXO,201610W1,9200.0,賣權,38.0,58.0,25.5,39.0,38835,39.0,22834,38.5,39.5,86.0,20.0,
8179,2016/10/3,TXO,201610W1,9250.0,買權,37.0,44.0,24.0,31.5,36180,31.5,14855,31.5,32.0,96.0,17.0,
8180,2016/10/3,TXO,201610W1,9250.0,賣權,57.0,87.0,43.5,63.0,24473,63.0,19751,62.0,63.0,118.0,32.5,
8181,2016/10/3,TXO,201610W1,9300.0,買權,15.0,21.5,10.0,13.5,28501,13.5,17096,13.0,13.5,64.0,7.2,
8182,2016/10/3,TXO,201610W1,9300.0,賣權,94.0,122.0,71.0,95.0,7038,95.0,5743,94.0,96.0,157.0,51.0,
8183,2016/10/3,TXO,201610W1,9350.0,買權,5.3,8.4,4.0,5.3,14530,5.3,11594,5.2,5.3,39.0,2.9,
8184,2016/10/3,TXO,201610W1,9350.0,賣權,121.0,160.0,109.0,136.0,1059,136.0,1278,135.0,136.0,201.0,76.0,
8185,2016/10/3,TXO,201610W1,9400.0,買權,1.7,2.6,1.1,1.3,9918,1.3,12096,1.3,1.4,21.5,1.0,
8186,2016/10/3,TXO,201610W1,9400.0,賣權,189.0,202.0,154.0,187.0,81,183.0,268,181.0,185.0,252.0,109.0,
8187,2016/10/3,TXO,201610W1,9450.0,買權,0.5,0.7,0.2,0.3,4810,0.3,13191,0.2,0.3,11.0,0.2,
8188,2016/10/3,TXO,201610W1,9450.0,賣權,210.0,238.0,210.0,236.0,14,233.0,119,225.0,250.0,302.0,149.0,
8189,2016/10/3,TXO,201610W1,9500.0,買權,0.3,0.4,0.1,0.1,1255,0.2,5738,0.1,0.3,5.1,0.1,
8190,2016/10/3,TXO,201610W1,9500.0,賣權,280.0,286.0,280.0,286.0,2,283.0,32,275.0,705.0,323.0,194.0,
8191,2016/10/3,TXO,201610W1,9600.0,買權,0.2,0.2,0.2,0.2,95,0.2,1961,0.1,0.2,1.0,0.1,
8192,2016/10/3,TXO,201610W1,9600.0,賣權,0.0,0.0,0.0,0.0,0,383.0,10,152.0,805.0,339.0,339.0,
8193,2016/10/3,TXO,201610W1,9700.0,買權,0.0,0.0,0.0,0.0,0,0.2,18,0.1,0.2,0.4,0.1,
8194,2016/10/3,TXO,201610W1,9700.0,賣權,0.0,0.0,0.0,0.0,0,483.0,0,248.0,905.0,0.0,0.0,
8195,2016/10/3,TXO,201610W1,9800.0,買權,0.0,0.0,0.0,0.0,0,0.2,6,0.1,0.2,0.3,0.2,
8196,2016/10/3,TXO,201610W1,9800.0,賣權,0.0,0.0,0.0,0.0,0,580.0,0,348.0,1060.0,0.0,0.0,
8197,2016/10/3,TXO,201610W1,9900.0,買權,0.0,0.0,0.0,0.0,0,0.2,0,0.1,0.2,0.0,0.0,
8198,2016/10/3,TXO,201610W1,9900.0,賣權,0.0,0.0,0.0,0.0,0,680.0,0,448.0,1160.0,0.0,0.0,
8199,2016/10/3,TXO,201610W1,10000.0,買權,0.3,0.3,0.3,0.3,10,0.2,29,0.1,0.2,0.3,0.2,
8200,2016/10/3,TXO,201610W1,10000.0,賣權,0.0,0.0,0.0,0.0,0,780.0,0,545.0,1200.0,0.0,0.0,
8201,2016/10/3,TXO,201610,7500.0,買權,0.0,0.0,0.0,0.0,0,1690.0,0,1300.0,2070.0,0.0,0.0,
8202,2016/10/3,TXO,201610,7500.0,賣權,0.4,0.4,0.3,0.3,20,0.3,1868,0.2,0.3,5.7,0.3,
8203,2016/10/3,TXO,201610,7600.0,買權,0.0,0.0,0.0,0.0,0,1590.0,1,1200.0,1970.0,1340.0,1230.0,
8204,2016/10/3,TXO,201610,7600.0,賣權,0.5,0.5,0.3,0.3,25,0.4,3680,0.3,0.4,31.5,0.3,
