,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10484,2017/9/1,TXO,201709W1,9700.0,買權,-,-,-,-,0,900,0,-,-,-,-,,一般
10486,2017/9/1,TXO,201709W1,9700.0,賣權,0.2,0.3,0.2,0.2,82,0.2,1513,0.2,0.3,0.7,0.2,,一般
10488,2017/9/1,TXO,201709W1,9800.0,買權,-,-,-,-,0,800,0,-,-,-,-,,一般
10490,2017/9/1,TXO,201709W1,9800.0,賣權,0.4,0.4,0.2,0.4,85,0.4,2230,0.3,0.5,0.9,0.2,,一般
10492,2017/9/1,TXO,201709W1,9900.0,買權,-,-,-,-,0,700,3,-,-,-,-,,一般
10494,2017/9/1,TXO,201709W1,9900.0,賣權,0.4,0.6,0.4,0.5,805,0.5,5805,0.5,0.6,1.1,0.4,,一般
10496,2017/9/1,TXO,201709W1,10000.0,買權,-,-,-,-,0,600,14,-,-,-,-,,一般
10498,2017/9/1,TXO,201709W1,10000.0,賣權,0.9,1,0.7,0.9,2918,0.9,8320,0.8,0.9,1.6,0.7,,一般
10500,2017/9/1,TXO,201709W1,10100.0,買權,-,-,-,-,0,500,1,-,-,-,-,,一般
10502,2017/9/1,TXO,201709W1,10100.0,賣權,1.1,1.4,1,1.2,2500,1.2,6751,1,1.3,2.1,0.9,,一般
10504,2017/9/1,TXO,201709W1,10200.0,買權,-,-,-,-,0,401,10,-,-,-,-,,一般
10506,2017/9/1,TXO,201709W1,10200.0,賣權,1.6,2,1.2,1.9,3597,1.9,8158,1.8,2,4.1,1.1,,一般
10508,2017/9/1,TXO,201709W1,10250.0,買權,322,322,322,322,2,351,3,100,-,337,316,,一般
10510,2017/9/1,TXO,201709W1,10250.0,賣權,2.1,2.3,1.4,2.2,4629,2.2,5856,2,2.4,6,1.4,,一般
10512,2017/9/1,TXO,201709W1,10300.0,買權,311,311,311,311,1,302,92,280,-,311,235,,一般
10514,2017/9/1,TXO,201709W1,10300.0,賣權,3,3,2,2.7,4581,2.7,7438,2.6,2.8,9.8,2,,一般
10516,2017/9/1,TXO,201709W1,10350.0,買權,252,261,233,260,44,252,121,233,-,261,190,,一般
10518,2017/9/1,TXO,201709W1,10350.0,賣權,3.6,3.7,2.7,3.5,9349,3.5,12213,3.2,3.5,15,2.7,,一般
10520,2017/9/1,TXO,201709W1,10400.0,買權,204,220,175,205,102,205,151,162,1000,220,145,,一般
10522,2017/9/1,TXO,201709W1,10400.0,賣權,5.6,6.2,3.8,4.6,11690,4.6,17037,4.5,4.6,23,3.8,,一般
10524,2017/9/1,TXO,201709W1,10450.0,買權,157,174,131,157,989,157,758,156,158,174,105,,一般
10526,2017/9/1,TXO,201709W1,10450.0,賣權,8.4,11.5,5.8,7.1,15738,7.1,13164,6.9,7,34,5.8,,一般
10528,2017/9/1,TXO,201709W1,10500.0,買權,112,129,89,112,5038,112,3186,111,113,129,70,,一般
10530,2017/9/1,TXO,201709W1,10500.0,賣權,16,20.5,10,11.5,24078,11.5,17162,11.5,12,51,10,,一般
10532,2017/9/1,TXO,201709W1,10550.0,買權,73,87,54,72,14006,72,5979,71,73,87,44,,一般
10534,2017/9/1,TXO,201709W1,10550.0,賣權,28,36,18,21.5,30398,21.5,17541,21.5,22,74,18,,一般
10536,2017/9/1,TXO,201709W1,10600.0,買權,41.5,52,28,40,35973,40,12650,39.5,40,54,24.5,,一般
10538,2017/9/1,TXO,201709W1,10600.0,賣權,45,60,32.5,39,27515,39,9821,38.5,39.5,102,32.5,,一般
10540,2017/9/1,TXO,201709W1,10650.0,買權,21,25.5,12,17.5,30035,17.5,18140,17.5,18,30,12,,一般
10542,2017/9/1,TXO,201709W1,10650.0,賣權,75,94,56,66,13393,66,6253,66,67,141,56,,一般
10544,2017/9/1,TXO,201709W1,10700.0,買權,9.5,10,4.4,6,20013,6,14742,6,6.1,14,4.4,,一般
10546,2017/9/1,TXO,201709W1,10700.0,賣權,111,134,91,106,5052,106,2795,103,106,262,91,,一般
10548,2017/9/1,TXO,201709W1,10750.0,買權,3.2,3.4,1.5,1.8,6511,1.8,11486,1.7,1.8,5.7,1.5,,一般
10550,2017/9/1,TXO,201709W1,10750.0,賣權,154,182,135,150,716,150,385,142,152,250,135,,一般
10552,2017/9/1,TXO,201709W1,10800.0,買權,0.9,1,0.4,0.5,2597,0.5,7179,0.5,0.6,2.3,0.4,,一般
10554,2017/9/1,TXO,201709W1,10800.0,賣權,184,202,184,193,93,200,71,193,250,448,184,,一般
10556,2017/9/1,TXO,201709W1,10850.0,買權,0.4,0.4,0.2,0.3,306,0.3,3414,0.2,0.4,0.8,0.2,,一般
