,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
11346,2017/12/18,TXO,201712,7600.0,買權,-,-,-,-,0,2900,0,-,-,-,-,,一般
11348,2017/12/18,TXO,201712,7600.0,賣權,-,-,-,-,0,0.1,8400,-,-,-,-,,一般
11350,2017/12/18,TXO,201712,7700.0,買權,-,-,-,-,0,2800,0,-,-,-,-,,一般
11352,2017/12/18,TXO,201712,7700.0,賣權,-,-,-,-,0,0.1,1225,-,-,-,-,,一般
11354,2017/12/18,TXO,201712,7800.0,買權,-,-,-,-,0,2700,0,-,-,-,-,,一般
11356,2017/12/18,TXO,201712,7800.0,賣權,-,-,-,-,0,0.1,2954,-,-,-,-,,一般
11358,2017/12/18,TXO,201712,7900.0,買權,-,-,-,-,0,2600,0,-,-,-,-,,一般
11360,2017/12/18,TXO,201712,7900.0,賣權,-,-,-,-,0,0.1,1497,-,-,-,-,,一般
11362,2017/12/18,TXO,201712,8000.0,買權,-,-,-,-,0,2500,15,-,-,-,-,,一般
11364,2017/12/18,TXO,201712,8000.0,賣權,-,-,-,-,0,0.1,5183,-,-,-,-,,一般
11366,2017/12/18,TXO,201712,8100.0,買權,-,-,-,-,0,2400,0,-,-,-,-,,一般
11368,2017/12/18,TXO,201712,8100.0,賣權,-,-,-,-,0,0.1,3692,-,-,-,-,,一般
11370,2017/12/18,TXO,201712,8200.0,買權,-,-,-,-,0,2300,2,-,-,-,-,,一般
11372,2017/12/18,TXO,201712,8200.0,賣權,-,-,-,-,0,0.1,7516,-,-,-,-,,一般
11374,2017/12/18,TXO,201712,8300.0,買權,-,-,-,-,0,2200,0,-,-,-,-,,一般
11376,2017/12/18,TXO,201712,8300.0,賣權,-,-,-,-,0,0.1,3536,-,-,-,-,,一般
11378,2017/12/18,TXO,201712,8400.0,買權,-,-,-,-,0,2100,39,-,-,-,-,,一般
11380,2017/12/18,TXO,201712,8400.0,賣權,-,-,-,-,0,0.1,6597,-,-,-,-,,一般
11382,2017/12/18,TXO,201712,8500.0,買權,-,-,-,-,0,2000,0,-,-,-,-,,一般
11384,2017/12/18,TXO,201712,8500.0,賣權,-,-,-,-,0,0.1,2916,-,-,-,-,,一般
11386,2017/12/18,TXO,201712,8600.0,買權,-,-,-,-,0,1900,20,-,-,-,-,,一般
11388,2017/12/18,TXO,201712,8600.0,賣權,-,-,-,-,0,0.1,9787,-,-,-,-,,一般
