,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
9815,2016/2/1,TXO,201602W1,7200.0,買權,0.0,0.0,0.0,0.0,0,945.0,3,565.0,1140.0,810.0,625.0,
9816,2016/2/1,TXO,201602W1,7200.0,賣權,0.2,0.3,0.2,0.2,112,0.2,3014,0.1,0.2,97.0,0.2,
9817,2016/2/1,TXO,201602W1,7300.0,買權,0.0,0.0,0.0,0.0,0,845.0,1,451.0,1040.0,745.0,545.0,
9818,2016/2/1,TXO,201602W1,7300.0,賣權,0.2,0.4,0.2,0.4,28,0.3,4893,0.1,0.4,4.6,0.2,
9819,2016/2/1,TXO,201602W1,7400.0,買權,0.0,0.0,0.0,0.0,0,745.0,0,356.0,940.0,467.0,459.0,
9820,2016/2/1,TXO,201602W1,7400.0,賣權,0.2,0.4,0.1,0.4,179,0.4,5544,0.1,0.4,8.8,0.1,
9821,2016/2/1,TXO,201602W1,7500.0,買權,0.0,0.0,0.0,0.0,0,645.0,14,314.0,840.0,385.0,330.0,
9822,2016/2/1,TXO,201602W1,7500.0,賣權,0.3,0.4,0.2,0.4,109,0.4,22556,0.1,0.4,16.0,0.2,
9823,2016/2/1,TXO,201602W1,7600.0,買權,0.0,0.0,0.0,0.0,0,545.0,16,214.0,740.0,449.0,234.0,
9824,2016/2/1,TXO,201602W1,7600.0,賣權,0.6,0.7,0.4,0.4,679,0.4,21724,0.3,0.4,28.0,0.4,
9825,2016/2/1,TXO,201602W1,7650.0,買權,0.0,0.0,0.0,0.0,0,495.0,94,164.0,690.0,468.0,196.0,
9826,2016/2/1,TXO,201602W1,7650.0,賣權,1.2,1.4,0.6,0.6,3559,0.6,10589,0.5,0.6,38.0,0.6,
9827,2016/2/1,TXO,201602W1,7700.0,買權,451.0,451.0,251.0,442.0,33,445.0,1359,350.0,550.0,467.0,151.0,
9828,2016/2/1,TXO,201602W1,7700.0,賣權,1.9,1.9,0.8,1.0,4208,1.0,13356,0.8,1.0,50.0,0.8,
9829,2016/2/1,TXO,201602W1,7750.0,買權,401.0,401.0,364.0,398.0,34,398.0,2033,82.0,590.0,420.0,117.0,
9830,2016/2/1,TXO,201602W1,7750.0,賣權,2.2,3.3,1.2,1.6,7159,1.6,18646,1.3,1.5,67.0,1.2,
9831,2016/2/1,TXO,201602W1,7800.0,買權,344.0,362.0,301.0,342.0,394,348.0,1476,342.0,362.0,375.0,84.0,
9832,2016/2/1,TXO,201602W1,7800.0,賣權,2.0,4.2,1.8,2.0,7885,2.0,18133,2.0,2.2,86.0,1.8,
9833,2016/2/1,TXO,201602W1,7850.0,買權,303.0,303.0,254.0,298.0,370,298.0,4372,296.0,298.0,393.0,58.0,
9834,2016/2/1,TXO,201602W1,7850.0,賣權,4.2,5.1,2.5,2.7,7870,2.7,17843,2.7,3.2,110.0,2.5,
9835,2016/2/1,TXO,201602W1,7900.0,買權,253.0,262.0,200.0,248.0,839,248.0,6296,245.0,250.0,273.0,38.0,
9836,2016/2/1,TXO,201602W1,7900.0,賣權,5.6,7.1,3.0,4.0,13688,4.0,18996,4.0,4.2,138.0,3.0,
9837,2016/2/1,TXO,201602W1,7950.0,買權,198.0,212.0,156.0,196.0,1789,198.0,5661,195.0,200.0,226.0,21.5,
9838,2016/2/1,TXO,201602W1,7950.0,賣權,7.0,9.7,3.9,5.3,17679,5.3,13231,5.0,5.3,170.0,3.9,
9839,2016/2/1,TXO,201602W1,8000.0,買權,170.0,170.0,110.0,152.0,3511,152.0,7370,150.0,152.0,177.0,10.5,
9840,2016/2/1,TXO,201602W1,8000.0,賣權,10.5,16.5,6.9,8.6,29650,8.6,16139,8.5,8.6,202.0,6.9,
9841,2016/2/1,TXO,201602W1,8050.0,買權,112.0,122.0,74.0,107.0,11758,107.0,6140,107.0,108.0,133.0,5.1,
9842,2016/2/1,TXO,201602W1,8050.0,賣權,16.0,29.5,12.5,15.0,30378,15.0,16481,14.5,15.0,298.0,12.5,
9843,2016/2/1,TXO,201602W1,8100.0,買權,76.0,85.0,46.5,70.0,30742,70.0,9668,70.0,71.0,94.0,2.0,
9844,2016/2/1,TXO,201602W1,8100.0,賣權,29.0,52.0,24.0,27.0,44458,27.0,14520,26.5,27.0,275.0,23.0,
9845,2016/2/1,TXO,201602W1,8150.0,買權,48.5,55.0,26.0,41.0,41361,41.0,8902,40.5,41.0,63.0,26.0,
9846,2016/2/1,TXO,201602W1,8150.0,賣權,51.0,81.0,43.5,47.5,27748,47.5,8172,46.0,48.0,81.0,42.0,
9847,2016/2/1,TXO,201602W1,8200.0,買權,27.5,33.0,13.5,21.5,44923,21.5,18305,21.0,21.5,38.0,0.4,
9848,2016/2/1,TXO,201602W1,8200.0,賣權,82.0,119.0,73.0,77.0,17296,77.0,6225,77.0,78.0,318.0,67.0,
9849,2016/2/1,TXO,201602W1,8250.0,買權,15.0,17.0,5.5,9.9,26577,9.9,10013,9.5,10.0,21.5,5.5,
