,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/01/02,TXO,201801W1,9600.0,買權,-,-,-,-,0,1110,1,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9600.0,賣權,-,-,-,-,0,0.1,82,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9700.0,買權,-,-,-,-,0,1010,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9700.0,賣權,0.3,0.3,0.3,0.3,1,0.1,199,-,0.3,0.7,0.1,,一般
2018/01/02,TXO,201801W1,9800.0,買權,-,-,-,-,0,915,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9800.0,賣權,-,-,-,-,0,0.1,949,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9900.0,買權,-,-,-,-,0,815,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,9900.0,賣權,-,-,-,-,0,0.1,1984,-,-,-,-,,一般
2018/01/02,TXO,201801W1,10000.0,買權,-,-,-,-,0,715,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,10000.0,賣權,0.2,0.2,0.2,0.2,65,0.2,5003,-,0.3,7,0.2,,一般
2018/01/02,TXO,201801W1,10100.0,買權,-,-,-,-,0,615,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,10100.0,賣權,0.1,0.2,0.1,0.2,40,0.2,3408,0.1,0.3,3.1,0.1,,一般
2018/01/02,TXO,201801W1,10150.0,買權,-,-,-,-,0,565,0,-,-,-,-,,一般
2018/01/02,TXO,201801W1,10150.0,賣權,0.2,0.3,0.2,0.2,231,0.2,3259,-,0.3,4.9,0.2,,一般
2018/01/02,TXO,201801W1,10200.0,買權,-,-,-,-,0,515,10,-,-,-,-,,一般
2018/01/02,TXO,201801W1,10200.0,賣權,0.3,0.3,0.2,0.2,155,0.2,4163,0.1,0.3,8.2,0.2,,一般
2018/01/02,TXO,201801W1,10250.0,買權,443,443,443,443,1,465,60,302,600,443,168,,一般
2018/01/02,TXO,201801W1,10250.0,賣權,0.3,0.3,0.1,0.3,321,0.3,8831,0.2,0.3,13.5,0.1,,一般
2018/01/02,TXO,201801W1,10300.0,買權,347,390,347,385,10,415,51,350,575,390,121,,一般
2018/01/02,TXO,201801W1,10300.0,賣權,0.3,0.6,0.2,0.2,1149,0.3,19818,0.1,0.3,29.5,0.2,,一般
2018/01/02,TXO,201801W1,10350.0,買權,313,369,309,369,29,365,439,203,495,695,84,,一般
2018/01/02,TXO,201801W1,10350.0,賣權,0.7,0.7,0.2,0.3,3216,0.3,20773,0.2,0.3,34.5,0.2,,一般
2018/01/02,TXO,201801W1,10400.0,買權,235,316,235,316,144,315,1385,288,450,316,53,,一般
2018/01/02,TXO,201801W1,10400.0,賣權,0.8,0.9,0.2,0.4,4266,0.4,25018,0.4,0.5,54,0.2,,一般
2018/01/02,TXO,201801W1,10450.0,買權,191,272,184,265,597,265,5258,265,300,272,29,,一般
2018/01/02,TXO,201801W1,10450.0,賣權,1.7,1.8,0.4,0.5,7525,0.5,31280,0.5,0.6,80,0.4,,一般
2018/01/02,TXO,201801W1,10500.0,買權,143,217,136,215,2917,215,4198,216,221,1200,14,,一般
2018/01/02,TXO,201801W1,10500.0,賣權,4.3,4.3,0.5,0.7,19166,0.7,28792,0.6,0.8,113,0.5,,一般
2018/01/02,TXO,201801W1,10550.0,買權,91,168,91,168,8504,168,6685,167,168,168,6.1,,一般
