,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
11040,2017/6/16,TXO,201706,7000.0,買權,-,-,-,-,0,3150,3,-,-,-,-,,一般
11042,2017/6/16,TXO,201706,7000.0,賣權,-,-,-,-,0,0.1,8157,-,-,-,-,,一般
11044,2017/6/16,TXO,201706,7100.0,買權,-,-,-,-,0,3050,0,-,-,-,-,,一般
11046,2017/6/16,TXO,201706,7100.0,賣權,-,-,-,-,0,0.1,702,-,-,-,-,,一般
11048,2017/6/16,TXO,201706,7200.0,買權,-,-,-,-,0,2950,0,-,-,-,-,,一般
11050,2017/6/16,TXO,201706,7200.0,賣權,-,-,-,-,0,0.1,4474,-,-,-,-,,一般
11052,2017/6/16,TXO,201706,7300.0,買權,-,-,-,-,0,2850,0,-,-,-,-,,一般
11054,2017/6/16,TXO,201706,7300.0,賣權,-,-,-,-,0,0.1,360,-,-,-,-,,一般
11056,2017/6/16,TXO,201706,7400.0,買權,-,-,-,-,0,2750,0,-,-,-,-,,一般
11058,2017/6/16,TXO,201706,7400.0,賣權,-,-,-,-,0,0.1,2177,-,-,-,-,,一般
11060,2017/6/16,TXO,201706,7500.0,買權,-,-,-,-,0,2650,0,-,-,-,-,,一般
11062,2017/6/16,TXO,201706,7500.0,賣權,-,-,-,-,0,0.1,387,-,-,-,-,,一般
11064,2017/6/16,TXO,201706,7600.0,買權,-,-,-,-,0,2550,0,-,-,-,-,,一般
11066,2017/6/16,TXO,201706,7600.0,賣權,-,-,-,-,0,0.1,3346,-,-,-,-,,一般
11068,2017/6/16,TXO,201706,7700.0,買權,-,-,-,-,0,2450,0,-,-,-,-,,一般
11070,2017/6/16,TXO,201706,7700.0,賣權,-,-,-,-,0,0.1,368,-,-,-,-,,一般
11072,2017/6/16,TXO,201706,7800.0,買權,-,-,-,-,0,2350,10,-,-,-,-,,一般
11074,2017/6/16,TXO,201706,7800.0,賣權,-,-,-,-,0,0.1,2685,-,-,-,-,,一般
11076,2017/6/16,TXO,201706,7900.0,買權,-,-,-,-,0,2250,0,-,-,-,-,,一般
11078,2017/6/16,TXO,201706,7900.0,賣權,-,-,-,-,0,0.1,1290,-,-,-,-,,一般
11080,2017/6/16,TXO,201706,8000.0,買權,-,-,-,-,0,2150,45,-,-,-,-,,一般
11082,2017/6/16,TXO,201706,8000.0,賣權,-,-,-,-,0,0.1,5819,-,-,-,-,,一般
11084,2017/6/16,TXO,201706,8100.0,買權,-,-,-,-,0,2050,2,-,-,-,-,,一般
11086,2017/6/16,TXO,201706,8100.0,賣權,-,-,-,-,0,0.1,2297,-,-,-,-,,一般
11088,2017/6/16,TXO,201706,8200.0,買權,-,-,-,-,0,1950,50,-,-,-,-,,一般
11090,2017/6/16,TXO,201706,8200.0,賣權,-,-,-,-,0,0.1,4421,-,-,-,-,,一般
11092,2017/6/16,TXO,201706,8300.0,買權,-,-,-,-,0,1850,6,-,-,-,-,,一般
11094,2017/6/16,TXO,201706,8300.0,賣權,-,-,-,-,0,0.1,1345,-,-,-,-,,一般
11096,2017/6/16,TXO,201706,8400.0,買權,-,-,-,-,0,1750,46,-,-,-,-,,一般
11098,2017/6/16,TXO,201706,8400.0,賣權,0.2,0.2,0.2,0.2,15,0.1,4840,-,0.2,285,0.1,,一般
11100,2017/6/16,TXO,201706,8500.0,買權,1610,1610,1610,1610,1,1650,3,1340,1960,1630,1420,,一般
11102,2017/6/16,TXO,201706,8500.0,賣權,-,-,-,-,0,0.1,4695,-,-,-,-,,一般
11104,2017/6/16,TXO,201706,8600.0,買權,1530,1530,1530,1530,1,1550,66,1240,1860,1660,400,,一般
11106,2017/6/16,TXO,201706,8600.0,賣權,-,-,-,-,0,0.1,15652,-,-,-,-,,一般
11108,2017/6/16,TXO,201706,8700.0,買權,-,-,-,-,0,1450,3,-,-,-,-,,一般
11110,2017/6/16,TXO,201706,8700.0,賣權,-,-,-,-,0,0.1,5231,-,-,-,-,,一般
11112,2017/6/16,TXO,201706,8800.0,買權,-,-,-,-,0,1350,170,-,-,-,-,,一般
11114,2017/6/16,TXO,201706,8800.0,賣權,-,-,-,-,0,0.1,10252,-,-,-,-,,一般
11116,2017/6/16,TXO,201706,8900.0,買權,-,-,-,-,0,1250,4,-,-,-,-,,一般
11118,2017/6/16,TXO,201706,8900.0,賣權,-,-,-,-,0,0.1,5221,-,-,-,-,,一般
11120,2017/6/16,TXO,201706,9000.0,買權,1140,1140,1140,1140,1,1150,267,720,1460,1210,280,,一般
11122,2017/6/16,TXO,201706,9000.0,賣權,0.2,0.2,0.2,0.2,8,0.2,12801,0.1,0.2,580,0.1,,一般
11124,2017/6/16,TXO,201706,9100.0,買權,-,-,-,-,0,1050,158,-,-,-,-,,一般
11126,2017/6/16,TXO,201706,9100.0,賣權,0.2,0.2,0.2,0.2,42,0.2,6384,0.1,0.2,62,0.1,,一般
11128,2017/6/16,TXO,201706,9200.0,買權,880,880,875,875,2,950,698,346,1260,1030,200,,一般
11130,2017/6/16,TXO,201706,9200.0,賣權,0.2,0.3,0.2,0.2,238,0.2,13409,0.1,0.2,660,0.2,,一般
11132,2017/6/16,TXO,201706,9300.0,買權,-,-,-,-,0,850,52,-,-,-,-,,一般
11134,2017/6/16,TXO,201706,9300.0,賣權,0.2,0.2,0.1,0.2,164,0.2,13483,0.1,0.2,100,0.1,,一般
11136,2017/6/16,TXO,201706,9400.0,買權,680,740,670,740,9,750,1077,745,1060,830,138,,一般
11138,2017/6/16,TXO,201706,9400.0,賣權,0.3,0.3,0.1,0.3,1305,0.3,18069,0.1,0.3,720,0.1,,一般
11140,2017/6/16,TXO,201706,9500.0,買權,580,635,580,635,4,650,746,565,1030,715,236,,一般
11142,2017/6/16,TXO,201706,9500.0,賣權,0.5,0.5,0.1,0.3,782,0.3,26303,0.1,0.8,163,0.1,,一般
11144,2017/6/16,TXO,201706,9600.0,買權,470,540,466,535,45,550,3216,545,575,640,92,,一般
11146,2017/6/16,TXO,201706,9600.0,賣權,0.4,0.4,0.1,0.3,2185,0.3,34799,0.2,0.4,910,0.1,,一般
11148,2017/6/16,TXO,201706,9700.0,買權,371,458,40,448,550,450,1373,408,487,550,40,,一般
11150,2017/6/16,TXO,201706,9700.0,賣權,0.5,0.6,0.2,0.4,3164,0.4,38983,0.3,0.4,252,0.2,,一般
11152,2017/6/16,TXO,201706,9800.0,買權,282,356,270,347,444,350,6070,347,365,450,60,,一般
11154,2017/6/16,TXO,201706,9800.0,賣權,1.3,1.4,0.4,0.5,13923,0.5,60625,0.4,0.5,1040,0.4,,一般
11156,2017/6/16,TXO,201706,9850.0,買權,227,262,218,262,80,300,146,296,301,291,182,,一般
