,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10335,2017/8/1,TXO,201708W1,9600.0,買權,-,-,-,-,0,820,6,-,-,-,-,,一般
10337,2017/8/1,TXO,201708W1,9600.0,賣權,0.1,0.1,0.1,0.1,25,0.1,33,-,0.2,0.3,0.1,,一般
10339,2017/8/1,TXO,201708W1,9700.0,買權,-,-,-,-,0,720,3,-,-,-,-,,一般
10341,2017/8/1,TXO,201708W1,9700.0,賣權,-,-,-,-,0,0.1,5282,-,-,-,-,,一般
10343,2017/8/1,TXO,201708W1,9800.0,買權,-,-,-,-,0,620,41,-,-,-,-,,一般
10345,2017/8/1,TXO,201708W1,9800.0,賣權,0.1,0.1,0.1,0.1,78,0.1,532,-,0.2,0.7,0.1,,一般
10347,2017/8/1,TXO,201708W1,9900.0,買權,-,-,-,-,0,520,25,-,-,-,-,,一般
10349,2017/8/1,TXO,201708W1,9900.0,賣權,0.2,0.2,0.2,0.2,1,0.1,3527,-,0.2,0.9,0.2,,一般
10351,2017/8/1,TXO,201708W1,10000.0,買權,427,460,427,460,3,422,34,166,-,460,392,,一般
10353,2017/8/1,TXO,201708W1,10000.0,賣權,0.2,0.2,0.1,0.1,51,0.1,2389,-,0.3,1.2,0.1,,一般
10355,2017/8/1,TXO,201708W1,10100.0,買權,362,362,362,362,1,322,24,74,-,362,200,,一般
10357,2017/8/1,TXO,201708W1,10100.0,賣權,0.2,0.3,0.2,0.2,25,0.2,3065,0.1,0.3,1.7,0.2,,一般
10359,2017/8/1,TXO,201708W1,10150.0,買權,305,305,305,305,1,272,48,235,305,305,235,,一般
10361,2017/8/1,TXO,201708W1,10150.0,賣權,0.2,0.3,0.2,0.3,591,0.3,9401,0.1,0.3,2.6,0.2,,一般
10363,2017/8/1,TXO,201708W1,10200.0,買權,213,262,213,217,5,222,102,213,-,305,160,,一般
10365,2017/8/1,TXO,201708W1,10200.0,賣權,0.4,0.4,0.1,0.4,911,0.4,28238,0.3,0.4,5.1,0.1,,一般
10367,2017/8/1,TXO,201708W1,10250.0,買權,163,219,163,166,274,172,535,163,173,271,111,,一般
10369,2017/8/1,TXO,201708W1,10250.0,賣權,0.9,0.9,0.3,0.8,6826,0.8,33571,0.6,0.9,10.5,0.3,,一般
10371,2017/8/1,TXO,201708W1,10300.0,買權,123,176,118,121,3388,125,2726,121,128,220,68,,一般
10373,2017/8/1,TXO,201708W1,10300.0,賣權,2,2.3,0.7,2.1,22617,2.1,29406,2,2.1,19.5,0.7,,一般
10375,2017/8/1,TXO,201708W1,10350.0,買權,78,128,72,75,21119,75,7658,74,75,173,35,,一般
10377,2017/8/1,TXO,201708W1,10350.0,賣權,7.5,7.5,1.8,6.4,43966,6.4,31459,6.3,6.6,34.5,1.8,,一般
10379,2017/8/1,TXO,201708W1,10400.0,買權,41,81,33,36.5,46591,36.5,16644,36.5,37,126,14,,一般
10381,2017/8/1,TXO,201708W1,10400.0,賣權,20,20,4.8,17.5,84510,17.5,30994,17,17.5,60,4.8,,一般
10383,2017/8/1,TXO,201708W1,10450.0,買權,18,39.5,10,12,85440,12,31260,12,13,86,4.8,,一般
10385,2017/8/1,TXO,201708W1,10450.0,賣權,49,49.5,13.5,44,79442,44,32347,43.5,44,99,13.5,,一般
10387,2017/8/1,TXO,201708W1,10500.0,買權,5.7,12,1.9,2.9,65053,2.9,43035,2.8,2.9,52,1.3,,一般
10389,2017/8/1,TXO,201708W1,10500.0,賣權,83,86,36,84,42220,84,16032,84,85,146,32.5,,一般
10391,2017/8/1,TXO,201708W1,10550.0,買權,1.5,2.5,0.3,0.8,25614,0.8,30337,0.8,0.9,29,0.3,,一般
10393,2017/8/1,TXO,201708W1,10550.0,賣權,130,135,76,131,6867,131,4587,131,132,194,58,,一般
10395,2017/8/1,TXO,201708W1,10600.0,買權,0.4,0.7,0.2,0.3,9347,0.3,24758,0.3,0.4,14,0.2,,一般
10397,2017/8/1,TXO,201708W1,10600.0,賣權,167,178,71,177,242,177,567,173,190,240,71,,一般
10399,2017/8/1,TXO,201708W1,10650.0,買權,0.2,0.4,0.1,0.1,1107,0.1,12012,0.2,0.3,5.7,0.1,,一般
10401,2017/8/1,TXO,201708W1,10650.0,賣權,209,222,175,222,52,227,181,172,-,290,122,,一般
10403,2017/8/1,TXO,201708W1,10700.0,買權,0.1,0.3,0.1,0.1,236,0.1,9235,-,0.3,2,0.1,,一般
