,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2020/02/03,TXO,202002W1,10600.0,買權,715,715,715,715,1,745,3,630,865,790,715,,一般
2020/02/03,TXO,202002W1,10600.0,賣權,13,29.5,2.1,3.7,18411,3.7,9951,3.6,4,29.5,1.5,,一般
2020/02/03,TXO,202002W1,10700.0,買權,630,630,630,630,1,645,13,535,765,690,630,,一般
2020/02/03,TXO,202002W1,10700.0,賣權,16.5,35,3.3,5.6,16151,5.6,5840,5.4,5.6,35,2,,一般
2020/02/03,TXO,202002W1,10800.0,買權,560,560,540,540,2,550,24,439,670,595,540,,一般
2020/02/03,TXO,202002W1,10800.0,賣權,18.5,46,5.1,8.6,29721,8.6,10405,8.1,8.6,46,2.9,,一般
2020/02/03,TXO,202002W1,10900.0,買權,375,454,343,450,74,450,60,344,575,454,343,,一般
2020/02/03,TXO,202002W1,10900.0,賣權,29.5,58,7.6,12.5,30265,12.5,8268,12,12.5,58,4.1,,一般
2020/02/03,TXO,202002W1,11000.0,買權,270,389,247,380,87,359,61,252,362,535,247,,一般
2020/02/03,TXO,202002W1,11000.0,賣權,42,76,12,19,46409,19,14791,19,19.5,76,6,,一般
2020/02/03,TXO,202002W1,11100.0,買權,244,306,172,270,859,270,210,268,273,366,172,,一般
2020/02/03,TXO,202002W1,11100.0,賣權,56,101,20,29.5,29132,29.5,7463,29.5,30,101,9.5,,一般
2020/02/03,TXO,202002W1,11150.0,買權,215,257,137,228,2783,228,625,223,230,434,137,,一般
2020/02/03,TXO,202002W1,11150.0,賣權,65,119,26,36,29155,36,7249,36,37.5,119,12,,一般
2020/02/03,TXO,202002W1,11200.0,買權,185,218,108,187,9139,187,1336,186,191,417,108,,一般
2020/02/03,TXO,202002W1,11200.0,賣權,80,138,34,47.5,45322,47.5,11065,47,48,138,6.3,,一般
2020/02/03,TXO,202002W1,11250.0,買權,141,178,80,148,12840,148,2895,149,150,335,80,,一般
2020/02/03,TXO,202002W1,11250.0,賣權,93,160,44.5,60,29075,60,8483,59,60,160,19,,一般
2020/02/03,TXO,202002W1,11300.0,買權,110,140,58,115,33131,115,4434,114,115,468,58,,一般
2020/02/03,TXO,202002W1,11300.0,賣權,115,189,57,76,34372,76,10382,74,77,189,11,,一般
2020/02/03,TXO,202002W1,11350.0,買權,88,106,40,86,31533,86,5128,85,86,256,40,,一般
2020/02/03,TXO,202002W1,11350.0,賣權,134,220,74,96,18951,96,5159,95,97,220,30.5,,一般
2020/02/03,TXO,202002W1,11400.0,買權,58,77,26,60,53681,60,7959,59,61,378,26,,一般
2020/02/03,TXO,202002W1,11400.0,賣權,161,258,95,120,18265,120,5453,118,121,258,18,,一般
2020/02/03,TXO,202002W1,11450.0,買權,36,53,15.5,40.5,44483,40.5,9531,40,40.5,180,15.5,,一般
2020/02/03,TXO,202002W1,11450.0,賣權,189,290,122,150,5895,150,2783,147,151,290,48,,一般
2020/02/03,TXO,202002W1,11500.0,買權,21.5,34,10,25,43982,25,16091,25.5,26,293,10,,一般
2020/02/03,TXO,202002W1,11500.0,賣權,222,337,155,186,4375,186,4798,185,186,337,29.5,,一般
2020/02/03,TXO,202002W1,11550.0,買權,13,20.5,6.6,15,29009,15,14686,15,15.5,111,6.6,,一般
2020/02/03,TXO,202002W1,11550.0,賣權,260,387,192,220,1355,220,1190,188,228,387,77,,一般
2020/02/03,TXO,202002W1,11600.0,買權,8.3,12,4.5,8.7,33821,8.7,21755,8,8.7,237,4.5,,一般
2020/02/03,TXO,202002W1,11600.0,賣權,307,433,237,258,2454,269,1987,234,271,433,43,,一般
2020/02/03,TXO,202002W1,11650.0,買權,5,7,3,5.5,14651,5.5,8939,4.4,6.9,60,3,,一般
2020/02/03,TXO,202002W1,11650.0,賣權,345,432,282,312,272,312,377,208,318,457,123,,一般
2020/02/03,TXO,202002W1,11700.0,買權,3.2,4.2,1.5,3.2,14534,3.2,20787,3.1,3.5,173,1.5,,一般
2020/02/03,TXO,202002W1,11700.0,賣權,410,510,300,344,267,362,892,300,366,510,69,,一般
2020/02/03,TXO,202002W1,11750.0,買權,0.8,2.6,0.8,2.3,9659,2.3,8097,1.9,2.4,25,0.8,,一般
2020/02/03,TXO,202002W1,11750.0,賣權,439,439,400,405,14,412,41,310,540,439,189,,一般
2020/02/03,TXO,202002W1,11800.0,買權,1.6,2.1,1,1.7,8891,1.7,15244,1.7,1.8,114,0.9,,一般
2020/02/03,TXO,202002W1,11800.0,賣權,456,610,388,455,426,462,651,421,580,610,105,,一般
2020/02/03,TXO,202002W1,11850.0,買權,0.7,1.2,0.7,1.2,1993,1.2,6394,1.2,1.3,200,0.5,,一般
2020/02/03,TXO,202002W1,11850.0,賣權,505,645,493,500,86,510,318,505,640,645,125,,一般
2020/02/03,TXO,202002W1,11900.0,買權,1,1,0.4,0.9,1738,0.9,8017,0.9,1,74,0.1,,一般
2020/02/03,TXO,202002W1,11900.0,賣權,645,705,570,570,39,560,196,555,675,705,151,,一般
2020/02/03,TXO,202002W1,11950.0,買權,0.9,0.9,0.4,0.6,481,0.6,3827,0.4,0.7,49,0.4,,一般
2020/02/03,TXO,202002W1,11950.0,賣權,625,625,625,625,4,610,111,605,725,625,194,,一般
2020/02/03,TXO,202002W1,12000.0,買權,0.7,0.9,0.2,0.3,361,0.3,3390,0.3,0.6,30,0.2,,一般
2020/02/03,TXO,202002W1,12000.0,賣權,705,785,675,675,18,660,20,545,775,785,268,,一般
2020/02/03,TXO,202002W1,12050.0,買權,0.4,0.4,0.2,0.2,247,0.2,2710,0.2,0.5,18.5,0.1,,一般
2020/02/03,TXO,202002W1,12050.0,賣權,785,785,685,685,2,710,6,595,825,785,370,,一般
2020/02/03,TXO,202002W1,12100.0,買權,0.2,0.8,0.1,0.2,213,0.2,1761,0.2,1,11.5,0.1,,一般
2020/02/03,TXO,202002W1,12100.0,賣權,-,-,-,-,0,760,8,-,-,-,-,,一般
2020/02/03,TXO,202002W1,12150.0,買權,0.5,0.5,0.2,0.4,254,0.2,2257,-,0.1,6.5,0.1,,一般
2020/02/03,TXO,202002W1,12150.0,賣權,880,880,870,870,10,810,1,695,925,880,585,,一般
2020/02/03,TXO,202002W1,12200.0,買權,0.5,0.5,0.1,0.1,133,0.1,1012,0.1,0.4,3.6,0.1,,一般
2020/02/03,TXO,202002W1,12200.0,賣權,915,935,915,935,10,860,0,745,975,935,915,,一般
2020/02/03,TXO,202002W1,12250.0,買權,0.1,0.1,0.1,0.1,100,0.1,776,-,0.1,2.4,0.1,,一般
2020/02/03,TXO,202002W1,12250.0,賣權,-,-,-,-,0,910,0,-,-,-,-,,一般
2020/02/03,TXO,202002W1,12300.0,買權,0.2,0.2,0.1,0.2,105,0.1,705,-,0.5,1.3,0.1,,一般
2020/02/03,TXO,202002W1,12300.0,賣權,-,-,-,-,0,960,0,-,-,-,-,,一般
2020/02/03,TXO,202002W1,12350.0,買權,0.1,0.2,0.1,0.2,21,0.1,389,-,0.4,1,0.1,,一般
2020/02/03,TXO,202002W1,12350.0,賣權,-,-,-,-,0,1010,0,-,-,-,-,,一般
2020/02/03,TXO,202002W1,12400.0,買權,-,-,-,-,0,0.1,88,-,-,-,-,,一般
2020/02/03,TXO,202002W1,12400.0,賣權,-,-,-,-,0,1060,0,-,-,-,-,,一般
