,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
9392,2016/6/1,TXO,201606W1,7700.0,買權,0.0,0.0,0.0,0.0,0,0.0,9,461.0,1270.0,695.0,555.0,
9393,2016/6/1,TXO,201606W1,7700.0,賣權,0.0,0.0,0.0,0.0,0,0.0,663,0.0,0.2,0.7,0.5,
9394,2016/6/1,TXO,201606W1,7800.0,買權,0.0,0.0,0.0,0.0,0,0.0,1,450.0,1170.0,660.0,600.0,
9395,2016/6/1,TXO,201606W1,7800.0,賣權,0.0,0.0,0.0,0.0,0,0.0,2073,0.0,0.2,1.4,0.1,
9396,2016/6/1,TXO,201606W1,7900.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,520.0,1070.0,0.0,0.0,
9397,2016/6/1,TXO,201606W1,7900.0,賣權,0.0,0.0,0.0,0.0,0,0.0,2363,0.0,0.2,1.8,0.1,
9398,2016/6/1,TXO,201606W1,8000.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,420.0,970.0,0.0,0.0,
9399,2016/6/1,TXO,201606W1,8000.0,賣權,0.1,0.2,0.1,0.1,51,0.0,6657,0.0,0.2,3.7,0.1,
9400,2016/6/1,TXO,201606W1,8100.0,買權,0.0,0.0,0.0,0.0,0,0.0,15,400.0,885.0,421.0,300.0,
9401,2016/6/1,TXO,201606W1,8100.0,賣權,0.2,0.2,0.1,0.2,52,0.0,7277,0.0,0.2,8.8,0.1,
9402,2016/6/1,TXO,201606W1,8150.0,買權,0.0,0.0,0.0,0.0,0,0.0,3,102.0,835.0,305.0,255.0,
9403,2016/6/1,TXO,201606W1,8150.0,賣權,0.1,0.2,0.1,0.1,158,0.0,19931,0.0,0.2,14.0,0.1,
9404,2016/6/1,TXO,201606W1,8200.0,買權,301.0,386.0,301.0,386.0,7,0.0,73,300.0,785.0,386.0,188.0,
9405,2016/6/1,TXO,201606W1,8200.0,賣權,0.2,0.2,0.1,0.1,488,0.0,16678,0.0,0.2,22.5,0.1,
9406,2016/6/1,TXO,201606W1,8250.0,買權,272.0,344.0,272.0,344.0,15,0.0,365,153.0,890.0,344.0,129.0,
9407,2016/6/1,TXO,201606W1,8250.0,賣權,0.3,0.3,0.1,0.2,917,0.0,13390,0.0,0.2,34.0,0.1,
9408,2016/6/1,TXO,201606W1,8300.0,買權,213.0,301.0,213.0,298.0,234,0.0,500,297.0,300.0,301.0,96.0,
9409,2016/6/1,TXO,201606W1,8300.0,賣權,0.5,0.5,0.1,0.2,1419,0.0,17424,0.0,0.2,55.0,0.1,
9410,2016/6/1,TXO,201606W1,8350.0,買權,161.0,249.0,161.0,248.0,972,0.0,1881,247.0,248.0,249.0,67.0,
9411,2016/6/1,TXO,201606W1,8350.0,賣權,0.5,0.9,0.1,0.1,4016,0.0,19501,0.0,0.2,69.0,0.1,
9412,2016/6/1,TXO,201606W1,8400.0,買權,117.0,199.0,100.0,198.0,3232,0.0,3241,197.0,198.0,199.0,42.0,
9413,2016/6/1,TXO,201606W1,8400.0,賣權,2.0,3.0,0.1,0.1,14651,0.0,28914,0.1,0.2,111.0,0.1,
9414,2016/6/1,TXO,201606W1,8450.0,買權,67.0,149.0,60.0,148.0,16302,0.0,5227,148.0,149.0,149.0,25.5,
9415,2016/6/1,TXO,201606W1,8450.0,賣權,8.1,8.1,0.1,0.1,37462,0.0,26086,0.1,0.2,141.0,0.1,
9416,2016/6/1,TXO,201606W1,8500.0,買權,29.5,100.0,26.5,98.0,54996,0.0,10655,97.0,98.0,100.0,12.5,
9417,2016/6/1,TXO,201606W1,8500.0,賣權,23.0,24.0,0.1,0.1,74275,0.0,31868,0.1,0.2,156.0,0.1,
9418,2016/6/1,TXO,201606W1,8550.0,買權,8.0,51.0,6.7,47.5,102381,0.0,13626,47.5,48.0,51.0,5.7,
9419,2016/6/1,TXO,201606W1,8550.0,賣權,54.0,55.0,0.1,0.2,92290,0.0,31400,0.1,0.2,183.0,0.1,
9420,2016/6/1,TXO,201606W1,8600.0,買權,1.7,8.8,0.1,0.1,120426,0.0,51787,0.1,0.2,15.0,0.1,
9421,2016/6/1,TXO,201606W1,8600.0,賣權,95.0,98.0,2.0,2.0,77676,0.0,14107,2.0,2.1,232.0,2.0,
9422,2016/6/1,TXO,201606W1,8650.0,買權,0.2,0.9,0.1,0.2,7129,0.0,20547,0.0,0.2,5.2,0.1,
9423,2016/6/1,TXO,201606W1,8650.0,賣權,145.0,145.0,49.0,52.0,7954,0.0,2300,52.0,53.0,179.0,49.0,
9424,2016/6/1,TXO,201606W1,8700.0,買權,0.3,0.3,0.1,0.1,2073,0.0,15503,0.0,0.1,2.0,0.1,
9425,2016/6/1,TXO,201606W1,8700.0,賣權,193.0,193.0,100.0,101.0,521,0.0,178,102.0,103.0,305.0,100.0,
9426,2016/6/1,TXO,201606W1,8750.0,買權,0.2,0.2,0.1,0.1,302,0.0,301,0.0,0.2,0.2,0.1,
9427,2016/6/1,TXO,201606W1,8750.0,賣權,223.0,225.0,152.0,152.0,122,0.0,78,152.0,153.0,255.0,152.0,
9428,2016/6/1,TXO,201606W1,8800.0,買權,0.1,0.2,0.1,0.1,51,0.0,1701,0.0,0.2,0.7,0.1,
9429,2016/6/1,TXO,201606W1,8800.0,賣權,216.0,219.0,208.0,208.0,10,0.0,17,202.0,203.0,374.0,208.0,
9430,2016/6/1,TXO,201606W1,8900.0,買權,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.2,0.4,0.1,
9431,2016/6/1,TXO,201606W1,8900.0,賣權,0.0,0.0,0.0,0.0,0,0.0,3,222.0,705.0,434.0,425.0,
9432,2016/6/1,TXO,201606W1,9000.0,買權,0.1,0.1,0.1,0.1,3,0.0,3,0.0,0.2,0.4,0.1,
9433,2016/6/1,TXO,201606W1,9000.0,賣權,0.0,0.0,0.0,0.0,0,0.0,0,322.0,765.0,0.0,0.0,
9434,2016/6/1,TXO,201606W1,9100.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0.0,0.0,
9435,2016/6/1,TXO,201606W1,9100.0,賣權,0.0,0.0,0.0,0.0,0,0.0,0,420.0,965.0,0.0,0.0,
9436,2016/6/1,TXO,201606W1,9200.0,買權,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.2,0.0,0.0,
9437,2016/6/1,TXO,201606W1,9200.0,賣權,0.0,0.0,0.0,0.0,0,0.0,0,520.0,1070.0,0.0,0.0,
9438,2016/6/1,TXO,201606W2,7900.0,買權,650.0,650.0,650.0,650.0,4,675.0,4,301.0,1050.0,650.0,650.0,
9439,2016/6/1,TXO,201606W2,7900.0,賣權,1.0,1.8,0.4,0.4,1186,0.4,1181,0.3,0.4,1.8,0.4,
9440,2016/6/1,TXO,201606W2,8000.0,買權,575.0,575.0,575.0,575.0,1,575.0,1,201.0,975.0,575.0,575.0,
9441,2016/6/1,TXO,201606W2,8000.0,賣權,3.1,3.2,0.6,0.7,2353,0.7,2117,0.6,0.8,3.2,0.6,
9442,2016/6/1,TXO,201606W2,8100.0,買權,476.0,476.0,476.0,476.0,1,476.0,1,151.0,840.0,476.0,476.0,
9443,2016/6/1,TXO,201606W2,8100.0,賣權,2.0,5.0,1.1,1.3,2815,1.3,1942,1.0,1.3,5.0,1.1,
9444,2016/6/1,TXO,201606W2,8200.0,買權,380.0,380.0,370.0,370.0,2,376.0,2,370.0,382.0,380.0,370.0,
9445,2016/6/1,TXO,201606W2,8200.0,賣權,8.0,9.7,2.3,2.4,4567,2.4,2938,2.4,2.5,9.7,2.3,
9446,2016/6/1,TXO,201606W2,8300.0,買權,285.0,290.0,280.0,280.0,6,280.0,4,51.0,640.0,290.0,280.0,
9447,2016/6/1,TXO,201606W2,8300.0,賣權,17.0,20.0,5.4,5.4,9788,5.4,6227,5.4,5.5,20.0,5.4,
9448,2016/6/1,TXO,201606W2,8350.0,買權,200.0,251.0,185.0,235.0,69,235.0,50,102.0,590.0,251.0,185.0,
9449,2016/6/1,TXO,201606W2,8350.0,賣權,27.0,27.5,8.6,9.2,8183,9.2,5124,9.1,9.2,27.5,8.6,
9450,2016/6/1,TXO,201606W2,8400.0,買權,143.0,211.0,143.0,190.0,324,190.0,182,187.0,194.0,211.0,143.0,
9451,2016/6/1,TXO,201606W2,8400.0,賣權,39.0,39.5,13.5,14.0,8531,14.0,4257,14.0,14.5,39.5,13.5,
9452,2016/6/1,TXO,201606W2,8450.0,買權,105.0,168.0,105.0,147.0,1019,147.0,429,147.0,149.0,168.0,105.0,
9453,2016/6/1,TXO,201606W2,8450.0,賣權,53.0,55.0,20.5,22.0,8624,22.0,4354,22.0,23.0,55.0,20.5,
9454,2016/6/1,TXO,201606W2,8500.0,買權,76.0,131.0,76.0,110.0,3690,110.0,1216,107.0,111.0,131.0,76.0,
9455,2016/6/1,TXO,201606W2,8500.0,賣權,75.0,75.0,31.0,35.0,10923,35.0,4741,35.0,35.5,75.0,31.0,
9456,2016/6/1,TXO,201606W2,8550.0,買權,52.0,97.0,51.0,78.0,3686,78.0,1444,78.0,79.0,97.0,51.0,
9457,2016/6/1,TXO,201606W2,8550.0,賣權,101.0,101.0,46.0,51.0,6798,51.0,3137,50.0,52.0,101.0,46.0,
9458,2016/6/1,TXO,201606W2,8600.0,買權,29.0,67.0,29.0,52.0,7796,52.0,3223,51.0,52.0,67.0,29.0,
9459,2016/6/1,TXO,201606W2,8600.0,賣權,128.0,128.0,66.0,75.0,4328,75.0,2030,74.0,75.0,128.0,66.0,
9460,2016/6/1,TXO,201606W2,8650.0,買權,18.0,43.5,18.0,31.0,8667,31.0,3430,31.0,31.5,43.5,18.0,
9461,2016/6/1,TXO,201606W2,8650.0,賣權,164.0,164.0,93.0,107.0,1172,107.0,540,103.0,108.0,164.0,93.0,
9462,2016/6/1,TXO,201606W2,8700.0,買權,10.0,26.5,10.0,17.0,6561,17.0,3199,17.0,17.5,26.5,10.0,
9463,2016/6/1,TXO,201606W2,8700.0,賣權,150.0,154.0,32.0,143.0,204,143.0,125,140.0,144.0,154.0,32.0,
9464,2016/6/1,TXO,201606W2,8750.0,買權,5.8,14.5,5.7,8.8,4499,8.8,2540,8.8,9.0,14.5,5.7,
9465,2016/6/1,TXO,201606W2,8750.0,賣權,200.0,200.0,167.0,182.0,88,182.0,46,182.0,187.0,200.0,167.0,
9466,2016/6/1,TXO,201606W2,8800.0,買權,3.0,7.5,2.7,4.4,6771,4.4,3715,4.3,4.4,7.5,2.7,
9467,2016/6/1,TXO,201606W2,8800.0,賣權,250.0,250.0,211.0,220.0,16,229.0,9,215.0,795.0,250.0,211.0,
9468,2016/6/1,TXO,201606W2,8900.0,買權,1.3,2.0,0.8,0.8,4670,0.8,3771,0.8,0.9,2.0,0.8,
9469,2016/6/1,TXO,201606W2,8900.0,賣權,321.0,321.0,321.0,321.0,3,323.0,3,41.5,710.0,321.0,321.0,
9470,2016/6/1,TXO,201606W2,9000.0,買權,0.4,0.6,0.2,0.2,1334,0.2,1232,0.2,0.3,0.6,0.2,
9471,2016/6/1,TXO,201606W2,9000.0,賣權,0.0,0.0,0.0,0.0,0,421.0,0,41.5,810.0,0.0,0.0,
9472,2016/6/1,TXO,201606W2,9100.0,買權,0.0,0.0,0.0,0.0,0,0.1,0,0.1,0.4,0.0,0.0,
9473,2016/6/1,TXO,201606W2,9100.0,賣權,0.0,0.0,0.0,0.0,0,520.0,0,41.5,885.0,0.0,0.0,
9474,2016/6/1,TXO,201606W2,9200.0,買權,0.0,0.0,0.0,0.0,0,0.1,0,0.1,0.3,0.0,0.0,
9475,2016/6/1,TXO,201606W2,9200.0,賣權,0.0,0.0,0.0,0.0,0,620.0,0,41.5,985.0,0.0,0.0,
9476,2016/6/1,TXO,201606,6000.0,買權,0.0,0.0,0.0,0.0,0,2560.0,21,2490.0,2630.0,2480.0,2280.0,
9477,2016/6/1,TXO,201606,6000.0,賣權,0.2,0.3,0.2,0.3,67,0.1,8601,0.1,0.3,99.0,0.1,
9478,2016/6/1,TXO,201606,6100.0,買權,0.0,0.0,0.0,0.0,0,2460.0,20,2390.0,2540.0,2410.0,2410.0,
9479,2016/6/1,TXO,201606,6100.0,賣權,0.3,0.3,0.3,0.3,40,0.1,1018,0.0,0.3,5.8,0.2,
9480,2016/6/1,TXO,201606,6200.0,買權,0.0,0.0,0.0,0.0,0,2360.0,21,2290.0,2440.0,2410.0,2280.0,
9481,2016/6/1,TXO,201606,6200.0,賣權,0.0,0.0,0.0,0.0,0,0.1,3540,0.1,0.4,102.0,0.2,
9482,2016/6/1,TXO,201606,6300.0,買權,0.0,0.0,0.0,0.0,0,2260.0,6,2190.0,2340.0,2310.0,1740.0,
9483,2016/6/1,TXO,201606,6300.0,賣權,0.0,0.0,0.0,0.0,0,0.1,977,0.1,0.4,8.0,0.2,
9484,2016/6/1,TXO,201606,6400.0,買權,0.0,0.0,0.0,0.0,0,2160.0,5,2090.0,2240.0,1680.0,1680.0,
9485,2016/6/1,TXO,201606,6400.0,賣權,0.1,0.4,0.1,0.4,4,0.1,2634,0.1,0.4,124.0,0.1,
9486,2016/6/1,TXO,201606,6500.0,買權,0.0,0.0,0.0,0.0,0,2060.0,20,1990.0,2140.0,1980.0,1980.0,
9487,2016/6/1,TXO,201606,6500.0,賣權,0.0,0.0,0.0,0.0,0,0.1,1689,0.1,0.3,13.0,0.2,
9488,2016/6/1,TXO,201606,6600.0,買權,0.0,0.0,0.0,0.0,0,1960.0,51,1890.0,2040.0,1880.0,1860.0,
9489,2016/6/1,TXO,201606,6600.0,賣權,0.2,0.2,0.2,0.2,15,0.2,4292,0.1,0.4,153.0,0.2,
9490,2016/6/1,TXO,201606,6700.0,買權,0.0,0.0,0.0,0.0,0,1860.0,20,1790.0,1940.0,1810.0,1810.0,
9491,2016/6/1,TXO,201606,6700.0,賣權,0.3,0.3,0.3,0.3,3,0.3,3606,0.2,0.4,14.0,0.3,
9492,2016/6/1,TXO,201606,6800.0,買權,0.0,0.0,0.0,0.0,0,1760.0,52,1690.0,1840.0,1710.0,1320.0,
9493,2016/6/1,TXO,201606,6800.0,賣權,0.4,0.5,0.3,0.3,163,0.3,5585,0.2,0.4,198.0,0.3,
9494,2016/6/1,TXO,201606,6900.0,買權,0.0,0.0,0.0,0.0,0,1660.0,60,1590.0,1740.0,1590.0,1370.0,
9495,2016/6/1,TXO,201606,6900.0,賣權,0.5,0.6,0.3,0.5,252,0.3,7192,0.2,0.4,20.0,0.3,
9496,2016/6/1,TXO,201606,7000.0,買權,0.0,0.0,0.0,0.0,0,1560.0,33,1490.0,1640.0,1800.0,795.0,
9497,2016/6/1,TXO,201606,7000.0,賣權,0.3,0.6,0.2,0.4,103,0.4,13025,0.2,0.5,239.0,0.2,
9498,2016/6/1,TXO,201606,7100.0,買權,0.0,0.0,0.0,0.0,0,1460.0,0,1390.0,1540.0,0.0,0.0,
9499,2016/6/1,TXO,201606,7100.0,賣權,0.5,0.7,0.4,0.5,73,0.5,6760,0.3,0.7,30.0,0.4,
9500,2016/6/1,TXO,201606,7200.0,買權,0.0,0.0,0.0,0.0,0,1360.0,100,1290.0,1440.0,1440.0,655.0,
9501,2016/6/1,TXO,201606,7200.0,賣權,0.9,0.9,0.5,0.6,416,0.6,12556,0.5,0.8,288.0,0.5,
9502,2016/6/1,TXO,201606,7300.0,買權,0.0,0.0,0.0,0.0,0,1260.0,20,1190.0,1340.0,1380.0,680.0,
9503,2016/6/1,TXO,201606,7300.0,賣權,0.7,0.9,0.5,0.9,750,0.7,7719,0.6,0.7,43.0,0.5,
9504,2016/6/1,TXO,201606,7400.0,買權,0.0,0.0,0.0,0.0,0,1160.0,105,1090.0,1240.0,1300.0,401.0,
9505,2016/6/1,TXO,201606,7400.0,賣權,1.2,1.3,0.8,0.9,749,0.9,12076,0.8,1.0,352.0,0.8,
9506,2016/6/1,TXO,201606,7500.0,買權,0.0,0.0,0.0,0.0,0,1060.0,77,995.0,1140.0,1140.0,485.0,
9507,2016/6/1,TXO,201606,7500.0,賣權,1.4,1.7,1.1,1.2,1387,1.2,14202,1.0,1.2,61.0,1.1,
9508,2016/6/1,TXO,201606,7600.0,買權,985.0,985.0,975.0,975.0,2,965.0,991,895.0,990.0,1160.0,335.0,
9509,2016/6/1,TXO,201606,7600.0,賣權,1.8,1.9,1.4,1.4,1081,1.4,16561,1.0,1.4,465.0,1.4,
9510,2016/6/1,TXO,201606,7700.0,買權,820.0,875.0,820.0,875.0,54,865.0,271,860.0,935.0,960.0,315.0,
9511,2016/6/1,TXO,201606,7700.0,賣權,2.5,2.7,1.8,1.8,1643,1.8,16644,1.5,2.0,89.0,1.8,
9512,2016/6/1,TXO,201606,7800.0,買權,715.0,795.0,715.0,780.0,79,765.0,806,700.0,795.0,975.0,240.0,
9513,2016/6/1,TXO,201606,7800.0,賣權,3.4,3.9,2.5,2.6,4105,2.6,27209,2.5,2.8,570.0,2.5,
9514,2016/6/1,TXO,201606,7900.0,買權,630.0,680.0,625.0,665.0,75,665.0,1139,595.0,670.0,765.0,178.0,
9515,2016/6/1,TXO,201606,7900.0,賣權,5.1,5.7,3.5,3.7,5522,3.7,29387,3.5,4.0,151.0,3.5,
9516,2016/6/1,TXO,201606,8000.0,買權,497.0,595.0,497.0,570.0,212,570.0,2897,565.0,575.0,920.0,121.0,
9517,2016/6/1,TXO,201606,8000.0,賣權,7.6,8.0,4.8,5.3,7059,5.3,30253,5.0,5.1,685.0,4.8,
9518,2016/6/1,TXO,201606,8100.0,買權,402.0,495.0,402.0,469.0,169,470.0,7032,465.0,473.0,730.0,79.0,
9519,2016/6/1,TXO,201606,8100.0,賣權,12.0,12.5,6.9,7.2,11688,7.2,28054,7.2,7.3,254.0,6.9,
9520,2016/6/1,TXO,201606,8200.0,買權,300.0,401.0,300.0,376.0,1024,376.0,12459,375.0,378.0,930.0,47.5,
9521,2016/6/1,TXO,201606,8200.0,賣權,21.5,21.5,11.0,12.0,14074,12.0,25803,12.0,12.5,780.0,11.0,
9522,2016/6/1,TXO,201606,8300.0,買權,216.0,308.0,216.0,280.0,2846,280.0,13340,280.0,287.0,565.0,27.0,
9523,2016/6/1,TXO,201606,8300.0,賣權,33.5,34.0,18.0,20.0,21193,20.0,24883,19.5,20.0,402.0,18.0,
9524,2016/6/1,TXO,201606,8400.0,買權,147.0,220.0,144.0,198.0,7008,198.0,17442,197.0,198.0,795.0,12.0,
9525,2016/6/1,TXO,201606,8400.0,賣權,58.0,58.0,30.5,34.0,24659,34.0,20970,33.5,34.0,980.0,30.5,
9526,2016/6/1,TXO,201606,8500.0,買權,85.0,143.0,81.0,121.0,12707,121.0,20944,121.0,124.0,444.0,8.5,
9527,2016/6/1,TXO,201606,8500.0,賣權,94.0,97.0,52.0,59.0,20528,59.0,12730,58.0,60.0,580.0,52.0,
9528,2016/6/1,TXO,201606,8600.0,買權,40.5,81.0,40.5,66.0,25999,66.0,26057,65.0,66.0,615.0,3.9,
9529,2016/6/1,TXO,201606,8600.0,賣權,148.0,155.0,90.0,101.0,8157,101.0,3912,101.0,102.0,1120.0,90.0,
9530,2016/6/1,TXO,201606,8700.0,買權,20.0,39.0,18.0,28.0,23222,28.0,29411,27.5,28.0,333.0,1.9,
9531,2016/6/1,TXO,201606,8700.0,賣權,228.0,229.0,147.0,164.0,1324,164.0,1510,163.0,165.0,765.0,147.0,
9532,2016/6/1,TXO,201606,8800.0,買權,6.5,17.0,6.5,10.0,20929,10.0,20231,10.0,11.0,492.0,0.9,
9533,2016/6/1,TXO,201606,8800.0,賣權,317.0,317.0,227.0,250.0,294,250.0,463,244.0,249.0,1300.0,227.0,
9534,2016/6/1,TXO,201606,8900.0,買權,2.5,6.6,2.5,4.2,11902,4.2,17900,4.2,4.3,269.0,0.6,
9535,2016/6/1,TXO,201606,8900.0,賣權,386.0,386.0,318.0,336.0,92,336.0,159,335.0,405.0,960.0,318.0,
9536,2016/6/1,TXO,201606,9000.0,買權,1.5,2.5,1.0,1.4,3021,1.4,10227,1.4,1.5,387.0,0.3,
9537,2016/6/1,TXO,201606,9000.0,賣權,463.0,482.0,425.0,445.0,31,435.0,286,410.0,505.0,1300.0,380.0,
9538,2016/6/1,TXO,201606,9100.0,買權,0.8,1.1,0.8,0.9,1298,0.9,4086,0.7,1.0,169.0,0.4,
9539,2016/6/1,TXO,201606,9100.0,賣權,545.0,545.0,515.0,535.0,16,535.0,43,505.0,610.0,1140.0,488.0,
9540,2016/6/1,TXO,201606,9200.0,買權,0.5,0.7,0.5,0.5,548,0.5,4600,0.3,0.6,303.0,0.1,
9541,2016/6/1,TXO,201606,9200.0,賣權,625.0,625.0,625.0,625.0,3,635.0,373,610.0,705.0,1250.0,520.0,
9542,2016/6/1,TXO,201606,9300.0,買權,0.0,0.0,0.0,0.0,0,0.4,2497,0.3,0.5,94.0,0.3,
