,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/11/01,TXO,201811W1,8800.0,買權,-,-,-,-,0,1010,0,-,-,-,-,,一般
2018/11/01,TXO,201811W1,8800.0,賣權,2.5,2.5,1.6,2.4,3180,2.4,5093,2,2.5,7.6,1.6,,一般
2018/11/01,TXO,201811W1,8900.0,買權,-,-,-,-,0,915,0,-,-,-,-,,一般
2018/11/01,TXO,201811W1,8900.0,賣權,2.9,3.2,1.9,2.9,3270,2.9,2988,2.1,2.9,9.9,1.9,,一般
2018/11/01,TXO,201811W1,9000.0,買權,-,-,-,-,0,815,6,-,-,-,-,,一般
2018/11/01,TXO,201811W1,9000.0,賣權,6.6,6.6,2.3,3.6,2519,3.6,2908,3.5,3.7,16,2.3,,一般
2018/11/01,TXO,201811W1,9100.0,買權,-,-,-,-,0,720,1,-,-,-,-,,一般
2018/11/01,TXO,201811W1,9100.0,賣權,5.8,6,2.9,4.8,2560,4.8,3613,4.7,4.9,20.5,2.9,,一般
2018/11/01,TXO,201811W1,9200.0,買權,555,610,545,610,5,620,25,610,625,610,439,,一般
2018/11/01,TXO,201811W1,9200.0,賣權,8.8,9,4,6.4,3421,6.4,3149,6.2,6.7,28.5,4,,一般
2018/11/01,TXO,201811W1,9250.0,買權,-,-,-,-,0,570,1,-,-,-,-,,一般
2018/11/01,TXO,201811W1,9250.0,賣權,10.5,11.5,4.8,7.8,3399,7.8,3467,7.6,7.9,34.5,4.8,,一般
2018/11/01,TXO,201811W1,9300.0,買權,465,515,465,515,14,520,28,515,525,515,423,,一般
2018/11/01,TXO,201811W1,9300.0,賣權,13.5,14,5.8,9.4,4035,9.4,3064,8.7,9.5,41.5,5.8,,一般
2018/11/01,TXO,201811W1,9350.0,買權,493,493,493,493,8,470,11,468,476,493,418,,一般
2018/11/01,TXO,201811W1,9350.0,賣權,16.5,18,7.3,12,2962,12,1960,11.5,12,50,7.3,,一般
2018/11/01,TXO,201811W1,9400.0,買權,372,449,372,430,31,422,80,421,429,449,315,,一般
2018/11/01,TXO,201811W1,9400.0,賣權,20,22.5,9.3,14,5129,14,3715,13.5,14,60,9.3,,一般
2018/11/01,TXO,201811W1,9450.0,買權,320,406,320,390,14,376,38,375,382,406,235,,一般
2018/11/01,TXO,201811W1,9450.0,賣權,27,28.5,12,18,4525,18,3244,17.5,18,73,12,,一般
2018/11/01,TXO,201811W1,9500.0,買權,283,360,273,350,84,330,97,330,337,360,185,,一般
2018/11/01,TXO,201811W1,9500.0,賣權,31,36.5,15,22,9178,22,4578,22,22.5,87,15,,一般
2018/11/01,TXO,201811W1,9550.0,買權,241,311,228,286,296,286,150,286,292,311,120,,一般
2018/11/01,TXO,201811W1,9550.0,賣權,36,46,20,28,6873,28,2642,27.5,28,104,20,,一般
2018/11/01,TXO,201811W1,9600.0,買權,208,271,189,249,476,243,578,243,248,271,109,,一般
2018/11/01,TXO,201811W1,9600.0,賣權,50,58,26,35,13831,35,5143,35,35.5,124,26,,一般
2018/11/01,TXO,201811W1,9650.0,買權,173,230,150,207,1021,207,767,203,207,230,96,,一般
2018/11/01,TXO,201811W1,9650.0,賣權,68,72,33.5,45.5,9576,45.5,3538,44.5,45.5,147,33.5,,一般
2018/11/01,TXO,201811W1,9700.0,買權,140,191,119,166,3139,166,1682,165,168,191,70,,一般
2018/11/01,TXO,201811W1,9700.0,賣權,85,90,44.5,56,14882,56,4786,56,58,170,44.5,,一般
2018/11/01,TXO,201811W1,9750.0,買權,117,156,91,131,10378,131,3003,131,132,156,52,,一般
2018/11/01,TXO,201811W1,9750.0,賣權,88,112,58,72,13848,72,3994,71,72,173,58,,一般
2018/11/01,TXO,201811W1,9800.0,買權,87,123,68,101,18015,101,5864,101,102,123,35.5,,一般
2018/11/01,TXO,201811W1,9800.0,賣權,121,138,73,90,11840,90,3376,90,91,238,73,,一般
2018/11/01,TXO,201811W1,9850.0,買權,67,92,48,74,11722,74,3626,74,75,92,48,,一般
2018/11/01,TXO,201811W1,9850.0,賣權,156,168,94,113,5206,113,2028,112,114,168,94,,一般
2018/11/01,TXO,201811W1,9900.0,買權,50,68,33,52,27012,52,6825,52,53,68,15,,一般
2018/11/01,TXO,201811W1,9900.0,賣權,187,200,120,142,3262,142,1058,140,142,294,120,,一般
2018/11/01,TXO,201811W1,9950.0,買權,31,47.5,22,35,10521,35,2710,35,35.5,47.5,22,,一般
2018/11/01,TXO,201811W1,9950.0,賣權,225,234,150,174,225,174,119,174,176,234,150,,一般
2018/11/01,TXO,201811W1,10000.0,買權,23.5,31.5,14,22.5,22396,22.5,8208,22,23,33,5.9,,一般
2018/11/01,TXO,201811W1,10000.0,賣權,272,272,185,210,204,210,223,209,213,358,185,,一般
2018/11/01,TXO,201811W1,10050.0,買權,13.5,20,8.9,13,6402,13,2296,13,14,20,8.9,,一般
2018/11/01,TXO,201811W1,10050.0,賣權,233,245,225,238,22,255,17,249,255,245,225,,一般
2018/11/01,TXO,201811W1,10100.0,買權,10,12.5,5.7,7.8,15027,7.8,8316,7.5,7.9,16,2.4,,一般
2018/11/01,TXO,201811W1,10100.0,賣權,343,343,265,290,20,300,37,293,300,417,265,,一般
2018/11/01,TXO,201811W1,10200.0,買權,4.2,4.8,2.5,2.7,9487,2.7,7875,2.5,2.7,7.4,0.7,,一般
2018/11/01,TXO,201811W1,10200.0,賣權,367,398,367,384,26,395,31,388,395,500,367,,一般
2018/11/01,TXO,201811W1,10300.0,買權,2.4,2.4,1,1,3391,1,2516,0.9,1,2.4,1,,一般
2018/11/01,TXO,201811W1,10300.0,賣權,479,479,471,471,2,493,0,485,494,479,471,,一般
2018/11/01,TXO,201811W1,10400.0,買權,1.1,1.2,0.5,0.5,3474,0.5,2164,0.4,0.6,1.2,0.5,,一般
2018/11/01,TXO,201811W1,10400.0,賣權,-,-,-,-,0,590,0,-,-,-,-,,一般
