,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
9671,2017/10/2,TXO,201710W1,10800.0,賣權,-,-,-,-,0,337,0,-,-,-,-,,一般
9672,2017/10/2,TXO,201710W1,10900.0,買權,0.2,0.2,0.2,0.2,18,0.2,1899,0.1,0.2,0.4,0.2,,一般
9673,2017/10/2,TXO,201710W1,10900.0,賣權,-,-,-,-,0,437,20,-,-,-,-,,一般
9674,2017/10/2,TXO,201710W1,11000.0,買權,0.2,0.2,0.1,0.2,8,0.2,2444,0.1,0.2,0.3,0.1,,一般
9675,2017/10/2,TXO,201710W1,11000.0,賣權,-,-,-,-,0,535,0,-,-,-,-,,一般
9676,2017/10/2,TXO,201710W1,11100.0,買權,-,-,-,-,0,0.1,3,-,-,-,-,,一般
9677,2017/10/2,TXO,201710W1,11100.0,賣權,-,-,-,-,0,635,0,-,-,-,-,,一般
9678,2017/10/2,TXO,201710W1,11200.0,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
9679,2017/10/2,TXO,201710W1,11200.0,賣權,-,-,-,-,0,735,0,-,-,-,-,,一般
9680,2017/10/2,TXO,201710,8600.0,買權,-,-,-,-,0,1850,3,-,-,-,-,,一般
9681,2017/10/2,TXO,201710,8600.0,賣權,0.2,0.2,0.2,0.2,141,0.2,4822,0.1,0.2,8.6,0.1,,一般
9682,2017/10/2,TXO,201710,8700.0,買權,-,-,-,-,0,1750,3,-,-,-,-,,一般
9683,2017/10/2,TXO,201710,8700.0,賣權,0.2,0.2,0.2,0.2,201,0.2,3558,0.1,0.3,15,0.2,,一般
9684,2017/10/2,TXO,201710,8800.0,買權,-,-,-,-,0,1650,3,-,-,-,-,,一般
9685,2017/10/2,TXO,201710,8800.0,賣權,0.3,0.3,0.2,0.2,354,0.2,5084,0.1,4,18.5,0.2,,一般
9686,2017/10/2,TXO,201710,8900.0,買權,-,-,-,-,0,1550,3,-,-,-,-,,一般
9687,2017/10/2,TXO,201710,8900.0,賣權,0.3,0.3,0.3,0.3,287,0.3,5092,0.2,5,22,0.3,,一般
9688,2017/10/2,TXO,201710,9000.0,買權,-,-,-,-,0,1450,3,-,-,-,-,,一般
9689,2017/10/2,TXO,201710,9000.0,賣權,0.4,0.4,0.3,0.3,74,0.3,4876,0.3,4.9,24.5,0.3,,一般
9690,2017/10/2,TXO,201710,9100.0,買權,-,-,-,-,0,1350,3,-,-,-,-,,一般
9691,2017/10/2,TXO,201710,9100.0,賣權,0.4,0.4,0.4,0.4,33,0.4,4000,0.3,0.5,30,0.4,,一般
9692,2017/10/2,TXO,201710,9200.0,買權,-,-,-,-,0,1250,4,-,-,-,-,,一般
9693,2017/10/2,TXO,201710,9200.0,賣權,0.6,0.6,0.4,0.4,63,0.4,6097,0.4,0.6,36,0.4,,一般
9694,2017/10/2,TXO,201710,9300.0,買權,-,-,-,-,0,1150,3,-,-,-,-,,一般
9695,2017/10/2,TXO,201710,9300.0,賣權,0.7,0.7,0.6,0.6,86,0.6,6282,0.5,0.6,123,0.6,,一般
9696,2017/10/2,TXO,201710,9400.0,買權,-,-,-,-,0,1050,125,-,-,-,-,,一般
9697,2017/10/2,TXO,201710,9400.0,賣權,1,1,0.7,0.9,443,0.8,8904,-,0.8,50,0.7,,一般
9698,2017/10/2,TXO,201710,9500.0,買權,-,-,-,-,0,950,10,-,-,-,-,,一般
9699,2017/10/2,TXO,201710,9500.0,賣權,1.1,1.3,0.9,1,532,1,13253,0.9,1,61,0.9,,一般
9700,2017/10/2,TXO,201710,9600.0,買權,850,860,850,855,6,850,15,850,860,1010,675,,一般
9701,2017/10/2,TXO,201710,9600.0,賣權,1.8,1.8,1.2,1.3,913,1.3,16313,1.1,1.3,75,1.2,,一般
9702,2017/10/2,TXO,201710,9700.0,買權,740,740,740,740,1,750,77,368,-,930,206,,一般
9703,2017/10/2,TXO,201710,9700.0,賣權,2.6,2.6,1.6,1.7,1955,1.7,14000,1.6,1.7,91,1.6,,一般
9704,2017/10/2,TXO,201710,9800.0,買權,600,650,600,650,9,650,75,540,-,835,475,,一般
9705,2017/10/2,TXO,201710,9800.0,賣權,3.2,3.5,2.2,2.3,3466,2.3,17857,2.2,2.4,109,2.2,,一般
9706,2017/10/2,TXO,201710,9900.0,買權,505,555,505,555,45,555,193,515,710,735,385,,一般
9707,2017/10/2,TXO,201710,9900.0,賣權,5.3,5.3,3.2,3.3,10202,3.3,26090,3.3,3.4,132,3.2,,一般
9708,2017/10/2,TXO,201710,10000.0,買權,402,462,402,455,175,455,653,450,458,640,112,,一般
9709,2017/10/2,TXO,201710,10000.0,賣權,8.3,8.3,5,5.3,9476,5.3,36541,5.1,5.3,162,5,,一般
9710,2017/10/2,TXO,201710,10100.0,買權,308,364,307,359,390,359,834,350,368,540,210,,一般
9711,2017/10/2,TXO,201710,10100.0,賣權,14,14,8.3,8.3,10265,8.3,26113,8.3,8.4,197,8.3,,一般
9712,2017/10/2,TXO,201710,10200.0,買權,214,271,214,265,1704,265,3333,263,272,500,95,,一般
9713,2017/10/2,TXO,201710,10200.0,賣權,24.5,25,14.5,14.5,15529,14.5,25643,14.5,15,1220,14.5,,一般
9714,2017/10/2,TXO,201710,10300.0,買權,137,184,133,179,4818,179,11018,177,180,377,77,,一般
9715,2017/10/2,TXO,201710,10300.0,賣權,49,49,26.5,27,17417,27,28937,27,27.5,284,26.5,,一般
9716,2017/10/2,TXO,201710,10400.0,買權,73,108,71,103,17203,103,19113,102,103,301,37.5,,一般
9717,2017/10/2,TXO,201710,10400.0,賣權,83,84,50,53,15145,53,20278,52,53,347,48,,一般
9718,2017/10/2,TXO,201710,10500.0,買權,30.5,52,30,48,25914,48,32393,47.5,48.5,227,15,,一般
9719,2017/10/2,TXO,201710,10500.0,賣權,138,143,94,98,8073,98,22424,97,99,413,70,,一般
9720,2017/10/2,TXO,201710,10600.0,買權,10,19.5,9.5,18,25185,18,40216,17.5,18,166,5.7,,一般
9721,2017/10/2,TXO,201710,10600.0,賣權,219,219,162,168,1601,168,6932,166,171,505,106,,一般
9722,2017/10/2,TXO,201710,10700.0,買權,3.2,6.1,3.1,5.6,14531,5.6,35781,5.3,5.6,130,2.3,,一般
9723,2017/10/2,TXO,201710,10700.0,賣權,306,311,250,254,769,254,3904,251,256,580,147,,一般
9724,2017/10/2,TXO,201710,10800.0,買權,1.5,2.2,1.3,2,4546,2,34071,2,2.2,72,1.2,,一般
9725,2017/10/2,TXO,201710,10800.0,賣權,390,399,344,344,100,352,316,341,358,540,216,,一般
9726,2017/10/2,TXO,201710,10900.0,買權,1.1,1.3,0.8,1.2,1281,1.2,23706,1.1,1.3,46,0.8,,一般
9727,2017/10/2,TXO,201710,10900.0,賣權,480,480,446,446,22,451,163,300,615,620,292,,一般
9728,2017/10/2,TXO,201710,11000.0,買權,0.6,0.8,0.5,0.7,739,0.7,16219,0.3,0.7,28,0.4,,一般
9729,2017/10/2,TXO,201710,11000.0,賣權,595,595,555,555,6,550,111,453,645,660,386,,一般
9730,2017/10/2,TXO,201710,11100.0,買權,0.4,0.5,0.3,0.3,134,0.3,11862,0.3,3.9,18,0.3,,一般
9731,2017/10/2,TXO,201710,11100.0,賣權,-,-,-,-,0,650,24,-,-,-,-,,一般
9732,2017/10/2,TXO,201710,11200.0,買權,0.2,0.2,0.2,0.2,50,0.2,5759,0.2,1.2,12.5,0.2,,一般
9733,2017/10/2,TXO,201710,11200.0,賣權,-,-,-,-,0,750,42,-,-,-,-,,一般
9734,2017/10/2,TXO,201710,11300.0,買權,-,-,-,-,0,0.1,1807,-,-,-,-,,一般
9735,2017/10/2,TXO,201710,11300.0,賣權,-,-,-,-,0,850,1,-,-,-,-,,一般
9736,2017/10/2,TXO,201710,11400.0,買權,0.1,0.2,0.1,0.1,46,0.1,719,0.1,0.2,5.5,0.1,,一般
9737,2017/10/2,TXO,201710,11400.0,賣權,-,-,-,-,0,950,1,-,-,-,-,,一般
9738,2017/10/2,TXO,201710,11500.0,買權,-,-,-,-,0,0.1,741,-,-,-,-,,一般
9739,2017/10/2,TXO,201710,11500.0,賣權,-,-,-,-,0,1050,8,-,-,-,-,,一般
9740,2017/10/2,TXO,201710,11600.0,買權,0.2,0.2,0.2,0.2,3,0.1,393,0.1,0.2,2.5,0.1,,一般
9741,2017/10/2,TXO,201710,11600.0,賣權,-,-,-,-,0,1150,2,-,-,-,-,,一般
9742,2017/10/2,TXO,201710,11700.0,買權,-,-,-,-,0,0.1,45,-,-,-,-,,一般
9743,2017/10/2,TXO,201710,11700.0,賣權,-,-,-,-,0,1250,0,-,-,-,-,,一般
9744,2017/10/2,TXO,201710,11800.0,買權,-,-,-,-,0,0.1,74,-,-,-,-,,一般
9745,2017/10/2,TXO,201710,11800.0,賣權,-,-,-,-,0,1350,0,-,-,-,-,,一般
9746,2017/10/2,TXO,201710,11900.0,買權,-,-,-,-,0,0.1,64,-,-,-,-,,一般
9747,2017/10/2,TXO,201710,11900.0,賣權,-,-,-,-,0,1450,0,-,-,-,-,,一般
9748,2017/10/2,TXO,201710,12000.0,買權,-,-,-,-,0,0.1,100,-,-,-,-,,一般
9749,2017/10/2,TXO,201710,12000.0,賣權,-,-,-,-,0,1550,0,-,-,-,-,,一般
9750,2017/10/2,TXO,201710,12100.0,買權,-,-,-,-,0,0.1,0,-,-,-,-,,一般
9751,2017/10/2,TXO,201710,12100.0,賣權,-,-,-,-,0,1650,0,-,-,-,-,,一般
9752,2017/10/2,TXO,201710,12200.0,買權,-,-,-,-,0,0.1,1,-,-,-,-,,一般
9753,2017/10/2,TXO,201710,12200.0,賣權,-,-,-,-,0,1750,0,-,-,-,-,,一般
9754,2017/10/2,TXO,201710,12300.0,買權,-,-,-,-,0,0.1,44,-,-,-,-,,一般
9755,2017/10/2,TXO,201710,12300.0,賣權,-,-,-,-,0,1850,0,-,-,-,-,,一般
9756,2017/10/2,TXO,201711,8700.0,買權,-,-,-,-,0,1730,0,-,-,-,-,,一般
9757,2017/10/2,TXO,201711,8700.0,賣權,1.8,2,1.5,1.5,134,1.5,4765,1,1.5,15,1,,一般
9758,2017/10/2,TXO,201711,8800.0,買權,-,-,-,-,0,1630,0,-,-,-,-,,一般
9759,2017/10/2,TXO,201711,8800.0,賣權,2.2,2.3,1.8,1.8,391,1.8,2034,1.7,1.9,17,1.1,,一般
9760,2017/10/2,TXO,201711,8900.0,買權,-,-,-,-,0,1530,0,-,-,-,-,,一般
9761,2017/10/2,TXO,201711,8900.0,賣權,2.6,2.6,2,2,107,2.2,3396,2.1,2.2,19.5,2,,一般
9762,2017/10/2,TXO,201711,9000.0,買權,-,-,-,-,0,1430,0,-,-,-,-,,一般
9763,2017/10/2,TXO,201711,9000.0,賣權,3.4,3.5,2.5,2.5,211,2.5,2112,2.5,2.6,25.5,2.5,,一般
9764,2017/10/2,TXO,201711,9100.0,買權,-,-,-,-,0,1340,0,-,-,-,-,,一般
9765,2017/10/2,TXO,201711,9100.0,賣權,4.3,4.4,3,3,67,3,826,1,3.3,30,3,,一般
9766,2017/10/2,TXO,201711,9200.0,買權,-,-,-,-,0,1240,0,-,-,-,-,,一般
9767,2017/10/2,TXO,201711,9200.0,賣權,5.2,5.3,4,4.2,457,4.2,6388,1,4.4,37.5,4,,一般
9768,2017/10/2,TXO,201711,9300.0,買權,-,-,-,-,0,1140,0,-,-,-,-,,一般
9769,2017/10/2,TXO,201711,9300.0,賣權,6.5,6.6,4.8,4.9,516,4.9,3605,4.7,5.4,44,4.8,,一般
9770,2017/10/2,TXO,201711,9400.0,買權,-,-,-,-,0,1040,0,-,-,-,-,,一般
9771,2017/10/2,TXO,201711,9400.0,賣權,8.2,8.7,6.2,6.2,1552,6.2,10462,6,6.3,53,3.1,,一般
9772,2017/10/2,TXO,201711,9500.0,買權,-,-,-,-,0,940,0,-,-,-,-,,一般
9773,2017/10/2,TXO,201711,9500.0,賣權,10,10,7.7,7.8,1008,7.8,6043,7.7,8,67,4.2,,一般
9774,2017/10/2,TXO,201711,9600.0,買權,-,-,-,-,0,840,2,-,-,-,-,,一般
9775,2017/10/2,TXO,201711,9600.0,賣權,13,13,9.9,10,978,10,7291,9.9,10,80,9.9,,一般
9776,2017/10/2,TXO,201711,9700.0,買權,740,740,740,740,1,740,2,655,895,885,675,,一般
9777,2017/10/2,TXO,201711,9700.0,賣權,17,17.5,12.5,13.5,1082,13.5,6506,12.5,13,95,10.5,,一般
9778,2017/10/2,TXO,201711,9800.0,買權,610,650,600,650,11,650,25,645,655,650,520,,一般
9779,2017/10/2,TXO,201711,9800.0,賣權,24,24,17,17,2902,17,8471,17,17.5,122,17,,一般
9780,2017/10/2,TXO,201711,9900.0,買權,510,560,510,560,17,560,121,550,560,635,410,,一般
9781,2017/10/2,TXO,201711,9900.0,賣權,33,33,22.5,22.5,1987,22.5,8498,22,23.5,152,22.5,,一般
9782,2017/10/2,TXO,201711,10000.0,買權,450,468,448,465,34,465,135,462,471,645,342,,一般
9783,2017/10/2,TXO,201711,10000.0,賣權,43,44.5,32,32,3023,32,9143,31.5,32.5,176,32,,一般
9784,2017/10/2,TXO,201711,10100.0,買權,358,376,358,376,11,378,152,378,384,520,250,,一般
9785,2017/10/2,TXO,201711,10100.0,賣權,60,64,45,45.5,1921,45.5,4911,45,46,205,44.5,,一般
9786,2017/10/2,TXO,201711,10200.0,買權,269,301,266,297,79,297,520,293,303,438,192,,一般
9787,2017/10/2,TXO,201711,10200.0,賣權,88,88,64,64,1710,64,5187,65,66,242,58,,一般
9788,2017/10/2,TXO,201711,10300.0,買權,186,229,186,223,238,223,977,221,229,393,106,,一般
9789,2017/10/2,TXO,201711,10300.0,賣權,114,117,90,91,956,91,2782,90,92,286,79,,一般
9790,2017/10/2,TXO,201711,10400.0,買權,130,164,130,159,491,159,1345,159,165,316,92,,一般
9791,2017/10/2,TXO,201711,10400.0,賣權,154,157,125,128,681,128,2385,127,129,340,103,,一般
