,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/12/03,TXO,201812W1,9000.0,買權,-,-,-,-,0,1140,4,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9000.0,賣權,0.7,0.7,0.2,0.4,435,0.4,3505,0.3,0.4,3.8,0.2,,一般
2018/12/03,TXO,201812W1,9100.0,買權,-,-,-,-,0,1040,0,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9100.0,賣權,0.9,0.9,0.3,0.5,1634,0.5,3665,0.4,0.5,5.6,0.3,,一般
2018/12/03,TXO,201812W1,9200.0,買權,-,-,-,-,0,940,15,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9200.0,賣權,0.7,0.7,0.4,0.6,2082,0.6,4701,0.5,0.6,9.9,0.4,,一般
2018/12/03,TXO,201812W1,9300.0,買權,-,-,-,-,0,840,0,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9300.0,賣權,0.9,1,0.5,0.7,2984,0.7,4561,0.6,0.8,11.5,0.5,,一般
2018/12/03,TXO,201812W1,9400.0,買權,-,-,-,-,0,740,29,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9400.0,賣權,1.2,1.5,0.6,0.9,3865,0.9,4446,0.6,1,19,0.6,,一般
2018/12/03,TXO,201812W1,9500.0,買權,-,-,-,-,0,640,56,-,-,-,-,,一般
2018/12/03,TXO,201812W1,9500.0,賣權,1.8,2,0.8,1.1,7203,1.1,6230,0.7,1.1,30,0.8,,一般
2018/12/03,TXO,201812W1,9550.0,買權,540,540,540,540,2,590,23,535,640,540,104,,一般
2018/12/03,TXO,201812W1,9550.0,賣權,2,2.5,1,1.4,4152,1.4,3086,1,1.4,37.5,1,,一般
2018/12/03,TXO,201812W1,9600.0,買權,427,560,427,555,20,540,70,481,555,560,208,,一般
2018/12/03,TXO,201812W1,9600.0,賣權,2.5,2.6,1.1,1.6,9141,1.6,5317,1.6,1.7,48,1.1,,一般
2018/12/03,TXO,201812W1,9650.0,買權,377,510,372,510,102,490,173,486,492,510,170,,一般
2018/12/03,TXO,201812W1,9650.0,賣權,3,4,1.4,1.9,8638,1.9,5432,1.8,2,60,1.4,,一般
2018/12/03,TXO,201812W1,9700.0,買權,323,465,322,445,95,440,343,436,443,465,136,,一般
2018/12/03,TXO,201812W1,9700.0,賣權,4.7,6,1.7,2.4,14467,2.4,6215,2.3,2.4,75,1.7,,一般
2018/12/03,TXO,201812W1,9750.0,買權,278,414,274,399,458,390,366,387,393,414,103,,一般
2018/12/03,TXO,201812W1,9750.0,賣權,6,7.2,2,2.9,13806,2.9,7177,2.7,2.9,96,2,,一般
2018/12/03,TXO,201812W1,9800.0,買權,229,365,226,344,1426,341,2322,338,343,365,76,,一般
2018/12/03,TXO,201812W1,9800.0,賣權,10,10.5,2.6,3.7,20507,3.7,9450,3.6,3.7,121,2.6,,一般
2018/12/03,TXO,201812W1,9850.0,買權,190,320,182,290,5079,292,2386,289,294,320,55,,一般
2018/12/03,TXO,201812W1,9850.0,賣權,15,15.5,3.4,4.8,20217,4.8,10198,4.5,4.9,144,3.4,,一般
2018/12/03,TXO,201812W1,9900.0,買權,145,272,140,242,12263,242,3719,242,245,272,38,,一般
2018/12/03,TXO,201812W1,9900.0,賣權,26,26,4.7,6.8,33111,6.8,10642,6.8,7,178,4.7,,一般
2018/12/03,TXO,201812W1,9950.0,買權,108,225,102,196,12231,196,3816,195,199,225,24.5,,一般
2018/12/03,TXO,201812W1,9950.0,賣權,41.5,41.5,7,10,32065,10,12487,10,10.5,216,7,,一般
