,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/07/01,TXO,201907W1,9900.0,買權,-,-,-,-,0,975,6,-,-,-,-,,一般
2019/07/01,TXO,201907W1,9900.0,賣權,0.8,0.8,0.1,0.2,304,0.2,1816,0.1,0.8,4.9,0.1,,一般
2019/07/01,TXO,201907W1,10000.0,買權,-,-,-,-,0,875,0,-,-,-,-,,一般
2019/07/01,TXO,201907W1,10000.0,賣權,0.1,0.3,0.1,0.3,432,0.3,2089,0.2,0.8,3.2,0.1,,一般
2019/07/01,TXO,201907W1,10100.0,買權,-,-,-,-,0,775,2,-,-,-,-,,一般
2019/07/01,TXO,201907W1,10100.0,賣權,0.6,0.6,0.2,0.4,1002,0.4,3451,0.2,0.8,4.8,0.2,,一般
2019/07/01,TXO,201907W1,10200.0,買權,-,-,-,-,0,675,0,-,-,-,-,,一般
2019/07/01,TXO,201907W1,10200.0,賣權,0.8,0.8,0.1,0.5,1344,0.5,5424,0.4,0.5,7.5,0.1,,一般
2019/07/01,TXO,201907W1,10300.0,買權,575,575,575,575,1,575,4,520,625,575,324,,一般
2019/07/01,TXO,201907W1,10300.0,賣權,1,1,0.3,0.7,2461,0.7,6918,0.4,0.7,13,0.3,,一般
2019/07/01,TXO,201907W1,10350.0,買權,-,-,-,-,0,525,70,-,-,-,-,,一般
2019/07/01,TXO,201907W1,10350.0,賣權,1.1,1.5,0.4,0.8,2093,0.8,2380,0.5,0.6,10.5,0.4,,一般
2019/07/01,TXO,201907W1,10400.0,買權,426,480,426,480,83,475,202,418,525,480,230,,一般
2019/07/01,TXO,201907W1,10400.0,賣權,1.2,1.4,0.6,0.9,5078,0.9,5897,0.8,0.9,24.5,0.6,,一般
2019/07/01,TXO,201907W1,10450.0,買權,377,430,368,426,54,425,395,368,428,430,189,,一般
2019/07/01,TXO,201907W1,10450.0,賣權,2,2.1,0.7,1,5589,1,6060,0.9,1,34.5,0.7,,一般
2019/07/01,TXO,201907W1,10500.0,買權,310,384,310,374,312,375,456,366,378,384,125,,一般
2019/07/01,TXO,201907W1,10500.0,賣權,3,3,0.9,1.1,10243,1.1,8916,1,1.1,47.5,0.9,,一般
2019/07/01,TXO,201907W1,10550.0,買權,266,331,264,325,778,325,765,321,329,331,118,,一般
2019/07/01,TXO,201907W1,10550.0,賣權,4,4,1.1,1.8,10216,1.8,9167,1.6,1.8,64,1.1,,一般
2019/07/01,TXO,201907W1,10600.0,買權,208,282,208,276,1616,276,1864,273,279,282,70,,一般
2019/07/01,TXO,201907W1,10600.0,賣權,7.3,7.3,1.5,2.1,14729,2.1,10802,2,2.2,90,1.5,,一般
2019/07/01,TXO,201907W1,10650.0,買權,165,235,163,226,3021,226,4371,225,232,235,63,,一般
2019/07/01,TXO,201907W1,10650.0,賣權,11.5,11.5,2.3,3.3,19400,3.3,10740,3,3.3,111,2.3,,一般
2019/07/01,TXO,201907W1,10700.0,買權,126,189,123,178,8006,178,6169,177,182,189,44.5,,一般
