,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/01/02,TXO,201901W1,8800.0,買權,-,-,-,-,0,0,4,-,-,-,-,,一般
2019/01/02,TXO,201901W1,8800.0,賣權,0.1,0.2,0.1,0.2,627,0,8683,-,0.2,6.9,0.1,,一般
2019/01/02,TXO,201901W1,8900.0,買權,-,-,-,-,0,0,3,-,-,-,-,,一般
2019/01/02,TXO,201901W1,8900.0,賣權,0.1,0.2,0.1,0.1,586,0,5039,-,0.2,9.6,0.1,,一般
2019/01/02,TXO,201901W1,9000.0,買權,-,-,-,-,0,0,4,-,-,-,-,,一般
2019/01/02,TXO,201901W1,9000.0,賣權,0.3,0.3,0.1,0.1,1429,0,7023,-,0.1,14,0.1,,一般
2019/01/02,TXO,201901W1,9100.0,買權,610,610,505,505,2,0,15,438,462,610,436,,一般
2019/01/02,TXO,201901W1,9100.0,賣權,0.3,0.3,0.1,0.2,917,0,5567,-,0.2,20.5,0.1,,一般
2019/01/02,TXO,201901W1,9200.0,買權,391,391,391,391,1,0,61,349,357,423,296,,一般
2019/01/02,TXO,201901W1,9200.0,賣權,0.2,0.2,0.1,0.2,1322,0,6627,-,0.2,31,0.1,,一般
2019/01/02,TXO,201901W1,9250.0,買權,325,325,325,325,3,0,7,198,309,426,254,,一般
2019/01/02,TXO,201901W1,9250.0,賣權,0.2,0.2,0.1,0.1,1630,0,6137,-,0.1,39,0.1,,一般
2019/01/02,TXO,201901W1,9300.0,買權,344,344,247,250,17,0,72,249,339,415,210,,一般
2019/01/02,TXO,201901W1,9300.0,賣權,0.5,0.5,0.1,0.2,3654,0,7458,-,0.2,48,0.1,,一般
2019/01/02,TXO,201901W1,9350.0,買權,266,266,200,200,14,0,114,198,200,353,171,,一般
2019/01/02,TXO,201901W1,9350.0,賣權,0.4,0.4,0.1,0.1,1736,0,5945,-,0.2,60,0.1,,一般
2019/01/02,TXO,201901W1,9400.0,買權,320,327,147,150,476,0,312,149,150,330,135,,一般
2019/01/02,TXO,201901W1,9400.0,賣權,0.4,0.6,0.1,0.2,9886,0,9856,-,0.2,75,0.1,,一般
2019/01/02,TXO,201901W1,9450.0,買權,322,322,97,100,2146,0,671,100,101,322,97,,一般
2019/01/02,TXO,201901W1,9450.0,賣權,0.5,1.3,0.1,0.2,9437,0,8704,-,0.2,93,0.1,,一般
2019/01/02,TXO,201901W1,9500.0,買權,262,268,47,50,11467,0,1616,50,51,268,47,,一般
2019/01/02,TXO,201901W1,9500.0,賣權,0.6,4.8,0.1,0.1,28778,0,12154,-,0.1,115,0.1,,一般
2019/01/02,TXO,201901W1,9550.0,買權,213,217,0.1,0.1,60506,0,14715,0.1,0.2,217,0.1,,一般
2019/01/02,TXO,201901W1,9550.0,賣權,1,18,0.1,0.1,92963,0,21582,-,0.1,141,0.1,,一般
2019/01/02,TXO,201901W1,9600.0,買權,163,175,0.1,0.1,87891,0,27249,-,0.2,175,0.1,,一般
2019/01/02,TXO,201901W1,9600.0,賣權,1,54,0.5,49.5,92313,0,6852,49.5,50,174,0.5,,一般
2019/01/02,TXO,201901W1,9650.0,買權,115,125,0.1,0.2,76310,0,27691,-,0.2,125,0.1,,一般
2019/01/02,TXO,201901W1,9650.0,賣權,1.7,103,1.1,99,64679,0,3157,99,100,210,1.1,,一般
2019/01/02,TXO,201901W1,9700.0,買權,71,79,0.1,0.1,77020,0,25795,-,0.1,79,0.1,,一般
2019/01/02,TXO,201901W1,9700.0,賣權,5,153,3.3,150,62799,0,5071,149,150,250,3.3,,一般
2019/01/02,TXO,201901W1,9750.0,買權,34.5,39,0.1,0.2,62847,0,25041,-,0.2,39,0.1,,一般
2019/01/02,TXO,201901W1,9750.0,賣權,20,204,14,200,34473,0,3130,200,205,295,14,,一般
2019/01/02,TXO,201901W1,9800.0,買權,14.5,14.5,0.1,0.2,22359,0,14626,-,0.2,16.5,0.1,,一般
