,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10327,2017/7/3,TXO,201707W1,9600.0,買權,-,-,-,-,0,810,1,-,-,-,-,,一般
10329,2017/7/3,TXO,201707W1,9600.0,賣權,0.2,0.2,0.1,0.1,40,0.1,67,0.1,0.2,0.4,0.1,,一般
10331,2017/7/3,TXO,201707W1,9700.0,買權,-,-,-,-,0,710,6,-,-,-,-,,一般
10333,2017/7/3,TXO,201707W1,9700.0,賣權,0.2,0.2,0.2,0.2,50,0.2,2310,0.1,0.2,1.4,0.2,,一般
10335,2017/7/3,TXO,201707W1,9800.0,買權,-,-,-,-,0,610,22,-,-,-,-,,一般
10337,2017/7/3,TXO,201707W1,9800.0,賣權,0.1,0.3,0.1,0.2,34,0.2,2285,0.1,0.3,1.7,0.1,,一般
10339,2017/7/3,TXO,201707W1,9900.0,買權,-,-,-,-,0,510,2,-,-,-,-,,一般
10341,2017/7/3,TXO,201707W1,9900.0,賣權,0.3,0.3,0.3,0.3,166,0.3,4760,0.2,0.4,2.5,0.3,,一般
10343,2017/7/3,TXO,201707W1,10000.0,買權,388,412,375,412,4,412,9,409,417,448,308,,一般
10345,2017/7/3,TXO,201707W1,10000.0,賣權,0.5,0.5,0.3,0.3,1955,0.3,20935,0.2,0.3,5.5,0.3,,一般
10347,2017/7/3,TXO,201707W1,10100.0,買權,287,311,287,311,17,312,109,309,317,352,219,,一般
10349,2017/7/3,TXO,201707W1,10100.0,賣權,0.8,1.1,0.5,0.6,5625,0.6,33307,0.5,0.6,8.2,0.5,,一般
10351,2017/7/3,TXO,201707W1,10150.0,買權,238,262,212,262,40,262,84,260,268,298,166,,一般
10353,2017/7/3,TXO,201707W1,10150.0,賣權,1.8,2,0.9,0.9,7631,0.9,23773,0.9,1,17.5,0.9,,一般
10355,2017/7/3,TXO,201707W1,10200.0,買權,177,213,158,213,749,213,531,213,215,245,117,,一般
10357,2017/7/3,TXO,201707W1,10200.0,賣權,4.8,4.9,1.5,1.6,19610,1.6,25997,1.5,1.6,27,1.5,,一般
10359,2017/7/3,TXO,201707W1,10250.0,買權,132,165,112,164,4165,164,2111,164,166,208,85,,一般
10361,2017/7/3,TXO,201707W1,10250.0,賣權,10,11,2.7,3,25314,3,18544,2.9,3,40,2,,一般
10363,2017/7/3,TXO,201707W1,10300.0,買權,90,119,72,119,12601,119,6434,118,119,168,54,,一般
10365,2017/7/3,TXO,201707W1,10300.0,賣權,20,21.5,5.3,6,43285,6,18351,5.9,6.1,64,5.3,,一般
10367,2017/7/3,TXO,201707W1,10350.0,買權,56,76,40,75,35425,75,10791,75,76,127,31,,一般
10369,2017/7/3,TXO,201707W1,10350.0,賣權,37,41,12,13,54269,13,20448,12.5,13,87,12,,一般
10371,2017/7/3,TXO,201707W1,10400.0,買權,31.5,41.5,19,40.5,45193,40.5,16591,40.5,41,91,16,,一般
10373,2017/7/3,TXO,201707W1,10400.0,賣權,65,69,27.5,27.5,39747,27.5,15744,27,28,120,27.5,,一般
10375,2017/7/3,TXO,201707W1,10450.0,買權,16,20,7.9,18.5,35737,18.5,24445,18.5,19,61,7.2,,一般
10377,2017/7/3,TXO,201707W1,10450.0,賣權,92,105,55,57,13857,57,7923,55,57,166,55,,一般
10379,2017/7/3,TXO,201707W1,10500.0,買權,7.3,9.8,3,7.6,17377,7.6,18818,7.6,7.7,38,3,,一般
10381,2017/7/3,TXO,201707W1,10500.0,賣權,141,151,95,95,3846,95,2078,94,95,210,83,,一般
10383,2017/7/3,TXO,201707W1,10550.0,買權,4,4,1,2.4,17754,2.4,22852,2.3,2.4,22,1,,一般
10385,2017/7/3,TXO,201707W1,10550.0,賣權,175,196,140,140,211,140,518,109,143,234,117,,一般
10387,2017/7/3,TXO,201707W1,10600.0,買權,0.8,1.2,0.2,0.6,13518,0.6,31993,0.7,0.8,13,0.1,,一般
10389,2017/7/3,TXO,201707W1,10600.0,賣權,208,238,189,189,51,189,201,186,247,286,159,,一般
10391,2017/7/3,TXO,201707W1,10650.0,買權,0.3,0.4,0.1,0.3,1887,0.3,16415,0.2,0.3,10,0.1,,一般
10393,2017/7/3,TXO,201707W1,10650.0,賣權,259,292,250,250,9,237,34,150,401,292,202,,一般
10395,2017/7/3,TXO,201707W1,10700.0,買權,0.1,0.1,0.1,0.1,3,0.1,13716,0.1,0.2,3.9,0.1,,一般
10397,2017/7/3,TXO,201707W1,10700.0,賣權,323,323,323,323,20,287,20,175,451,323,323,,一般
10399,2017/7/3,TXO,201707W1,10750.0,買權,-,-,-,-,0,0.1,6815,-,-,-,-,,一般
10401,2017/7/3,TXO,201707W1,10750.0,賣權,-,-,-,-,0,337,8,-,-,-,-,,一般
10403,2017/7/3,TXO,201707W1,10800.0,買權,-,-,-,-,0,0.1,1828,-,-,-,-,,一般
10405,2017/7/3,TXO,201707W1,10800.0,賣權,410,410,410,410,8,387,8,270,555,410,410,,一般
10407,2017/7/3,TXO,201707W1,10900.0,買權,-,-,-,-,0,0.1,576,-,-,-,-,,一般
10409,2017/7/3,TXO,201707W1,10900.0,賣權,-,-,-,-,0,487,9,-,-,-,-,,一般
10411,2017/7/3,TXO,201707W1,11000.0,買權,-,-,-,-,0,0.1,118,-,-,-,-,,一般
10413,2017/7/3,TXO,201707W1,11000.0,賣權,-,-,-,-,0,585,9,-,-,-,-,,一般
10415,2017/7/3,TXO,201707W1,11100.0,買權,-,-,-,-,0,0.1,2,-,-,-,-,,一般
10417,2017/7/3,TXO,201707W1,11100.0,賣權,-,-,-,-,0,685,0,-,-,-,-,,一般
10419,2017/7/3,TXO,201707W1,11200.0,買權,-,-,-,-,0,0.1,103,-,-,-,-,,一般
10421,2017/7/3,TXO,201707W1,11200.0,賣權,-,-,-,-,0,785,0,-,-,-,-,,一般
