,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10984,2017/12/1,TXO,201712W1,9800.0,買權,-,-,-,-,0,805,0,-,-,-,-,,一般
10985,2017/12/1,TXO,201712W1,9800.0,賣權,0.2,0.2,0.2,0.2,200,0.2,200,0.1,0.3,0.2,0.2,,一般
10986,2017/12/1,TXO,201712W1,9900.0,買權,-,-,-,-,0,705,8,-,-,-,-,,一般
10988,2017/12/1,TXO,201712W1,9900.0,賣權,0.3,0.4,0.3,0.4,402,0.2,1077,0.1,0.3,0.5,0.1,,一般
10990,2017/12/1,TXO,201712W1,10000.0,買權,-,-,-,-,0,605,12,-,-,-,-,,一般
10992,2017/12/1,TXO,201712W1,10000.0,賣權,0.4,0.5,0.3,0.3,494,0.3,1356,0.2,0.4,0.7,0.1,,一般
10994,2017/12/1,TXO,201712W1,10100.0,買權,535,535,535,535,1,505,1,400,670,535,535,,一般
10996,2017/12/1,TXO,201712W1,10100.0,賣權,0.5,0.8,0.3,0.4,1492,0.4,2725,-,0.7,1,0.3,,一般
10998,2017/12/1,TXO,201712W1,10200.0,買權,-,-,-,-,0,408,0,-,-,-,-,,一般
11000,2017/12/1,TXO,201712W1,10200.0,賣權,0.8,1.6,0.5,0.6,7451,0.6,21156,0.6,0.7,1.7,0.5,,一般
11002,2017/12/1,TXO,201712W1,10250.0,買權,-,-,-,-,0,358,0,-,-,-,-,,一般
11003,2017/12/1,TXO,201712W1,10250.0,賣權,1,3,0.7,0.7,8407,0.7,5956,0.7,0.8,3,0.7,,一般
11004,2017/12/1,TXO,201712W1,10300.0,買權,218,242,218,242,92,308,91,200,469,325,218,,一般
11006,2017/12/1,TXO,201712W1,10300.0,賣權,1.6,5.6,0.9,1.1,19202,1.1,30569,1,1.2,35,0.8,,一般
11008,2017/12/1,TXO,201712W1,10350.0,買權,211,314,181,314,20,259,6,122,400,314,181,,一般
