,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
8178,2016/11/1,TXO,201611W1,8600.0,買權,0.0,0.0,0.0,0.0,0,690.0,0,245.0,1110.0,0.0,0.0,
8179,2016/11/1,TXO,201611W1,8600.0,賣權,0.0,0.0,0.0,0.0,0,0.1,17,0.1,0.2,0.3,0.1,
8180,2016/11/1,TXO,201611W1,8700.0,買權,0.0,0.0,0.0,0.0,0,590.0,2,540.0,1000.0,645.0,645.0,
8181,2016/11/1,TXO,201611W1,8700.0,賣權,0.2,0.3,0.1,0.2,8,0.1,895,0.1,0.2,0.8,0.1,
8182,2016/11/1,TXO,201611W1,8800.0,買權,0.0,0.0,0.0,0.0,0,491.0,7,144.0,925.0,555.0,419.0,
8183,2016/11/1,TXO,201611W1,8800.0,賣權,0.2,0.2,0.2,0.2,200,0.1,2037,0.1,0.2,1.1,0.2,
8184,2016/11/1,TXO,201611W1,8900.0,買權,0.0,0.0,0.0,0.0,0,391.0,2,55.0,815.0,453.0,424.0,
8185,2016/11/1,TXO,201611W1,8900.0,賣權,0.2,0.2,0.1,0.1,574,0.1,5190,0.1,0.2,1.8,0.1,
8186,2016/11/1,TXO,201611W1,9000.0,買權,245.0,248.0,245.0,248.0,2,291.0,22,288.0,715.0,363.0,196.0,
8187,2016/11/1,TXO,201611W1,9000.0,賣權,0.2,0.4,0.1,0.1,373,0.1,20056,0.1,0.2,4.1,0.1,
8188,2016/11/1,TXO,201611W1,9050.0,買權,211.0,242.0,210.0,241.0,72,241.0,71,25.0,665.0,242.0,147.0,
8189,2016/11/1,TXO,201611W1,9050.0,賣權,0.7,0.7,0.2,0.3,1380,0.3,14591,0.2,0.3,5.6,0.2,
8190,2016/11/1,TXO,201611W1,9100.0,買權,158.0,204.0,147.0,191.0,380,191.0,194,191.0,195.0,267.0,103.0,
8191,2016/11/1,TXO,201611W1,9100.0,賣權,0.9,1.9,0.4,0.5,12662,0.5,26415,0.4,0.5,12.5,0.4,
8192,2016/11/1,TXO,201611W1,9150.0,買權,125.0,157.0,96.0,142.0,3095,142.0,1778,143.0,145.0,221.0,64.0,
8193,2016/11/1,TXO,201611W1,9150.0,賣權,2.5,5.5,0.9,1.0,26742,1.0,28742,0.9,1.0,24.5,0.9,
8194,2016/11/1,TXO,201611W1,9200.0,買權,78.0,109.0,54.0,96.0,26362,96.0,11623,95.0,97.0,186.0,34.5,
8195,2016/11/1,TXO,201611W1,9200.0,賣權,9.5,13.0,2.9,3.7,48940,3.7,28474,3.7,3.9,46.0,2.9,
8196,2016/11/1,TXO,201611W1,9250.0,買權,43.0,64.0,23.0,52.0,51594,52.0,15629,52.0,54.0,141.0,15.5,
8197,2016/11/1,TXO,201611W1,9250.0,賣權,20.0,32.0,7.7,9.2,57694,9.2,23732,9.3,9.4,77.0,7.7,
8198,2016/11/1,TXO,201611W1,9300.0,買權,20.0,28.5,8.1,18.5,66743,18.5,22650,18.5,19.0,104.0,6.4,
8199,2016/11/1,TXO,201611W1,9300.0,賣權,44.5,67.0,23.0,25.5,60815,25.5,28318,25.0,25.5,116.0,23.0,
8200,2016/11/1,TXO,201611W1,9350.0,買權,6.9,8.4,2.5,4.0,38679,4.0,27850,3.9,4.1,72.0,2.5,
8201,2016/11/1,TXO,201611W1,9350.0,賣權,82.0,112.0,52.0,60.0,25096,60.0,11576,60.0,61.0,163.0,47.0,
8202,2016/11/1,TXO,201611W1,9400.0,買權,1.2,1.9,0.3,0.4,24868,0.4,29032,0.3,0.4,45.0,0.3,
8203,2016/11/1,TXO,201611W1,9400.0,賣權,128.0,157.0,97.0,106.0,6807,106.0,2853,105.0,107.0,210.0,71.0,
8204,2016/11/1,TXO,201611W1,9450.0,買權,0.6,0.6,0.2,0.3,1892,0.3,15862,0.2,0.3,26.0,0.2,
8205,2016/11/1,TXO,201611W1,9450.0,賣權,190.0,202.0,147.0,156.0,102,156.0,1296,154.0,160.0,262.0,85.0,
8206,2016/11/1,TXO,201611W1,9500.0,買權,0.2,0.3,0.1,0.1,577,0.1,12644,0.1,0.3,13.0,0.1,
8207,2016/11/1,TXO,201611W1,9500.0,賣權,244.0,251.0,201.0,212.0,20,206.0,143,204.0,210.0,414.0,98.0,
8208,2016/11/1,TXO,201611W1,9550.0,買權,0.3,0.3,0.1,0.2,89,0.1,10301,0.1,0.2,5.6,0.1,
8209,2016/11/1,TXO,201611W1,9550.0,賣權,0.0,0.0,0.0,0.0,0,256.0,53,55.0,316.0,252.0,194.0,
8210,2016/11/1,TXO,201611W1,9600.0,買權,0.0,0.0,0.0,0.0,0,0.1,5546,0.1,0.2,2.3,0.1,
8211,2016/11/1,TXO,201611W1,9600.0,賣權,0.0,0.0,0.0,0.0,0,306.0,0,55.0,760.0,0.0,0.0,
8212,2016/11/1,TXO,201611W1,9650.0,買權,0.1,0.1,0.1,0.1,40,0.1,3229,0.1,0.2,1.0,0.1,
8213,2016/11/1,TXO,201611W1,9650.0,賣權,0.0,0.0,0.0,0.0,0,356.0,0,55.0,810.0,0.0,0.0,
8214,2016/11/1,TXO,201611W1,9700.0,買權,0.1,0.3,0.1,0.1,21,0.1,134,0.1,0.2,0.5,0.1,
8215,2016/11/1,TXO,201611W1,9700.0,賣權,0.0,0.0,0.0,0.0,0,406.0,0,62.0,860.0,0.0,0.0,
8216,2016/11/1,TXO,201611W1,9800.0,買權,0.0,0.0,0.0,0.0,0,0.1,3,0.1,0.2,0.2,0.1,
8217,2016/11/1,TXO,201611W1,9800.0,賣權,0.0,0.0,0.0,0.0,0,505.0,3,156.0,965.0,490.0,445.0,
8218,2016/11/1,TXO,201611W1,9900.0,買權,0.0,0.0,0.0,0.0,0,0.1,0,0.1,0.2,0.0,0.0,
8219,2016/11/1,TXO,201611W1,9900.0,賣權,0.0,0.0,0.0,0.0,0,605.0,0,256.0,1070.0,0.0,0.0,
8220,2016/11/1,TXO,201611W1,10000.0,買權,0.3,0.3,0.3,0.3,1,0.1,8,0.1,0.2,0.3,0.1,
8221,2016/11/1,TXO,201611W1,10000.0,賣權,0.0,0.0,0.0,0.0,0,705.0,0,356.0,1170.0,0.0,0.0,
8222,2016/11/1,TXO,201611W1,10200.0,買權,0.0,0.0,0.0,0.0,0,0.1,4,0.1,0.2,0.2,0.2,
8223,2016/11/1,TXO,201611W1,10200.0,賣權,0.0,0.0,0.0,0.0,0,905.0,0,555.0,1370.0,0.0,0.0,
8224,2016/11/1,TXO,201611,7500.0,買權,0.0,0.0,0.0,0.0,0,1780.0,1,1350.0,2190.0,1630.0,1630.0,
8225,2016/11/1,TXO,201611,7500.0,賣權,0.4,0.4,0.4,0.4,1,0.3,2732,0.1,0.4,17.0,0.1,
8226,2016/11/1,TXO,201611,7600.0,買權,0.0,0.0,0.0,0.0,0,1680.0,1,1250.0,2090.0,1580.0,1580.0,
8227,2016/11/1,TXO,201611,7600.0,賣權,0.0,0.0,0.0,0.0,0,0.3,2530,0.2,0.4,24.0,0.3,
8228,2016/11/1,TXO,201611,7700.0,買權,0.0,0.0,0.0,0.0,0,1580.0,0,1150.0,1990.0,0.0,0.0,
8229,2016/11/1,TXO,201611,7700.0,賣權,0.0,0.0,0.0,0.0,0,0.3,2607,0.2,0.4,27.0,0.3,
8230,2016/11/1,TXO,201611,7800.0,買權,0.0,0.0,0.0,0.0,0,1480.0,1,1050.0,1890.0,1460.0,1250.0,
8231,2016/11/1,TXO,201611,7800.0,賣權,0.3,0.3,0.3,0.3,1,0.3,2258,0.2,0.4,34.0,0.3,
8232,2016/11/1,TXO,201611,7900.0,買權,0.0,0.0,0.0,0.0,0,1380.0,11,955.0,1790.0,1380.0,1090.0,
8233,2016/11/1,TXO,201611,7900.0,賣權,0.4,0.4,0.4,0.4,5,0.4,2719,0.3,0.4,41.5,0.4,
8234,2016/11/1,TXO,201611,8000.0,買權,0.0,0.0,0.0,0.0,0,1280.0,11,855.0,1690.0,1280.0,1250.0,
8235,2016/11/1,TXO,201611,8000.0,賣權,0.5,0.5,0.5,0.5,2,0.5,9245,0.4,0.5,54.0,0.4,
8236,2016/11/1,TXO,201611,8100.0,買權,0.0,0.0,0.0,0.0,0,1180.0,8,760.0,1580.0,1150.0,870.0,
8237,2016/11/1,TXO,201611,8100.0,賣權,0.7,0.8,0.5,0.7,200,0.7,8516,0.6,0.7,63.0,0.5,
8238,2016/11/1,TXO,201611,8200.0,買權,0.0,0.0,0.0,0.0,0,1080.0,72,945.0,1480.0,1080.0,695.0,
8239,2016/11/1,TXO,201611,8200.0,賣權,1.1,1.2,0.9,0.9,562,0.9,7011,0.8,0.9,76.0,0.8,
8240,2016/11/1,TXO,201611,8300.0,買權,0.0,0.0,0.0,0.0,0,980.0,125,202.0,995.0,1000.0,725.0,
8241,2016/11/1,TXO,201611,8300.0,賣權,1.3,1.9,1.3,1.4,381,1.4,7154,1.2,1.4,93.0,1.0,
8242,2016/11/1,TXO,201611,8400.0,買權,865.0,865.0,865.0,865.0,1,880.0,76,865.0,1280.0,900.0,550.0,
8243,2016/11/1,TXO,201611,8400.0,賣權,2.1,2.7,1.8,2.0,1554,2.0,9315,1.9,2.1,118.0,1.6,
8244,2016/11/1,TXO,201611,8500.0,買權,745.0,780.0,745.0,780.0,5,780.0,47,429.0,1180.0,890.0,585.0,
8245,2016/11/1,TXO,201611,8500.0,賣權,3.0,4.2,2.8,3.0,2030,3.0,14772,3.0,3.1,138.0,2.4,
8246,2016/11/1,TXO,201611,8600.0,買權,0.0,0.0,0.0,0.0,0,685.0,94,680.0,1080.0,780.0,360.0,
8247,2016/11/1,TXO,201611,8600.0,賣權,4.6,6.6,4.5,5.0,2648,5.0,14713,4.7,5.0,171.0,3.7,
8248,2016/11/1,TXO,201611,8700.0,買權,0.0,0.0,0.0,0.0,0,585.0,265,495.0,985.0,690.0,414.0,
8249,2016/11/1,TXO,201611,8700.0,賣權,7.9,10.5,7.0,7.8,3623,7.8,19881,7.8,8.0,211.0,5.4,
8250,2016/11/1,TXO,201611,8800.0,買權,460.0,496.0,449.0,489.0,48,489.0,743,489.0,495.0,595.0,234.0,
