,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/04/02,TXO,201804W1,10000.0,買權,950,970,950,970,2,885,3,865,895,975,950,,一般
2018/04/02,TXO,201804W1,10000.0,賣權,1.4,2,1.2,1.7,2595,1.7,5013,1.5,1.7,2.5,1,,一般
2018/04/02,TXO,201804W1,10100.0,買權,785,785,785,785,1,785,0,770,795,785,780,,一般
2018/04/02,TXO,201804W1,10100.0,賣權,2,2.6,1.6,2.2,1959,2.2,7926,1.5,2.3,10.5,1.6,,一般
2018/04/02,TXO,201804W1,10200.0,買權,-,-,-,-,0,685,105,-,-,-,-,,一般
2018/04/02,TXO,201804W1,10200.0,賣權,2.5,3.8,2.2,3.3,2842,3.3,10392,2.8,3.4,23,2.1,,一般
2018/04/02,TXO,201804W1,10300.0,買權,-,-,-,-,0,585,9,-,-,-,-,,一般
2018/04/02,TXO,201804W1,10300.0,賣權,3.5,5,2.8,4.4,2865,4.4,7264,4.4,4.5,31,2.8,,一般
2018/04/02,TXO,201804W1,10400.0,買權,-,-,-,-,0,485,29,-,-,-,-,,一般
2018/04/02,TXO,201804W1,10400.0,賣權,4.2,7,3.7,6.3,3685,6.3,5537,5.8,6.3,43,3.7,,一般
2018/04/02,TXO,201804W1,10500.0,買權,450,450,395,395,2,390,4,378,398,463,254,,一般
2018/04/02,TXO,201804W1,10500.0,賣權,6.5,11,5,9.2,3720,9.2,5814,9,9.2,55,5,,一般
2018/04/02,TXO,201804W1,10550.0,買權,339,339,334,334,2,342,13,330,350,415,295,,一般
2018/04/02,TXO,201804W1,10550.0,賣權,7.8,14,6,11.5,7821,11.5,4490,11.5,12.5,48,6,,一般
2018/04/02,TXO,201804W1,10600.0,買權,370,377,285,301,48,301,141,285,303,384,252,,一般
2018/04/02,TXO,201804W1,10600.0,賣權,10,18.5,8,16,5285,16,8989,15.5,16,72,8,,一般
2018/04/02,TXO,201804W1,10650.0,買權,306,318,236,239,128,251,131,245,251,339,90,,一般
2018/04/02,TXO,201804W1,10650.0,賣權,13.5,24,10.5,20,4305,20,3870,19.5,20.5,70,10.5,,一般
2018/04/02,TXO,201804W1,10700.0,買權,265,278,196,203,158,203,451,202,209,293,177,,一般
2018/04/02,TXO,201804W1,10700.0,賣權,19,32,14,27,9111,27,10761,26,27.5,97,14,,一般
2018/04/02,TXO,201804W1,10750.0,買權,216,236,155,162,536,162,996,161,166,258,142,,一般
2018/04/02,TXO,201804W1,10750.0,賣權,25,42.5,19,35,10376,35,7359,35,35.5,112,19,,一般
2018/04/02,TXO,201804W1,10800.0,買權,169,193,116,124,2828,124,2482,125,126,216,109,,一般
2018/04/02,TXO,201804W1,10800.0,賣權,33,57,25.5,47.5,15626,47.5,8786,47,47.5,131,25.5,,一般
