,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
9350,2017/1/3,TXO,201701W1,8400.0,買權,735,855,735,855,60,855.0,60,615,1290,855,735,,一般
9351,2017/1/3,TXO,201701W1,8400.0,賣權,-,-,-,-,0,0.1,108,-,-,-,-,,一般
9352,2017/1/3,TXO,201701W1,8500.0,買權,-,-,-,-,0,785.0,0,-,-,-,-,,一般
9353,2017/1/3,TXO,201701W1,8500.0,賣權,0.1,0.1,0.1,0.1,1,0.1,59,0.1,0.2,0.4,0.1,,一般
9354,2017/1/3,TXO,201701W1,8600.0,買權,-,-,-,-,0,685.0,0,-,-,-,-,,一般
9355,2017/1/3,TXO,201701W1,8600.0,賣權,-,-,-,-,0,0.1,423,-,-,-,-,,一般
9356,2017/1/3,TXO,201701W1,8700.0,買權,-,-,-,-,0,585.0,11,-,-,-,-,,一般
9357,2017/1/3,TXO,201701W1,8700.0,賣權,-,-,-,-,0,0.1,648,-,-,-,-,,一般
9358,2017/1/3,TXO,201701W1,8800.0,買權,-,-,-,-,0,485.0,3,-,-,-,-,,一般
9359,2017/1/3,TXO,201701W1,8800.0,賣權,0.2,0.2,0.1,0.2,72,0.1,1141,0.1,0.2,1.5,0.1,,一般
9360,2017/1/3,TXO,201701W1,8850.0,買權,-,-,-,-,0,435.0,0,-,-,-,-,,一般
9361,2017/1/3,TXO,201701W1,8850.0,賣權,0.1,0.2,0.1,0.1,30,0.1,2095,0.1,0.2,2.1,0.1,,一般
9362,2017/1/3,TXO,201701W1,8900.0,買權,-,-,-,-,0,385.0,11,-,-,-,-,,一般
9363,2017/1/3,TXO,201701W1,8900.0,賣權,0.3,0.3,0.1,0.1,46,0.1,13484,0.1,0.3,4.2,0.1,,一般
9364,2017/1/3,TXO,201701W1,8950.0,買權,330,330,330,330,2,335.0,39,76,695,330,179,,一般
9365,2017/1/3,TXO,201701W1,8950.0,賣權,0.4,0.4,0.1,0.1,325,0.1,16704,0.1,0.3,7.4,0.1,,一般
9366,2017/1/3,TXO,201701W1,9000.0,買權,266,281,235,281,106,286.0,154,286,292,281,138,,一般
9367,2017/1/3,TXO,201701W1,9000.0,賣權,0.5,0.6,0.2,0.2,936,0.2,16592,0.2,0.3,17,0.2,,一般
9368,2017/1/3,TXO,201701W1,9050.0,買權,207,238,187,237,282,237.0,397,237,241,238,92,,一般
9369,2017/1/3,TXO,201701W1,9050.0,賣權,1,1,0.3,0.4,6013,0.4,21938,0.3,0.4,29.5,0.3,,一般
9370,2017/1/3,TXO,201701W1,9100.0,買權,178,189,138,187,990,187.0,1047,187,191,492,51,,一般
9371,2017/1/3,TXO,201701W1,9100.0,賣權,2,2.8,0.6,0.7,10202,0.7,18309,0.5,0.7,48,0.6,,一般
9372,2017/1/3,TXO,201701W1,9150.0,買權,121,141,92,140,4264,140.0,3675,140,141,141,31.5,,一般
9373,2017/1/3,TXO,201701W1,9150.0,賣權,5.4,7.1,1.3,1.4,36249,1.4,22453,1.2,1.4,77,1.3,,一般
9374,2017/1/3,TXO,201701W1,9200.0,買權,79,93,52,92,17074,92.0,17774,92,93,95,16.5,,一般
9375,2017/1/3,TXO,201701W1,9200.0,賣權,12,18,3.7,3.8,44415,3.8,26723,3.7,4,99,3.7,,一般
9376,2017/1/3,TXO,201701W1,9250.0,買權,41.5,50,22.5,49.5,52916,49.5,21378,49,49.5,59,7,,一般
9377,2017/1/3,TXO,201701W1,9250.0,賣權,28,38.5,10.5,10.5,61510,10.5,24965,10.5,11.5,132,10.5,,一般
9378,2017/1/3,TXO,201701W1,9300.0,買權,19,22.5,6.6,17.5,51694,17.5,29356,17,18,31.5,3,,一般
9379,2017/1/3,TXO,201701W1,9300.0,賣權,53,72,28,28,30482,28.0,9861,28,28.5,175,28,,一般
