,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/02/01,TXO,201802W1,10300.0,買權,815,815,815,815,1,865,1,810,1000,815,815,,一般
2018/02/01,TXO,201802W1,10300.0,賣權,0.2,0.2,0.2,0.2,1,0.2,1297,0.1,0.3,1.1,0.2,,一般
2018/02/01,TXO,201802W1,10400.0,買權,-,-,-,-,0,765,1,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10400.0,賣權,0.2,0.2,0.1,0.2,145,0.2,1295,0.1,0.4,1.5,0.1,,一般
2018/02/01,TXO,201802W1,10500.0,買權,-,-,-,-,0,665,0,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10500.0,賣權,0.5,0.5,0.2,0.3,307,0.3,3076,0.1,0.5,2.2,0.2,,一般
2018/02/01,TXO,201802W1,10600.0,買權,-,-,-,-,0,565,1,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10600.0,賣權,0.7,0.9,0.3,0.5,2379,0.5,4014,0.5,0.6,3.6,0.3,,一般
2018/02/01,TXO,201802W1,10700.0,買權,-,-,-,-,0,468,0,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10700.0,賣權,1.6,1.8,0.5,0.7,2693,0.7,5426,0.4,0.7,7.1,0.1,,一般
2018/02/01,TXO,201802W1,10750.0,買權,-,-,-,-,0,418,0,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10750.0,賣權,2.3,2.5,0.5,0.7,4177,0.7,4354,0.7,0.8,10.5,0.5,,一般
2018/02/01,TXO,201802W1,10800.0,買權,371,371,371,371,15,371,15,207,500,371,56,,一般
2018/02/01,TXO,201802W1,10800.0,賣權,3.6,3.8,0.8,1.2,15950,1.2,13464,1.2,1.3,15.5,0.8,,一般
2018/02/01,TXO,201802W1,10850.0,買權,-,-,-,-,0,321,19,-,-,-,-,,一般
2018/02/01,TXO,201802W1,10850.0,賣權,5.9,6.1,1.4,2,24758,2,22527,2,2.1,22.5,1.4,,一般
2018/02/01,TXO,201802W1,10900.0,買權,244,293,244,293,3,271,83,272,280,293,160,,一般
2018/02/01,TXO,201802W1,10900.0,賣權,10,10.5,2.8,3.7,24497,3.7,21826,3.6,3.7,33,2.8,,一般
2018/02/01,TXO,201802W1,10950.0,買權,191,240,189,227,39,227,115,223,231,240,129,,一般
2018/02/01,TXO,201802W1,10950.0,賣權,15.5,17,5.6,7,15543,7,11391,6.9,7.1,46.5,5.6,,一般
2018/02/01,TXO,201802W1,11000.0,買權,153,205,146,180,893,180,909,180,187,205,95,,一般
2018/02/01,TXO,201802W1,11000.0,賣權,24,26.5,10,12.5,20972,12.5,12836,12.5,13,90,10,,一般
2018/02/01,TXO,201802W1,11050.0,買權,120,169,110,141,2735,141,2649,140,143,169,68,,一般
2018/02/01,TXO,201802W1,11050.0,賣權,37,40.5,17,21,24436,21,10041,21,21.5,88,17,,一般
2018/02/01,TXO,201802W1,11100.0,買權,87,131,79,105,13763,105,4386,104,105,131,46.5,,一般
2018/02/01,TXO,201802W1,11100.0,賣權,55,60,27,34.5,33669,34.5,11526,34.5,35,115,27,,一般
2018/02/01,TXO,201802W1,11150.0,買權,60,96,53,73,25840,73,6799,72,74,96,30,,一般
2018/02/01,TXO,201802W1,11150.0,賣權,80,84,42,52,33164,52,7608,52,53,145,42,,一般
2018/02/01,TXO,201802W1,11200.0,買權,39,66,34,48.5,35677,48.5,10138,48,48.5,66,18.5,,一般
2018/02/01,TXO,201802W1,11200.0,賣權,107,115,62,77,22300,77,4550,77,78,190,62,,一般
2018/02/01,TXO,201802W1,11250.0,買權,23.5,42.5,20,29.5,31170,29.5,10897,29,29.5,42.5,11,,一般
2018/02/01,TXO,201802W1,11250.0,賣權,138,149,89,109,7285,109,1860,105,108,196,89,,一般
2018/02/01,TXO,201802W1,11300.0,買權,12,25.5,10.5,16.5,22272,16.5,12603,16,16.5,25.5,6,,一般
2018/02/01,TXO,201802W1,11300.0,賣權,178,187,122,146,1966,146,480,143,146,242,122,,一般
2018/02/01,TXO,201802W1,11350.0,買權,6.2,13.5,6,8.5,14055,8.5,8367,8.4,8.6,13.5,3.3,,一般
2018/02/01,TXO,201802W1,11350.0,賣權,220,220,162,186,308,186,129,185,191,234,162,,一般
2018/02/01,TXO,201802W1,11400.0,買權,3.3,7,2.4,4,14294,4,12782,3.8,4,7,1.6,,一般
2018/02/01,TXO,201802W1,11400.0,賣權,271,271,206,232,63,235,34,216,394,282,206,,一般
2018/02/01,TXO,201802W1,11500.0,買權,0.8,1.5,0.3,0.5,16765,0.5,16190,0.5,0.6,1.5,0.3,,一般
2018/02/01,TXO,201802W1,11500.0,賣權,330,330,320,320,17,335,15,200,494,330,320,,一般
2018/02/01,TXO,201802W1,11600.0,買權,0.3,0.3,0.1,0.3,158,0.3,718,0.2,0.3,0.5,0.1,,一般
2018/02/01,TXO,201802W1,11600.0,賣權,-,-,-,-,0,435,0,-,-,-,-,,一般
