,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/03,TXO,201906W1,9500.0,買權,-,-,-,-,0,980,0,-,-,-,-,,一般
2019/06/03,TXO,201906W1,9500.0,賣權,0.5,0.6,0.2,0.2,393,0.2,1692,0.1,0.7,2.6,0.1,,一般
2019/06/03,TXO,201906W1,9600.0,買權,-,-,-,-,0,880,1,-,-,-,-,,一般
2019/06/03,TXO,201906W1,9600.0,賣權,0.6,0.9,0.3,0.3,264,0.3,3859,-,0.4,3.9,0.3,,一般
2019/06/03,TXO,201906W1,9700.0,買權,-,-,-,-,0,780,13,-,-,-,-,,一般
2019/06/03,TXO,201906W1,9700.0,賣權,1.6,1.6,0.4,0.4,564,0.4,5305,0.2,0.5,5.6,0.4,,一般
2019/06/03,TXO,201906W1,9800.0,買權,-,-,-,-,0,685,1,-,-,-,-,,一般
2019/06/03,TXO,201906W1,9800.0,賣權,1.5,1.7,0.6,0.6,930,0.6,6267,0.5,0.7,9.3,0.6,,一般
2019/06/03,TXO,201906W1,9900.0,買權,595,595,595,595,1,585,72,535,640,595,360,,一般
2019/06/03,TXO,201906W1,9900.0,賣權,2.6,2.6,0.7,0.8,1952,0.8,8544,0.7,0.8,55,0.1,,一般
2019/06/03,TXO,201906W1,10000.0,買權,385,412,385,412,2,487,74,444,540,495,262,,一般
2019/06/03,TXO,201906W1,10000.0,賣權,3.2,4.1,1.1,1.4,4757,1.4,8817,1.1,1.3,26.5,1.1,,一般
2019/06/03,TXO,201906W1,10050.0,買權,-,-,-,-,0,438,18,-,-,-,-,,一般
2019/06/03,TXO,201906W1,10050.0,賣權,4,5.1,1.4,1.6,5700,1.6,7586,1.5,1.8,34.5,1.4,,一般
2019/06/03,TXO,201906W1,10100.0,買權,349,392,307,381,67,388,170,386,391,404,178,,一般
2019/06/03,TXO,201906W1,10100.0,賣權,5.7,7.4,1.9,2,7058,2,10343,2,2.1,46,1.9,,一般
2019/06/03,TXO,201906W1,10150.0,買權,296,340,258,340,31,340,449,336,342,340,139,,一般
2019/06/03,TXO,201906W1,10150.0,賣權,7.7,10.5,2.5,3,7618,3,8960,2.5,3,59,2.5,,一般
2019/06/03,TXO,201906W1,10200.0,買權,253,293,193,290,574,290,1676,287,293,308,101,,一般
2019/06/03,TXO,201906W1,10200.0,賣權,10,14.5,3.5,3.7,13188,3.7,12672,3.6,4,77,3.5,,一般
2019/06/03,TXO,201906W1,10250.0,買權,201,245,150,244,1313,244,2217,239,245,262,73,,一般
2019/06/03,TXO,201906W1,10250.0,賣權,13.5,21,5.1,5.8,19748,5.8,15152,5.2,6,99,5.1,,一般
2019/06/03,TXO,201906W1,10300.0,買權,162,198,108,197,8524,197,5249,192,198,217,48,,一般
2019/06/03,TXO,201906W1,10300.0,賣權,21.5,31.5,8,8.3,29690,8.3,17477,8.3,9,126,8,,一般
