,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/11/01,TXO,201911W1,10500.0,買權,-,-,-,-,0,890,3,-,-,-,-,,一般
2019/11/01,TXO,201911W1,10500.0,賣權,0.4,0.5,0.4,0.4,378,0.4,754,-,0.2,1.3,0.4,,一般
2019/11/01,TXO,201911W1,10600.0,買權,-,-,-,-,0,790,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,10600.0,賣權,0.6,0.6,0.4,0.4,400,0.4,760,0.4,0.7,1.2,0.4,,一般
2019/11/01,TXO,201911W1,10700.0,買權,-,-,-,-,0,690,24,-,-,-,-,,一般
2019/11/01,TXO,201911W1,10700.0,賣權,1.2,1.2,0.5,0.5,1112,0.5,2783,0.5,0.8,2,0.5,,一般
2019/11/01,TXO,201911W1,10800.0,買權,-,-,-,-,0,590,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,10800.0,賣權,1.2,1.4,0.8,0.8,769,0.8,5086,0.7,0.9,3,0.8,,一般
2019/11/01,TXO,201911W1,10900.0,買權,-,-,-,-,0,491,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,10900.0,賣權,1.9,2,0.9,1.1,2573,1.1,7642,0.9,1.2,4.2,0.9,,一般
2019/11/01,TXO,201911W1,11000.0,買權,347,347,347,347,1,391,8,354,456,385,318,,一般
2019/11/01,TXO,201911W1,11000.0,賣權,3.9,3.9,1.3,1.3,2980,1.3,6299,1.3,1.4,7.2,1.3,,一般
2019/11/01,TXO,201911W1,11050.0,買權,300,300,300,300,1,341,2,180,407,302,280,,一般
2019/11/01,TXO,201911W1,11050.0,賣權,4.1,4.3,1.5,1.5,3275,1.5,4633,1.4,1.5,10,1.5,,一般
2019/11/01,TXO,201911W1,11100.0,買權,272,272,272,272,1,291,55,132,359,312,232,,一般
2019/11/01,TXO,201911W1,11100.0,賣權,6,6,1.8,1.9,5810,1.9,11080,1.8,1.9,14,1.8,,一般
2019/11/01,TXO,201911W1,11150.0,買權,207,241,198,241,224,241,175,232,244,265,179,,一般
2019/11/01,TXO,201911W1,11150.0,賣權,8.5,8.5,2.6,2.6,6166,2.6,13935,2.5,2.6,20.5,2.6,,一般
2019/11/01,TXO,201911W1,11200.0,買權,154,197,148,192,1207,192,602,190,200,218,137,,一般
2019/11/01,TXO,201911W1,11200.0,賣權,13,13.5,4.1,4.2,10292,4.2,13580,4.1,4.2,28,4.1,,一般
2019/11/01,TXO,201911W1,11250.0,買權,118,151,108,147,2658,147,1267,144,148,175,96,,一般
2019/11/01,TXO,201911W1,11250.0,賣權,20,21.5,7,7.4,15666,7.4,15257,7.2,7.4,41,7,,一般
2019/11/01,TXO,201911W1,11300.0,買權,75,107,71,102,10161,102,5030,101,103,133,63,,一般
2019/11/01,TXO,201911W1,11300.0,賣權,32.5,34,12,13,25144,13,18207,12.5,13,58,12,,一般
2019/11/01,TXO,201911W1,11350.0,買權,43.5,67,40,63,20817,63,12382,62,63,93,37,,一般
2019/11/01,TXO,201911W1,11350.0,賣權,51,54,22,23.5,27395,23.5,13141,23,23.5,83,22,,一般
2019/11/01,TXO,201911W1,11400.0,買權,21,34.5,19,31,27181,31,17720,31,31.5,59,16.5,,一般
2019/11/01,TXO,201911W1,11400.0,賣權,75,83,40,41.5,14980,41.5,7474,41.5,42,117,40,,一般
2019/11/01,TXO,201911W1,11450.0,買權,7.9,14,7.3,12,15136,12,20210,11.5,12,32,6.5,,一般
2019/11/01,TXO,201911W1,11450.0,賣權,115,120,69,73,6236,73,3498,73,74,156,69,,一般
2019/11/01,TXO,201911W1,11500.0,買權,3.4,4.6,2.6,3.8,7627,3.8,15645,3.7,4.6,15,2,,一般
2019/11/01,TXO,201911W1,11500.0,賣權,155,166,110,114,1432,114,1395,114,115,191,104,,一般
2019/11/01,TXO,201911W1,11550.0,買權,1,1.5,0.8,1,2855,1,8461,1,1.1,5.9,0.7,,一般
2019/11/01,TXO,201911W1,11550.0,賣權,203,210,158,161,338,161,423,161,187,228,145,,一般
2019/11/01,TXO,201911W1,11600.0,買權,0.6,0.7,0.4,0.4,2306,0.4,6205,0.2,0.4,2.4,0.3,,一般
2019/11/01,TXO,201911W1,11600.0,賣權,252,252,210,211,45,211,145,209,266,279,191,,一般
2019/11/01,TXO,201911W1,11650.0,買權,0.2,0.3,0.2,0.2,197,0.2,2042,-,0.3,1,0.2,,一般
2019/11/01,TXO,201911W1,11650.0,賣權,-,-,-,-,0,260,21,-,-,-,-,,一般
2019/11/01,TXO,201911W1,11700.0,買權,0.2,0.6,0.1,0.1,419,0.1,2068,-,0.1,0.8,0.1,,一般
2019/11/01,TXO,201911W1,11700.0,賣權,-,-,-,-,0,310,17,-,-,-,-,,一般
2019/11/01,TXO,201911W1,11800.0,買權,0.4,0.4,0.1,0.2,222,0.1,355,-,0.2,0.4,0.1,,一般
2019/11/01,TXO,201911W1,11800.0,賣權,-,-,-,-,0,410,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,11900.0,買權,0.1,0.1,0.1,0.1,20,0.1,453,-,0.2,0.2,0.1,,一般
2019/11/01,TXO,201911W1,11900.0,賣權,-,-,-,-,0,510,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,12000.0,買權,0.1,0.1,0.1,0.1,20,0.1,100,-,0.2,0.2,0.1,,一般
2019/11/01,TXO,201911W1,12000.0,賣權,-,-,-,-,0,610,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,12100.0,買權,-,-,-,-,0,0.1,40,-,-,-,-,,一般
2019/11/01,TXO,201911W1,12100.0,賣權,-,-,-,-,0,710,0,-,-,-,-,,一般
2019/11/01,TXO,201911W1,12200.0,買權,-,-,-,-,0,0.1,40,-,-,-,-,,一般
2019/11/01,TXO,201911W1,12200.0,賣權,-,-,-,-,0,810,0,-,-,-,-,,一般
