,交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
10734,2017/6/1,TXO,201706W1,9300.0,買權,-,-,-,-,0,780,3,-,-,-,-,,一般
10736,2017/6/1,TXO,201706W1,9300.0,賣權,-,-,-,-,0,0.1,209,-,-,-,-,,一般
10738,2017/6/1,TXO,201706W1,9400.0,買權,-,-,-,-,0,680,0,-,-,-,-,,一般
10740,2017/6/1,TXO,201706W1,9400.0,賣權,0.2,0.2,0.2,0.2,20,0.2,108,0.1,0.2,0.5,0.2,,一般
10742,2017/6/1,TXO,201706W1,9500.0,買權,-,-,-,-,0,580,1,-,-,-,-,,一般
10744,2017/6/1,TXO,201706W1,9500.0,賣權,0.3,0.3,0.2,0.2,33,0.2,279,0.1,0.3,0.6,0.2,,一般
10746,2017/6/1,TXO,201706W1,9600.0,買權,-,-,-,-,0,480,4,-,-,-,-,,一般
10748,2017/6/1,TXO,201706W1,9600.0,賣權,0.4,0.5,0.3,0.3,372,0.3,1106,0.2,0.3,1,0.3,,一般
10750,2017/6/1,TXO,201706W1,9700.0,買權,-,-,-,-,0,380,1,-,-,-,-,,一般
10752,2017/6/1,TXO,201706W1,9700.0,賣權,0.7,0.7,0.4,0.4,2231,0.4,4726,0.3,0.4,1.5,0.4,,一般
10754,2017/6/1,TXO,201706W1,9750.0,買權,-,-,-,-,0,330,0,-,-,-,-,,一般
10755,2017/6/1,TXO,201706W1,9750.0,賣權,1,1.1,0.4,0.4,5323,0.4,4306,0.3,0.5,1.1,0.4,,一般
10756,2017/6/1,TXO,201706W1,9800.0,買權,251,280,251,275,52,280,73,32,445,280,236,,一般
10758,2017/6/1,TXO,201706W1,9800.0,賣權,2.3,2.3,0.5,0.5,20292,0.5,19847,0.4,0.5,3.5,0.5,,一般
10760,2017/6/1,TXO,201706W1,9850.0,買權,192,235,192,232,128,232,169,228,235,235,170,,一般
10762,2017/6/1,TXO,201706W1,9850.0,賣權,3.3,3.6,1,1,16617,1,14507,0.9,1.1,6.1,1,,一般
10764,2017/6/1,TXO,201706W1,9900.0,買權,140,189,139,183,747,183,348,180,184,200,123,,一般
10766,2017/6/1,TXO,201706W1,9900.0,賣權,6.8,7.4,2,2,13947,2,10091,2,2.1,11,2,,一般
10768,2017/6/1,TXO,201706W1,9950.0,買權,100,143,95,137,2641,137,1380,136,137,160,82,,一般
10770,2017/6/1,TXO,201706W1,9950.0,賣權,15,15,4.4,4.8,16745,4.8,12895,4.7,5,21.5,4.4,,一般
10772,2017/6/1,TXO,201706W1,10000.0,買權,64,101,58,93,29388,93,15808,92,93,118,49,,一般
10774,2017/6/1,TXO,201706W1,10000.0,賣權,29.5,30,10.5,11.5,37383,11.5,20957,11,11.5,37.5,10.5,,一般
10776,2017/6/1,TXO,201706W1,10100.0,買權,16,35,15,27.5,48206,27.5,25713,27.5,28,52,12.5,,一般
10778,2017/6/1,TXO,201706W1,10100.0,賣權,81,93,45.5,47,21813,47,7521,47,47.5,102,45.5,,一般
10780,2017/6/1,TXO,201706W1,10200.0,買權,2.8,6.8,2.3,4.7,29226,4.7,22983,4.6,4.8,15.5,2.2,,一般
10782,2017/6/1,TXO,201706W1,10200.0,賣權,168,171,118,124,3570,124,1536,123,126,199,113,,一般
10784,2017/6/1,TXO,201706W1,10300.0,買權,0.7,1,0.4,0.5,17179,0.5,16573,0.4,0.5,3.2,0.4,,一般
10786,2017/6/1,TXO,201706W1,10300.0,賣權,260,260,214,214,131,221,244,216,223,283,202,,一般
10788,2017/6/1,TXO,201706W1,10400.0,買權,0.3,0.3,0.2,0.3,520,0.3,2918,0.2,0.3,0.9,0.2,,一般
10790,2017/6/1,TXO,201706W1,10400.0,賣權,365,365,320,320,75,320,114,316,323,374,320,,一般
10792,2017/6/1,TXO,201706W1,10600.0,買權,0.2,0.2,0.2,0.2,87,0.2,229,0.1,0.2,0.3,0.2,,一般
